,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2023-04-30,2023-07-31,2023-10-31
Cash & Equivalents,28.83,82.66,173.79,25.22,16.43,17.91,17.01,16.43,16.05,44.46,62.61,100.8,91.1,121.3,46,88.8,91.7,164.9,155.6,77.7,146.6,104.6,112.7,89,76.8,79.8,127.4,115.9,119.1,105.9,112.2,95.9,280.7,399.2,246.3,138.2,118.2,111.9,117.3,120.8
Cash & Cash Equivalents,28.83,82.66,173.79,25.22,16.43,17.91,17.01,16.43,16.05,44.46,62.61,100.8,91.1,121.3,46,88.8,91.7,164.9,155.6,77.7,146.6,104.6,112.7,89,76.8,79.8,127.4,115.9,119.1,105.9,112.2,95.9,280.7,399.2,246.3,138.2,118.2,111.9,117.3,120.8
Cash Growth,99.57%,472.39%,582.00%,-67.41%,-43.01%,-78.33%,-90.21%,-34.87%,-2.32%,148.25%,268.20%,513.66%,467.71%,172.80%,-26.53%,-11.90%,0.66%,35.94%,238.26%,-12.50%,59.87%,-36.57%,-27.57%,14.54%,-47.61%,-23.71%,13.04%,30.22%,55.08%,32.71%,-11.93%,-17.26%,135.68%,276.96%,119.52%,44.11%,-57.89%,-71.97%,-52.38%,-12.59%
Receivables,235.29,239.77,261.96,276.28,275.9,267.18,280.16,282.92,278.89,298.83,307.34,291.4,290.9,311.2,335.9,316.6,413.8,432.6,375.6,374.7,389.7,396.2,404.7,435.3,408,368.8,450.5,435.4,461.2,490.1,535.1,515.3,525.9,532,543.6,557.8,581.8,564.7,629.9,609.7
Inventory,339.5,345.82,353.38,381.47,390.1,402.54,405.97,419.69,430.9,433.6,430.26,417.7,421.4,437.6,453.9,454.1,506.3,504.8,479.6,468.8,486.2,493.1,502.1,506.9,526.5,568.2,594.9,570.4,570.5,582,587.9,585.6,588.1,603.8,621.6,628.7,659.1,699,723.6,735.6
Other Current Assets,97.48,96.44,106.68,108.64,104.68,112.34,111.56,122.39,118.67,138.23,129.43,127.2,80.5,88.2,96.3,93.7,163.7,170.1,178,169.7,170.5,142.7,131.3,132.2,138.6,149.4,148.5,152.5,146.6,144.6,239.4,268.5,303.4,203.2,186.2,208.9,218.4,223.7,240.2,238.8
Total Current Assets,701.09,764.68,895.81,791.62,787.11,799.97,814.69,841.43,844.5,915.12,929.64,937.1,883.9,958.3,932.1,953.2,"1,176","1,272","1,189","1,091","1,193","1,137","1,151","1,163","1,150","1,166","1,321","1,274","1,297","1,323","1,475","1,465","1,698","1,738","1,598","1,534","1,578","1,599","1,711","1,705"
"Property, Plant & Equipment",769.4,817.44,843.41,937.33,928.63,961.76,974.88,967.1,948.17,964.36,922.21,877.7,879.1,886.5,894.9,910.1,952,966.5,967.4,976,"1,024","1,033","1,065","1,132","1,433","1,452","1,497","1,542","1,575","1,575","1,571","1,348","1,630","1,616","1,601","1,433","1,464","1,490","1,535","1,633"
Goodwill and Intangibles,"1,579","1,579","1,567","2,675","2,576","2,589","2,591","2,608","2,564","2,670","2,683","2,606","2,778","2,788","2,822","2,860","4,042","4,063","3,980","3,913","3,963","3,913","3,830","3,834","3,820","3,738","3,756","3,736","3,912","3,980","3,893","3,846","5,678","5,627","5,583","5,495","5,536","5,475","5,454","5,335"
Other Long-Term Assets,65.47,60.95,60.95,54.87,44.39,42.15,41.68,43.17,45.03,51.52,58.26,58,115.4,117.3,134.3,135.9,98.9,112.4,120.6,132.5,118.4,121.5,126.6,144.8,145.8,154.5,174.1,184.9,"2,137","2,136","2,672","2,948","2,657","2,798","2,770","3,031","2,984","2,975","2,998","2,987"
