,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-03-26,2016-06-25,2016-09-24,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-03-26,2022-06-25,2022-09-24,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-30
Cash & Equivalents,169.85,117.01,130.75,160.02,151.92,150.81,74.03,117.95,157.38,154.59,105.72,117.63,131.52,116.47,123.62,163.79,187.77,192.3,138.87,195.44,126.32,200.59,164.76,238.01,372.43,402.02,242.88,228.42,465.41,222.97,212.54,241.21,241.87,200.32,193.7,233.91,201.59,200.45,157.17,276.77
Cash & Cash Equivalents,169.85,117.01,130.75,160.02,151.92,150.81,74.03,117.95,157.38,154.59,105.72,117.63,131.52,116.47,123.62,163.79,187.77,192.3,138.87,195.44,126.32,200.59,164.76,238.01,372.43,402.02,242.88,228.42,465.41,222.97,212.54,241.21,241.87,200.32,193.7,233.91,201.59,200.45,157.17,276.77
Cash Growth,69.14%,3.08%,0.22%,2.63%,-10.56%,28.88%,-43.38%,-26.29%,3.59%,2.51%,42.81%,-0.27%,-16.43%,-24.66%,16.93%,39.25%,42.77%,65.11%,12.33%,19.32%,-32.73%,4.31%,18.65%,21.78%,194.84%,100.42%,47.41%,-4.03%,24.97%,-44.54%,-12.49%,5.60%,-48.03%,-10.16%,-8.86%,-3.03%,-16.65%,0.06%,-18.86%,18.32%
Receivables,240,274.5,275.02,257.99,265.43,277.4,288.84,270.07,287.18,345.54,359.73,364.05,383.75,398.55,422.34,430.02,440.11,478.74,487.34,472.25,495.5,545.15,524.07,514.03,542.39,532.53,572.06,617.74,610.57,644.03,660.45,642.88,697.84,747.61,770.78,752.39,788.31,800.65,799.31,780.38
Inventory,91.67,92.62,92.7,89.04,86.06,90.04,98.1,93.74,97.1,98.12,99.37,95.83,98.48,104.69,107.37,114.96,119.05,124.13,125.5,127.89,129.77,134.93,155.53,160.66,162.94,168.37,181.37,185.7,193.58,194.34,181.69,199.15,221.18,256.77,261.52,255.81,262.58,285.28,292.97,380.26
Other Current Assets,89.14,108.57,107.55,72.2,110.74,111.41,117.7,77.48,95.74,103.31,89.75,79.32,86.37,118.36,129.05,117.86,96.42,94.36,86.46,102.25,114.6,129.4,128.05,108.62,130.52,131.81,143.97,169.27,153.65,206.58,324.36,190.85,172.2,188.4,189.35,196.92,195.88,218.41,194.87,171.26
Total Current Assets,590.66,592.7,606.02,579.25,614.14,629.65,578.66,559.23,637.39,701.55,654.58,656.83,700.12,738.07,782.38,826.63,843.35,889.53,838.17,897.84,866.18,"1,010",972.41,"1,021","1,208","1,235","1,140","1,201","1,423","1,268","1,379","1,274","1,333","1,393","1,415","1,439","1,448","1,505","1,444","1,609"
"Property, Plant & Equipment",665.61,687.66,671.24,676.8,657.6,680.57,671.67,677.96,664.44,783.68,767.18,755.83,746.95,758.72,767.19,781.97,788.55,896.27,896.9,932.88,"1,038","1,138","1,148","1,184","1,189","1,197","1,206","1,303","1,315","1,466","1,461","1,584","1,626","1,766","1,754","1,857","1,903","1,927","1,901","2,034"
Long-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.35,0,0,0,311.6,293.79,300.28,301.85,243.81
Goodwill and Intangibles,309.77,478.27,456.9,499.95,482.4,489.79,695.93,719.63,699.44,"1,170","1,160","1,182","1,126","1,145","1,176","1,175","1,206","1,904","1,882","1,858","1,841","2,261","2,224","2,230","2,565","2,542","2,580","2,597","2,686","3,597","3,836","3,773","3,716","3,893","3,744","3,805","3,860","3,846","3,771","3,959"
Other Long-Term Assets,85.72,104.82,108.19,114.58,93.09,85.92,86.58,111.67,102.45,107.64,108.41,117.18,124.17,131.63,140.65,146.66,162.87,176.5,179.16,167.15,181.78,215.83,238.01,257.27,239.83,267.13,287.05,390.36,384.89,389.66,382.56,191.76,400.06,478.1,469.41,189.54,195.01,194.01,189.14,349.66
Total Long-Term Assets,"1,061","1,271","1,236","1,291","1,233","1,256","1,454","1,509","1,466","2,061","2,036","2,055","1,997","2,036","2,084","2,103","2,158","2,976","2,958","2,958","3,060","3,615","3,610","3,671","3,994","4,006","4,073","4,290","4,386","5,452","5,679","5,750","5,742","6,136","5,967","6,164","6,251","6,268","6,163","6,586"
Total Assets,"1,652","1,863","1,842","1,871","1,847","1,886","2,033","2,068","2,104","2,763","2,690","2,712","2,697","2,774","2,866","2,930","3,001","3,866","3,797","3,856","3,927","4,625","4,583","4,693","5,202","5,241","5,213","5,491","5,809","6,720","7,058","7,024","7,075","7,529","7,383","7,603","7,699","7,772","7,607","8,195"
Accounts Payable,35.25,35.22,27.55,33.82,34.9,32.97,31.63,36.68,43.9,66.2,65.81,68.49,60.99,64.65,66.23,77.84,73.48,67.48,77.74,66.25,78.52,99.38,107.23,111.5,102.7,82.98,96.76,122.48,127.13,110.93,127.91,198.13,225.98,211.38,181.63,205.92,120,140.2,136.34,168.94
Deferred Revenue,54.42,61.87,66.92,78.12,76.66,77.38,76.02,81.34,80.3,118.84,119.3,127.73,127.59,119.34,108.98,117.57,98.47,130.39,140.76,145.14,137.89,167.53,166.1,171.81,178.83,170.41,172.34,207.94,213.03,231.33,221.73,219.7,228.26,242.08,251.47,264.26,262.23,257.4,250.49,241.82
Current Debt,26.68,31.93,31.92,31.9,31.88,17.99,16.6,17.03,21.38,33.94,25.97,27.31,27.31,27.23,27.09,31,3.14,31.35,31.65,31.42,30.66,33.96,33.61,38.55,47.67,53.71,47.95,50.21,2.93,3.02,2.28,0,2.64,2.36,2.08,0,0,0,0,0
Other Current Liabilities,122.96,142.63,156.7,150.84,127.05,148.19,189.86,176.71,164.41,194.42,200.97,206.06,167.49,212.86,213.45,237.1,232.01,288.92,289.45,315.42,282.7,334.73,374.71,388.33,361.7,420.84,469.97,459.12,460.28,584.33,631.83,615.35,536.96,592.31,579.01,621.41,599.16,610.02,606.99,644.33
Total Current Liabilities,239.32,271.65,283.08,294.69,270.49,276.53,314.1,311.76,309.99,413.39,412.05,429.59,383.37,424.07,415.76,463.5,407.1,518.14,539.6,558.22,529.76,635.6,681.65,710.18,690.9,727.94,787.01,839.75,803.38,929.61,983.75,"1,033",993.84,"1,048","1,014","1,092",981.39,"1,008",993.82,"1,055"
Long-Term Debt,614.13,781.62,754.8,740.56,754.53,754.78,835.8,846,840.48,"1,331","1,233","1,208","1,170","1,116","1,156","1,114","1,130","1,796","1,653","1,637","1,650","2,149","1,999","1,966","2,460","2,355","2,115","2,085","2,375","2,967","3,137","2,917","2,941","3,363","3,306","3,097","3,162","3,080","2,905","3,066"
Other Long-Term Liabilities,78.06,111.58,106.1,130.99,125.19,118.8,146.9,145.18,140.08,156.56,157.05,220.73,249.89,251.6,253.67,288.3,304.38,349.43,330.29,322.76,325.44,362.34,336.72,350.22,371.02,377.83,386.09,422.25,414.02,469.94,473.38,482.58,469.96,425.13,390.72,390.4,399.25,384.66,357.83,414.54
Total Long-Term Liabilities,692.18,893.19,860.89,871.55,879.73,873.58,982.7,991.17,980.56,"1,488","1,390","1,428","1,420","1,368","1,410","1,402","1,434","2,146","1,983","1,959","1,975","2,511","2,336","2,316","2,831","2,732","2,501","2,507","2,789","3,437","3,610","3,399","3,410","3,788","3,697","3,488","3,561","3,465","3,262","3,481"
