,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2023-04-30,2023-07-31,2023-10-31,Current
Market Capitalization,"36,500","31,507","33,310","39,610","35,620","47,377","48,085","51,289","45,192","50,854","55,420","51,485","55,109","60,930","64,668","73,552","82,277","88,504","100,654","103,850","116,257","127,485","119,892","137,242","161,709","144,945","175,560","211,366","206,387","212,125","224,027","293,397","229,141","174,181","183,100","162,590","167,970","198,370","219,160","195,408","280,449"
Market Cap Growth,49.33%,30.87%,29.04%,24.55%,-2.41%,50.37%,44.36%,29.48%,26.87%,7.34%,15.25%,0.38%,21.94%,19.81%,16.69%,42.86%,49.30%,45.26%,55.65%,41.19%,41.30%,44.04%,19.11%,32.15%,39.10%,13.70%,46.43%,54.01%,27.63%,46.35%,27.61%,38.81%,11.02%,-17.89%,-18.27%,-44.58%,-26.70%,13.89%,19.69%,20.18%,-
Enterprise Value,"37,535","32,233","34,059","40,113","35,880","47,633","48,196","51,218","43,753","50,116","56,042","52,088","54,908","59,530","63,011","71,768","79,476","84,520","100,903","104,076","115,088","127,337","119,870","136,807","159,630","140,980","172,124","207,714","200,702","203,234","229,896","298,007","232,589","174,663","183,372","164,670","169,550","197,466","219,563","196,257","281,298"
PE Ratio,-157.21,-120.55,-83.47,-126.33,-135.60,-293.02,-473.98,-584.94,-952.89,-3985.75,254.55,250.46,170.62,213.61,636.38,299.08,228.55,125.90,105.29,108.86,104.74,110.09,126.20,186.47,1283.41,-867.94,74.17,59.42,50.69,47.75,95.25,168.72,158.69,173.66,341.60,584.86,807.55,523.40,138.88,75.39,110.16
PS Ratio,8.97,7.15,6.99,7.81,6.63,8.37,8.05,8.14,6.78,7.19,7.41,6.51,6.53,6.83,6.84,7.35,7.81,7.94,8.49,8.28,8.75,9.10,8.14,8.66,9.46,7.95,9.06,10.42,9.71,9.49,9.52,11.74,8.65,6.23,6.25,5.37,5.36,6.16,6.63,5.76,8.26
PB Ratio,12.01,10.06,10.09,10.45,8.96,11.19,10.60,10.80,9.03,9.11,9.04,7.57,7.35,7.68,7.65,8.33,7.93,8.00,7.44,7.07,7.45,7.75,6.98,4.12,4.77,4.19,4.57,5.24,4.97,4.98,4.04,5.14,3.94,2.96,3.05,2.74,2.88,3.46,3.77,3.36,4.83
P/FCF Ratio,63.33,39.87,37.64,41.87,36.06,52.57,49.63,48.76,37.33,27.91,31.97,33.48,32.46,33.79,34.93,39.72,37.33,35.76,39.32,40.68,41.48,39.05,37.06,40.89,43.85,42.41,50.52,59.34,50.45,37.80,40.96,53.41,43.37,30.44,32.23,29.25,26.61,28.08,28.99,22.18,31.83
P/OCF Ratio,41.69,29.57,29.53,35.60,30.15,32.82,32.02,33.26,27.03,25.58,28.65,26.73,25.49,26.03,26.71,30.75,30.05,29.76,32.46,33.30,34.21,32.71,30.94,34.06,37.34,34.31,41.62,49.63,42.99,34.38,36.56,47.38,38.19,27.01,28.63,25.79,23.62,25.03,26.09,20.31,29.16
Debt / Equity Ratio,0.62,0.51,0.48,0.41,0.34,0.30,0.28,0.27,0.26,0.23,0.29,0.27,0.27,0.23,0.22,0.21,0.17,0.29,0.27,0.25,0.20,0.38,0.35,0.18,0.17,0.17,0.15,0.14,0.15,0.14,0.28,0.25,0.24,0.24,0.23,0.24,0.24,0.23,0.22,0.22,0.22
Quick Ratio,0.55,0.47,0.48,0.55,0.69,0.49,0.54,0.61,0.93,0.63,0.46,0.50,0.74,0.61,0.67,0.71,0.84,1.13,0.64,0.68,0.82,0.81,0.82,0.87,0.95,1.00,0.98,1.05,1.11,1.19,0.79,0.89,0.93,0.88,0.91,0.89,0.90,0.86,0.86,0.86,0.86
Current Ratio,0.67,0.61,0.66,0.74,0.80,0.66,0.71,0.74,1.02,0.74,0.61,0.60,0.82,0.71,0.77,0.82,0.95,1.29,0.80,0.86,0.95,0.96,0.97,1.05,1.08,1.15,1.15,1.22,1.24,1.33,0.94,1.06,1.05,1.03,1.06,1.05,1.02,1.02,1.02,1.04,1.04
Interest Coverage,-4.41,-3.16,-1.89,-0.24,-2.17,2.08,1.38,3.38,0.79,2.69,2.17,0.43,6.35,0.55,3.86,7.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Return on Capital (ROIC),Upgrade,-5.82%,-6.27%,-5.93%,-3.73%,-2.43%,-1.23%,-0.63%,-1.13%,-0.20%,0.50%,4.35%,4.48%,4.81%,4.17%,1.56%,2.54%,3.11%,3.81%,3.66%,3.22%,3.21%,2.66%,2.10%,0.76%,0.14%,-1.01%,0.26%,0.91%,1.21%,2.35%,1.13%,0.94%,0.52%,0.16%,-0.03%,0.16%,-1.05%,-0.76%,0.91%,2.37%
Buyback Yield / Dilution,-4.71%,-4.10%,1.22%,-4.84%,-4.93%,-8.46%,-6.86%,-5.49%,-4.98%,-3.39%,-5.55%,-3.97%,-6.30%,-5.13%,-4.75%,-6.88%,-5.45%,-4.43%,-6.17%,-6.37%,-4.53%,-5.17%,-2.71%,-11.97%,-16.45%,-15.13%,-15.97%,-6.83%,-3.18%,-2.96%,-3.04%,-6.60%,-6.58%,-6.49%,-5.37%,0.10%,1.89%,1.30%,1.50%,1.90%,1.90%
