,2014-01-25,2014-04-26,2014-07-26,2014-10-25,2015-01-24,2015-04-25,2015-07-25,2015-10-24,2016-01-23,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-29,2017-07-29,2017-10-28,2018-01-27,2018-04-28,2018-07-28,2018-10-27,2019-01-26,2019-04-27,2019-07-27,2019-10-26,2020-01-25,2020-04-25,2020-07-25,2020-10-24,2021-01-23,2021-05-01,2021-07-31,2021-10-30,2022-01-29,2022-04-30,2022-07-30,2022-10-29,2023-01-28,2023-04-29,2023-07-29,2023-10-28
Cash & Equivalents,"5,339","6,241","6,726","4,387","4,797","3,870","6,877","5,758","6,314","8,895","7,631","8,583","10,898","8,116","11,708","11,043","17,624","6,719","8,934","8,410","9,835","10,251","11,750","8,587","8,475","10,366","11,809","10,822","11,793","7,350","9,175","7,619","6,731","6,952","7,079","7,292","9,009","8,044","10,123","9,602"
Short-Term Investments,"45,742","48,299","49,501","51,985","52,435","54,797","58,030","57,855","58,575","59,333","62,397","66,926","65,443","64,497","63,640","65,583","60,984","52,580","42,563","39,034","35,605","29,421","26,758","24,474","23,414","22,911","22,661","24,295","23,822","20,877","19,723","19,797","18,379","16,960","16,093","16,175","16,609","18,646","19,375","17,335"
Cash & Cash Equivalents,"51,081","54,540","56,227","56,372","57,232","58,667","64,907","63,613","64,889","68,228","70,028","75,509","76,341","72,613","75,348","76,626","78,608","59,299","51,497","47,444","45,440","39,672","38,508","33,061","31,889","33,277","34,470","35,117","35,615","28,227","28,898","27,416","25,110","23,912","23,172","23,467","25,618","26,690","29,498","26,937"
Cash Growth,1.61%,6.39%,2.89%,7.72%,12.04%,7.57%,15.44%,12.85%,13.38%,16.30%,7.89%,18.70%,17.65%,6.43%,7.60%,1.48%,2.97%,-18.34%,-31.65%,-38.08%,-42.19%,-33.10%,-25.22%,-30.32%,-29.82%,-16.12%,-10.49%,6.22%,11.68%,-15.18%,-16.16%,-21.93%,-29.50%,-15.29%,-19.81%,-14.40%,2.02%,11.62%,27.30%,14.79%
Receivables,"4,378","4,443","5,157","4,375","4,541","4,889","5,344","4,712","4,302","4,047","5,847","4,805","4,458","4,635","5,146","4,206","3,963","4,274","5,554","4,536","3,745","3,795","5,491","4,878","4,330","4,569","5,472","3,980","4,307","4,425","5,766","5,306","6,003","5,783","6,622","5,439","5,237","5,104","5,854","4,833"
Inventory,"1,548","1,528","1,591","1,676","1,890","1,760","1,627","1,482","1,362","1,343","1,217","1,176","1,264","1,366","1,616","1,693","1,896","1,900","1,846","1,572","1,701","1,513","1,383","1,344","1,353","1,212","1,282","1,303","1,436","1,579","1,559","1,832","2,059","2,231","2,568","2,664","3,140","3,474","3,644","3,342"
Other Current Assets,"3,682","3,777","4,139","3,973","4,219","4,015","1,490","4,139","4,452","4,953","1,627","1,651","1,329","1,348","1,593","1,555","1,583","1,668","2,940","2,134","2,231","2,331","2,373","2,433","2,481","2,249","2,349","2,589","2,553","2,829","2,889","3,034","3,627","4,055","4,355","4,571","4,520","4,682","4,352","4,547"
Total Current Assets,"60,689","64,288","67,114","66,396","67,882","69,331","73,368","73,946","75,005","78,571","78,719","83,141","83,392","79,962","83,703","84,080","86,050","67,141","61,837","55,686","53,117","47,311","47,755","41,716","40,053","41,307","43,573","42,989","43,911","37,060","39,112","37,588","36,799","35,981","36,717","36,141","38,515","39,950","43,348","39,659"
"Property, Plant & Equipment","3,234","3,310","3,252","3,233","3,212","3,276","3,332","3,346","3,386","3,529","3,506","3,499","3,422","3,395","3,322","3,202","3,113","3,082","3,006","2,956","2,931","2,834","2,789","2,669","2,621","2,535","2,453","2,412","2,386","2,367","2,338","2,238","2,140","2,046","1,997","1,972","1,964","2,047","2,085","2,004"
Long-Term Investments,"3,628","3,537","3,918","3,691","3,549","3,506","3,858","4,037","3,903","3,900","4,158","4,784","4,664","4,568","4,738","4,876","4,913","4,915","4,882","4,644","4,565","4,862","4,958","4,831","4,757","4,770","5,714","5,516","5,100","5,068","4,884","4,546","4,024","3,959","4,009","3,618","3,554","3,393","3,483","3,324"
