,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,-,-,"2,937","3,452","3,857","3,645","3,026","3,117","3,321","2,866","3,223","3,363","3,534","4,386","4,997","5,458","5,474","5,587","6,599","4,533","5,911","7,899","6,960","8,237","7,606","11,354","14,060","17,140","17,927","18,417","22,727","21,917","19,863","19,228","13,017","8,100","11,834","7,817","8,208","8,116","10,508"
Market Cap Growth,-,-,-,-,-,-,3.04%,-9.71%,-13.89%,-21.38%,6.53%,7.91%,6.40%,53.04%,55.02%,62.28%,54.91%,27.38%,32.06%,-16.95%,7.99%,41.39%,5.46%,81.73%,28.68%,43.74%,102.03%,108.08%,135.68%,62.21%,61.64%,27.87%,10.80%,4.40%,-42.72%,-63.04%,-40.42%,-59.35%,-36.95%,0.20%,-
Enterprise Value,-,"2,636","4,690","5,302","5,623","5,375","4,758","4,874","5,058","4,595","5,029","5,132","5,341","6,178","6,502","7,871","7,860","7,898","8,612","6,525","7,870","10,513","9,649","10,945","10,197","13,419","16,112","19,363","20,087","20,691","25,012","25,222","23,169","22,892","16,876","12,483","16,431","12,386","12,945","12,892","15,284"
PE Ratio,-,-,-611.78,56.68,45.01,17.18,12.42,13.68,16.04,25.70,30.96,37.04,33.31,39.95,45.84,78.31,87.31,66.83,100.90,33.26,39.67,59.84,50.29,66.59,73.28,65.63,56.38,58.68,36.05,34.82,41.55,38.93,40.79,39.81,32.46,20.82,563.51,-30.53,-8.09,-6.23,-6.23
PS Ratio,-,-,1.60,1.87,2.10,1.99,1.65,1.70,1.82,1.55,1.73,1.77,1.78,2.11,2.30,2.37,2.29,2.27,2.67,1.82,2.39,3.14,2.65,3.02,2.65,3.67,4.29,4.95,4.77,4.61,5.44,4.89,4.22,4.00,2.71,1.71,2.63,1.83,1.94,1.98,2.56
PB Ratio,-,-,5.83,7.00,8.24,5.75,5.07,5.13,5.51,4.51,5.25,5.72,5.50,6.06,4.81,5.43,5.12,5.14,4.32,2.90,3.65,4.70,4.22,4.80,3.48,3.92,4.58,4.96,4.83,4.70,5.65,4.89,4.29,4.03,2.77,1.65,2.52,1.70,2.14,2.20,2.85
P/FCF Ratio,-,-,-138.52,-222.70,360.46,118.35,26.66,34.36,56.87,162.84,121.64,46.84,30.41,27.34,27.64,25.73,26.90,27.96,40.81,41.93,78.82,254.81,-344.53,383.12,-214.87,-436.69,-,-149.04,-215.98,-334.86,-93.14,-119.77,-180.57,-87.00,-27.99,-22.25,-21.32,-24.89,-35.38,-31.10,-31.10
P/OCF Ratio,-,-,25.92,24.96,21.46,21.22,11.80,12.83,16.73,18.45,20.31,18.71,15.15,14.64,14.92,14.38,14.74,14.92,19.88,16.02,22.47,31.85,30.00,26.62,21.38,25.80,24.89,33.08,38.03,42.53,50.96,49.70,39.41,43.80,70.75,24.62,93.18,30.77,29.74,46.64,60.39
Debt / Equity Ratio,-,-7.30,3.61,3.92,4.02,2.97,3.15,3.08,3.10,2.93,3.15,3.44,3.19,2.87,2.03,2.73,2.60,2.50,1.49,1.41,1.35,1.76,1.78,1.69,1.46,1.04,1.00,0.88,0.87,0.83,1.07,0.94,0.90,0.88,0.89,0.99,1.03,1.05,1.29,1.36,1.36
Quick Ratio,-,1.06,1.05,1.21,1.23,1.31,1.30,1.32,1.29,1.40,1.13,1.86,1.65,1.66,2.21,1.56,1.61,1.67,1.46,1.48,1.54,1.55,1.45,1.32,1.43,2.01,1.86,1.57,1.67,1.65,2.60,1.71,1.73,1.45,1.41,0.91,0.87,0.84,0.68,1.03,1.03
Current Ratio,-,1.52,1.64,1.84,1.79,1.85,1.96,2.00,1.96,2.02,1.71,2.64,2.38,2.26,2.91,2.22,2.18,2.15,2.05,2.08,2.18,2.08,2.06,1.98,1.90,2.57,2.56,2.46,2.44,2.44,3.59,2.85,2.89,2.66,2.86,1.91,1.84,1.76,1.70,2.48,2.48
