,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,316,228,419,218,318,275,271,238,607,218,893,251,261,486,260,227,120,189,190,310,268,422,382,378,135,"1,192",675,413,172,477,240,180,283,444,272,163,120,"1,792",137,137
Short-Term Investments,687,472,0,0,536,0,0,243,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,122,0,"2,596",670,"1,019",264,260,221
Cash & Cash Equivalents,"1,003",700,419,218,854,275,271,481,862,218,893,251,261,486,260,227,120,189,190,310,268,422,382,433,135,"1,192",675,413,172,477,240,180,405,444,"2,868",833,"1,139","2,056",397,358
Cash Growth,30.94%,24.56%,-65.93%,-77.66%,-14.86%,-60.71%,-35.32%,120.64%,0.94%,-20.73%,229.52%,-47.82%,-69.72%,122.94%,-70.88%,-9.56%,-54.02%,-61.11%,-26.92%,36.56%,123.33%,123.28%,101.05%,39.68%,-49.63%,182.46%,76.70%,-4.62%,27.41%,-59.98%,-64.44%,-56.42%,135.47%,-6.92%,1095.00%,362.78%,181.23%,363.06%,-86.16%,-57.02%
Receivables,"1,836","1,972","1,637","1,464","1,633","1,702","1,440","1,433","1,369","1,328","1,279","1,392","1,706","1,570","1,395","1,504","1,786","1,751","1,643","1,671","2,080","2,439","2,096","2,335","2,425","2,425","2,273","2,176","2,507","2,080","1,975","2,059","2,568","2,505","2,522","2,445","2,540","2,835","2,895","2,560"
Inventory,"1,176","1,013","1,261","1,385","1,410","1,227","1,260","1,310","1,348","1,304","1,351","1,516","1,524","1,453","1,469","1,527","1,477","1,367","1,429","1,455","1,418","1,657","1,724","1,800","1,616","1,677","1,735","1,565","1,550","1,476","1,538","1,593","1,631","1,512","1,584","1,766","1,528","1,746","1,826","1,633"
Other Current Assets,"1,925","1,793","2,244","2,379","1,718","1,849","1,481",899,610,861,620,640,757,776,787,736,951,974,"1,348","2,266","1,395","1,457","1,525","1,701","1,920","1,242","1,441","15,675","2,657","2,629","3,170","5,466","2,665","3,922","4,414","3,655","4,643","2,968","2,859","20,128"
Total Current Assets,"5,940","5,478","5,561","5,446","5,615","5,053","4,452","4,123","4,189","3,711","4,143","3,799","4,248","4,285","3,911","3,994","4,334","4,281","4,610","5,702","5,161","5,975","5,727","6,269","6,096","6,536","6,124","19,829","6,886","6,662","6,923","9,298","7,269","8,383","11,388","8,699","9,850","9,605","7,977","24,679"
"Property, Plant & Equipment","32,628","33,127","33,887","34,884","36,270","37,226","38,668","39,781","41,554","42,623","43,682","48,888","49,964","50,716","51,748","52,811","53,758","54,129","54,604","54,185","54,560","67,053","67,609","68,433","57,200","67,396","67,980","56,788","57,848","58,421","59,226","58,386","59,774","60,121","61,264","62,894","51,826","64,625","66,543","56,161"
Long-Term Investments,"5,102","5,317","5,458","5,477","5,561","5,617","5,585","5,624","5,774","5,853","5,980","6,224","6,343","6,674","6,858","7,096","6,964","7,032","7,208","7,627","6,560","7,370","7,596","7,757","7,905","7,575","6,984","6,890","10,238","10,493","10,856","10,817","11,767","10,944","10,714","10,713","6,577","9,664","9,952","6,972"
