,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash & Equivalents,"6,736","7,390","9,671","12,009","13,387","15,145","6,964","13,589","11,332","8,897"
Cash & Cash Equivalents,"6,736","7,390","9,671","12,009","13,387","15,145","6,964","13,589","11,332","8,897"
Cash Growth,7.43%,9.71%,30.87%,24.18%,11.47%,13.13%,-54.02%,95.13%,-16.61%,-21.49%
"Property, Plant & Equipment",654,670,693,734,825,936,"1,057","1,027",983,"1,003"
Goodwill and Intangibles,469,433,423,421,418,416,410,350,255,255
Total Assets,"79,340","83,126","86,799","92,308","100,087","109,553","113,996","112,889","110,242","131,706"
Total Liabilities,"68,531","71,992","75,524","80,985","89,195","98,423","102,137","102,005","96,834","117,362"
Total Debt,"20,614","22,657","24,650","25,443","26,326","27,228","25,701","21,241","20,227","20,108"
Debt Growth,3.00%,9.91%,8.80%,3.22%,3.47%,3.43%,-5.61%,-17.35%,-4.77%,-0.59%
Common Stock,"1,266",-195,"-1,815","-3,646","-5,643","-7,620","-9,312","-9,116","-11,264","-13,524"
Retained Earnings,"9,611","11,467","13,250","15,130","16,687","18,906","21,290","19,955","24,766","28,207"
Comprehensive Income,-68,-138,-160,-161,-152,-156,-119,45,-94,-339
Shareholders' Equity,"10,809","11,134","11,275","11,323","10,892","11,130","11,859","10,884","13,408","14,344"
Net Cash / Debt,"-13,878","-15,267","-14,979","-13,434","-12,939","-12,083","-18,737","-7,652","-8,895","-11,211"
Book Value Per Share,22.67,24.55,26.38,28.71,29.97,33.13,37.83,35.51,45.75,52.50
