,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"26,679","27,401","28,900","29,742","29,698","25,202","25,497","22,632","22,922","21,091","22,091","22,825","28,432","26,367","23,644","24,009","27,951","25,518","24,571","26,196","19,815","23,368","25,118","25,806","26,588","10,998","15,343","17,705","27,747","29,133","36,065","36,790","33,868","31,394","26,574","24,837","26,730","25,890","29,674","21,653","27,629"
Market Cap Growth,27.02%,22.83%,23.69%,21.64%,11.32%,-8.03%,-11.77%,-23.91%,-22.82%,-16.31%,-13.36%,0.86%,24.04%,25.01%,7.03%,5.19%,-1.69%,-3.22%,3.92%,9.11%,-29.11%,-8.42%,2.22%,-1.49%,34.18%,-52.93%,-38.92%,-31.39%,4.36%,164.88%,135.07%,107.79%,22.06%,7.76%,-26.32%,-32.49%,-21.08%,-17.53%,11.67%,-12.82%,-
Enterprise Value,"40,557","37,813","41,893","43,314","44,965","36,369","38,391","36,084","37,901","32,698","36,057","36,632","41,866","36,927","37,039","36,218","40,890","34,664","34,904","36,585","31,898","34,431","38,928","44,148","45,325","25,885","23,370","40,157","35,399","29,470","39,047","42,558","42,763","38,883","35,088","33,144","37,941","33,890","41,306","31,887","37,863"
PE Ratio,11.05,11.55,11.97,12.06,13.08,11.33,11.69,10.53,10.21,9.44,9.81,10.02,12.16,11.33,10.47,10.81,13.76,12.00,10.89,11.07,7.37,8.50,8.87,8.95,9.14,5.18,15.24,17.55,25.13,10.70,7.55,7.24,6.33,6.27,6.01,5.72,6.21,6.41,7.74,6.17,8.20
PS Ratio,3.74,3.85,4.06,4.11,4.22,3.60,3.61,3.19,3.17,2.91,3.08,3.18,3.93,3.67,3.30,3.35,3.82,3.45,3.29,3.45,2.58,2.99,3.14,3.18,3.23,1.50,2.60,3.07,4.66,3.63,3.32,3.20,2.85,2.74,2.49,2.30,2.44,2.38,2.76,2.08,2.65
PB Ratio,2.47,2.49,2.54,2.63,2.67,2.25,2.26,2.00,2.03,1.86,1.94,2.01,2.51,2.34,2.10,2.15,2.57,2.35,2.26,2.38,1.78,2.08,2.19,2.20,2.24,1.14,1.59,1.73,2.55,2.40,2.74,2.77,2.53,2.34,1.93,1.74,1.86,1.81,2.14,1.52,1.94
P/FCF Ratio,8.12,9.32,9.59,8.14,8.07,6.97,7.17,6.20,6.22,5.58,5.75,5.71,6.70,6.43,5.32,5.14,5.60,4.90,4.26,4.50,4.01,3.89,4.19,4.96,4.50,2.08,2.91,3.08,4.68,5.04,6.24,6.02,5.81,5.20,4.35,4.08,3.87,3.73,4.36,2.86,3.65
P/OCF Ratio,7.59,8.69,9.03,7.81,7.76,6.70,6.86,5.94,5.95,5.34,5.51,5.46,6.43,6.16,5.09,4.92,5.37,4.70,4.10,4.33,3.82,3.72,4.00,4.70,4.29,1.98,2.76,2.94,4.48,4.84,6.03,5.83,5.63,5.03,4.21,3.94,3.74,3.60,4.18,2.75,3.51
Debt / Equity Ratio,1.91,1.84,1.77,1.86,2.03,2.06,2.15,2.11,2.19,2.19,2.17,2.36,2.25,2.38,2.35,2.39,2.42,2.41,2.41,2.45,2.45,2.33,2.19,2.09,2.17,2.70,2.41,3.17,1.95,1.73,1.47,1.40,1.51,1.28,1.45,1.41,1.40,1.27,1.46,1.37,1.37
Return on Capital (ROIC),Upgrade,7.79%,7.68%,7.76%,7.73%,6.82%,6.58%,6.23%,6.22%,6.34%,6.29%,6.33%,6.05%,6.46%,6.21%,6.08%,5.95%,5.56%,5.85%,6.18%,6.35%,7.11%,7.43%,7.84%,8.08%,7.84%,6.00%,2.84%,2.19%,3.19%,8.10%,14.89%,16.23%,16.13%,16.61%,13.28%,12.78%,12.68%,12.64%,11.43%,10.60%
