,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"7,479","10,769","11,243","14,945","15,905","19,493","27,507","30,077","23,403","36,357","46,876"
Market Cap Growth,19.23%,43.99%,4.41%,32.93%,6.42%,22.56%,41.11%,9.34%,-22.19%,55.35%,-
Enterprise Value,"10,473","13,187","13,202","16,792","17,602","21,379","28,750","32,252","26,897","37,551","48,822"
PE Ratio,14.02,14.35,12.69,14.39,10.89,12.04,11.59,7.20,4.00,7.66,10.18
PS Ratio,0.93,1.00,0.93,1.06,0.99,1.11,1.35,1.08,0.70,1.02,1.30
PB Ratio,1.46,1.83,1.66,1.93,1.77,1.95,2.32,2.02,1.21,1.60,2.02
P/FCF Ratio,-9.82,15.38,20.91,52.83,22.73,24.01,21.75,98.74,56.58,8.64,14.49
P/OCF Ratio,-11.31,15.37,18.02,33.95,29.17,21.85,19.35,56.28,41.66,8.45,14.11
EV/Sales Ratio,1.31,1.22,1.09,1.19,1.10,1.22,1.42,1.16,0.80,1.06,1.36
EV/EBITDA Ratio,12.55,11.42,9.33,10.14,8.30,9.73,9.37,5.95,3.51,5.91,7.70
EV/EBIT Ratio,13.15,11.98,9.75,10.48,8.55,10.06,9.66,6.04,3.54,5.99,7.82
EV/FCF Ratio,-13.75,18.83,24.55,59.36,25.15,26.33,22.73,105.88,65.03,8.92,15.09
Debt / Equity Ratio,0.72,0.65,0.48,0.37,0.36,0.34,0.36,0.36,0.31,0.22,0.23
Debt / EBITDA Ratio,4.39,3.30,2.31,1.73,1.51,1.55,1.40,1.00,0.79,0.80,0.83
Debt / FCF Ratio,-4.81,5.44,6.08,10.15,4.58,4.19,3.39,17.77,14.67,1.21,1.64
Asset Turnover,0.84,1.00,1.07,1.18,1.19,1.17,1.16,1.28,1.21,1.12,1.11
Return on Equity (ROE),11.50%,13.50%,13.80%,14.10%,17.40%,17.00%,21.80%,30.90%,33.50%,22.30%,21.50%
Return on Assets (ROA),5.60%,7.00%,7.80%,8.70%,10.80%,10.70%,13.50%,19.30%,21.10%,15.00%,14.60%
Return on Capital (ROIC),5.90%,7.59%,8.67%,9.62%,11.71%,11.88%,14.59%,20.54%,22.94%,16.63%,16.10%
Earnings Yield,7.13%,6.97%,7.88%,6.95%,9.18%,8.30%,8.63%,13.88%,25.03%,13.05%,10.10%
FCF Yield,-10.18%,6.50%,4.78%,1.89%,4.40%,4.16%,4.60%,1.01%,1.77%,11.57%,6.90%
Dividend Yield,0.70%,0.90%,1.10%,1.00%,1.20%,1.10%,0.90%,1.00%,1.30%,0.90%,0.85%
Payout Ratio,8.80%,12.30%,13.40%,14.40%,12.90%,13.80%,10.80%,6.90%,5.40%,7.20%,8.65%
Buyback Yield / Dilution,-12.90%,-0.63%,-1.15%,-1.01%,-1.19%,1.56%,1.91%,1.19%,3.01%,3.24%,3.23%
Total Shareholder Return,-12.20%,0.27%,-0.05%,-0.01%,0.01%,2.66%,2.81%,2.19%,4.31%,4.14%,4.08%
