,2013-12-29,2014-03-23,2014-06-15,2014-09-07,2014-12-28,2015-03-22,2015-06-14,2015-09-06,2016-01-03,2016-03-27,2016-06-19,2016-09-11,2017-01-01,2017-03-26,2017-06-18,2017-09-10,2017-12-31,2018-03-25,2018-06-17,2018-09-09,2018-12-30,2019-03-24,2019-06-16,2019-09-08,2019-12-29,2020-03-22,2020-06-14,2020-09-06,2021-01-03,2021-03-28,2021-06-20,2021-09-12,2022-01-02,2022-03-27,2022-06-19,2022-09-11,2023-01-01,2023-03-26,2023-06-18,2023-09-10
Cash & Equivalents,139.84,147,90.01,104.53,151.81,196.52,122.71,123.53,314.39,332.38,129.74,153.55,169.31,217.76,213.93,253.36,227.53,189.8,302.76,252.77,192.43,233.17,260.97,244,399.88,390.17,486.19,491.05,386.27,443.75,476.79,501.63,328.74,333.2,272.57,299.34,251.65,324.99,266.71,283.19
Cash & Cash Equivalents,139.84,147,90.01,104.53,151.81,196.52,122.71,123.53,314.39,332.38,129.74,153.55,169.31,217.76,213.93,253.36,227.53,189.8,302.76,252.77,192.43,233.17,260.97,244,399.88,390.17,486.19,491.05,386.27,443.75,476.79,501.63,328.74,333.2,272.57,299.34,251.65,324.99,266.71,283.19
Cash Growth,21.78%,7.73%,-10.48%,9.61%,8.56%,33.69%,36.32%,18.18%,107.10%,69.13%,5.73%,24.30%,-46.15%,-34.48%,64.89%,65.00%,34.39%,-12.84%,41.52%,-0.23%,-15.43%,22.85%,-13.80%,-3.47%,107.81%,67.33%,86.30%,101.25%,-3.40%,13.73%,-1.93%,2.15%,-14.89%,-24.91%,-42.83%,-40.33%,-23.45%,-2.46%,-2.15%,-5.40%
Receivables,108.5,103.88,105.97,103.54,118.4,118.09,113.33,112.4,131.58,130.52,132.53,138.11,150.37,150.93,151.64,154.48,173.68,174.42,182.82,170.24,190.09,194.06,182.9,185.4,210.26,219.2,232.11,229.4,244.56,235.79,235.95,238.91,255.33,246.98,274.96,242.78,257.49,259.16,260.02,250
Inventory,30.32,33.58,33.54,35.21,37.94,37.9,36.28,39.83,36.86,39.11,36.47,38.83,40.18,38.33,37.66,37.09,39.96,41.23,40.16,41.42,45.98,45.67,44.28,51.01,52.96,49.01,66.85,65.5,66.68,63.78,59.18,64.56,68.33,77.71,70.2,72.59,81.57,69.28,65.63,69.68
Other Current Assets,72.89,69.42,91.45,90.04,120.21,93.53,132.18,128.68,119.81,124.48,151.7,142.1,136.01,121.62,157.67,147.66,138.61,130.98,157.18,141.22,138.45,117.64,155.29,124.93,124.52,135.99,141.96,170.57,171.87,182.49,208.92,220.9,208.15,203.35,228.14,211.7,199.95,174.31,207.25,192.77
Total Current Assets,351.54,353.88,320.98,333.32,428.36,446.04,404.5,404.43,602.64,626.49,450.45,472.59,495.87,528.64,560.9,592.59,579.78,536.42,682.91,605.65,566.95,590.54,643.45,605.34,787.62,794.37,927.11,956.52,869.38,925.8,980.85,"1,026",860.54,861.24,845.87,826.4,790.65,827.74,799.62,795.63
"Property, Plant & Equipment",97.58,95.72,98.06,100.49,114.05,114.74,117.2,119.45,131.89,131.06,131.97,132.6,138.53,137.82,137.79,139.68,169.59,169.53,177.19,207,234.94,449.87,425.34,443.71,471.67,469.66,484.5,491.92,525.63,517.73,516.38,511.55,534.77,528.75,536.59,529.03,521.44,518.51,509.75,500.33
Long-Term Investments,3.27,0,0,0,4.59,0,0,0,6.05,0,0,0,7.26,0,0,0,8.12,0,0,0,8.72,0,0,0,11.98,0,0,0,53.25,82.5,82.5,82.5,141.27,125.84,125.84,125.84,125.84,125.84,110.88,139.11
Goodwill and Intangibles,31.06,30.85,33.33,34.81,36.86,37.1,38.29,40.31,44.6,46.08,50.52,52.13,56.31,57.29,61.58,64.28,68.25,71.4,74.24,74.76,78.73,81.08,83.17,84.6,88.23,89.26,92.35,93.69,96.37,99.73,103.77,106.41,110.59,112.94,119.29,121.69,120.12,124.84,130.99,136.92
Other Long-Term Assets,41.8,43.86,43.3,42.26,12.48,39.09,37.92,39,14.66,17.14,19.33,19.29,18.31,18.71,21.52,19.7,11.02,20.95,20.22,24.71,18.05,26.78,25.21,26.63,22.59,36.58,77.73,78.82,22.53,37.07,38.3,37.91,24.64,45.26,43.04,43.45,44.17,44.47,44.94,47.48
Total Long-Term Assets,173.72,170.43,174.69,177.56,167.97,190.94,193.4,198.76,197.21,194.27,201.83,204.02,220.42,213.83,220.89,223.65,256.97,261.88,271.65,306.47,340.43,557.73,533.72,554.93,594.48,595.5,654.58,664.43,697.78,737.03,740.94,738.36,811.28,812.79,824.76,820.01,811.57,813.65,796.55,823.83
Total Assets,525.26,524.31,495.67,510.88,596.33,636.98,597.9,603.2,799.85,820.76,652.28,676.61,716.3,742.46,781.8,816.24,836.75,798.3,954.57,912.11,907.39,"1,148","1,177","1,160","1,382","1,390","1,582","1,621","1,567","1,663","1,722","1,764","1,672","1,674","1,671","1,646","1,602","1,641","1,596","1,619"
Accounts Payable,83.41,73.18,73.18,73.94,86.55,88.32,76.96,86.42,106.93,86.14,84.9,103.99,111.51,110.25,104.62,109.76,106.89,88.98,79.42,87.51,92.55,84.89,82.46,95.66,111.1,94.5,102.9,88.19,94.5,95.04,104.52,111.78,91.55,92.35,99.47,91.3,89.72,93.55,90.69,101.06
Current Debt,24.14,24.16,0.54,0.55,0.57,0.23,0.24,0.26,59.33,41.59,48.87,73.88,38.89,0.3,0.31,32.31,32.32,32.34,35.6,35.85,35.89,67.66,66.08,68.14,76.71,80.3,79.88,80.17,38.72,38.99,91.31,91.94,92.74,93.02,97.34,96.61,89.69,92.08,93.36,94.49
Other Current Liabilities,147.06,143.07,142.29,145.9,178.49,186.76,192.02,192.61,209.72,206,222.96,232.65,253.3,258.9,246.59,256.46,259.07,263.45,262.4,253.08,251.3,259.46,264.38,257.45,266.02,277.36,277.09,320.17,337.6,367.8,358.53,392.64,406.45,409.46,378.65,390.83,357.22,370.74,363.48,367.39
Total Current Liabilities,254.61,240.4,216.01,220.39,265.61,275.31,269.21,279.29,375.98,333.73,356.73,410.52,403.7,369.44,351.51,398.53,398.29,384.77,377.42,376.43,379.74,412.01,412.91,421.25,453.83,452.17,459.87,488.53,470.82,501.84,554.35,596.35,590.74,594.82,575.45,578.74,536.62,556.37,547.53,562.94
Long-Term Debt,"1,512","1,506","1,524","1,524","1,501","1,527","1,527","1,528","2,181","2,173","2,165","2,157","2,149","2,179","2,181","3,128","3,121","3,117","3,437","3,438","3,496","3,646","3,603","3,609","4,274","4,261","4,327","4,264","4,318","4,315","5,223","5,208","5,199","5,184","5,184","5,288","5,163","5,149","5,133","5,115"
