,2014-02-23,2014-05-25,2014-08-24,2014-11-23,2015-02-22,2015-05-31,2015-08-30,2015-11-29,2016-02-28,2016-05-29,2016-08-28,2016-11-27,2017-02-26,2017-05-28,2017-08-27,2017-11-26,2018-02-25,2018-05-27,2018-08-26,2018-11-25,2019-02-24,2019-05-26,2019-08-25,2019-11-24,2020-02-23,2020-05-31,2020-08-30,2020-11-29,2021-02-28,2021-05-30,2021-08-29,2021-11-28,2022-02-27,2022-05-29,2022-08-28,2022-11-27,2023-02-26,2023-05-28,2023-08-27,2023-11-26
Cash & Equivalents,127,98.3,413.7,157.5,436.2,535.9,690.1,857.6,215.8,274.8,114.7,116.8,391.4,233.1,146.8,114.7,146.8,146.9,151.8,139.7,302.9,457.3,350.8,157.3,321.7,763.3,654.6,777.3,993.9,"1,215",947.8,746.3,555.3,420.6,377.5,240.7,275.3,367.8,192.1,195.7
Cash & Cash Equivalents,127,98.3,413.7,157.5,436.2,535.9,690.1,857.6,215.8,274.8,114.7,116.8,391.4,233.1,146.8,114.7,146.8,146.9,151.8,139.7,302.9,457.3,350.8,157.3,321.7,763.3,654.6,777.3,993.9,"1,215",947.8,746.3,555.3,420.6,377.5,240.7,275.3,367.8,192.1,195.7
Cash Growth,22.23%,11.45%,279.89%,86.17%,243.46%,445.17%,66.81%,444.51%,-50.53%,-48.72%,-83.38%,-86.38%,81.37%,-15.17%,27.99%,-1.80%,-62.49%,-36.98%,3.41%,21.80%,106.34%,211.30%,131.09%,12.60%,6.21%,66.91%,86.60%,394.15%,208.95%,59.14%,44.79%,-3.99%,-44.13%,-65.37%,-60.17%,-67.75%,-50.42%,-12.55%,-49.11%,-18.70%
Receivables,69,83.8,86.2,66.7,64,78,60.8,63.3,53.8,64,56.3,69.8,43.6,75.9,57.6,66.7,50.6,83.7,68.8,80.5,73.9,88.3,51.1,56.8,51.2,49.8,47.2,46.2,44,68.2,67.6,69.1,52.6,72,50.7,71.6,57.6,80.2,59.2,80.3
Inventory,461,196.8,201.6,193.5,172.8,163.9,162.6,170,178.9,175.4,161.8,183.6,168,178.9,176.3,199.1,208,205.3,194.6,209.4,209.5,207.3,199,212.2,229.6,206.9,190.1,203,188.2,190.8,210.9,230.2,243.7,270.6,273.1,296.1,305.9,287.9,287,310.6
Other Current Assets,252.2,"1,597",302.4,301.7,308.9,278.6,291.1,292.6,281.4,306.1,278,313.2,281.9,100,102.3,104.7,164.2,117.7,129.4,131.6,100.9,139.7,69.4,109.2,83.5,81.4,79.1,83.2,74.3,397.4,431.7,468.6,428.5,416.2,239.7,283.7,252.1,261.8,297.4,281.1
Total Current Assets,909.2,"1,976","1,004",719.4,981.9,"1,056","1,205","1,384",729.9,820.3,610.8,683.4,884.9,587.9,483,485.2,569.6,553.6,544.6,561.2,687.2,892.6,670.3,535.5,686,"1,101",971,"1,110","1,300","1,871","1,658","1,514","1,280","1,179",941,892.1,890.9,997.7,835.7,867.7
"Property, Plant & Equipment","4,512","3,381","3,380","3,338","3,289","3,216","3,104","2,075","2,058","2,042","2,036","2,057","2,069","2,272","2,319","2,386","2,405","2,430","2,474","2,521","2,540","2,553","6,608","6,760","6,825","6,726","6,691","6,686","6,656","6,646","6,733","6,741","6,785","6,821","6,939","6,994","7,047","7,099","7,592","7,583"
Goodwill and Intangibles,"1,482","1,447","1,447","1,447","1,447","1,447","1,447","1,447","1,447","1,447","1,447","1,448","1,448","2,152","2,122","2,123","2,132","2,135","2,135","2,135","2,135","2,135","2,151","2,150","2,156","1,843","1,844","1,844","1,844","1,844","1,844","1,844","1,844","1,844","1,844","1,844","1,844","1,844","2,525","2,541"
Other Long-Term Assets,321.2,278.8,293.1,283.1,285.5,275.5,270.7,277.2,267,273.8,276.7,274.1,278.3,280.2,299.3,322.9,348.1,351.7,344.2,332.4,336.2,313.1,291,297.4,305.7,275.3,283.8,288.4,295.8,295.7,306.6,304.9,296.7,291.6,291.2,296,294.2,301.1,316.6,330.3
