,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"1,531","2,008","1,931","2,036","2,821",960,"1,370",857,778,676,"6,179",392,878,298,282,358,421,304,303,442,377,336,379,311,"1,450",341,308,259,379,367,548,343,853,428,453,409,451,377,324,253
Short-Term Investments,6,"21,765","22,336","21,971","22,139","19,567","19,517","19,385","19,385","19,329","19,302","22,177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-9,565","-9,245",0
Cash & Cash Equivalents,"1,537","2,008","1,931","2,036","2,821",960,"1,370",857,778,676,"6,179",392,878,298,282,358,421,304,303,442,377,336,379,311,"1,450",341,308,259,379,367,548,343,853,428,453,409,451,377,324,253
Cash Growth,-2.97%,8.48%,-15.46%,31.78%,83.54%,-52.19%,-29.05%,-57.91%,-72.42%,-29.58%,351.02%,-54.26%,12.85%,-55.92%,-95.44%,-8.67%,-52.05%,2.01%,7.45%,23.46%,-10.45%,10.53%,25.08%,-29.64%,284.62%,1.49%,-18.73%,-16.72%,-73.86%,7.62%,77.92%,32.43%,125.07%,16.62%,-17.34%,19.24%,-47.13%,-11.92%,-28.48%,-38.14%
Receivables,"2,796","2,995","2,923","2,764","2,766","2,696","2,759","2,451","2,323","2,518","2,722","2,644","2,305","2,378","2,617","2,774","2,743","2,817","3,079","3,134","2,756","2,799","3,077","3,060","2,637","2,802","3,039","3,153","2,784","3,088","3,429","3,610","3,738","3,928","4,212","4,415","3,670","3,828","4,075","1,112"
Inventory,"2,908","3,056","3,200","3,459","3,413","3,469","3,537","3,810","3,721","3,627","3,351","3,522","3,366","3,369","3,265","3,250","3,149","3,177","3,140","3,084","3,102","3,189","3,107","3,232","3,324","3,289","3,190","3,167","3,076","3,015","2,900","3,199","3,171","3,208","3,487","3,584","3,865","4,100","4,118","4,292"
Other Current Assets,"3,324","-18,309","-18,815","-18,655","-18,817","-17,094","-16,988","-18,181","-18,264","-18,053","-18,020","-20,696","1,456","1,628","1,542","2,071","1,966","2,178","2,998","3,054","2,933","3,185","3,056","2,560","2,770","2,805","2,142","2,103","2,269","2,515","2,559","2,788","3,280","3,997","4,820","4,814","4,328","14,348","13,776","7,112"
Total Current Assets,"10,565","11,515","11,575","11,575","12,322","9,598","10,195","8,322","7,943","8,097","13,534","8,039","8,005","7,673","7,706","8,453","8,279","8,476","9,520","9,714","9,168","9,509","9,619","9,163","10,181","9,237","8,679","8,682","8,508","8,985","9,436","9,940","11,042","11,561","12,972","13,222","12,314","13,088","13,048","12,769"
"Property, Plant & Equipment","66,355","66,908","69,595","70,046","70,301","71,759","73,776","75,709","76,432","77,329","78,216","82,520","83,516","84,404","84,862","86,391","87,373","88,495","89,865","91,694","97,419","98,933","100,615","103,785","104,741","105,905","107,337","108,306","109,169","110,136","111,523","112,674","113,571","115,073","117,106","112,790","113,961","115,489","117,020","116,407"
Long-Term Investments,"5,617","5,798","5,724","5,904","5,919","5,904","6,067","6,324","6,427","6,579","6,716","7,130","7,570","7,868","8,180","8,272","8,213","8,300","8,749","8,129","8,976","9,336","9,559","10,076","9,119","8,861","9,287","10,075","10,329","10,824","10,812","11,371","10,803","9,557","9,074","9,092","9,589","10,044","9,750",492
