,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"6,066","2,027","1,706","3,408","1,480","1,858","1,725","1,787","2,310","1,635","1,723","2,385","1,959","2,119","2,369","2,781","2,642","1,424","1,460","3,102","2,414","1,327","3,840","1,655","1,844","1,727","1,669","1,897","2,237","1,878","1,539","2,321","2,271","2,625","3,457","1,310","1,454",887,488,761
Cash & Cash Equivalents,"6,066","2,027","1,706","3,408","1,480","1,858","1,725","1,787","2,310","1,635","1,723","2,385","1,959","2,119","2,369","2,781","2,642","1,424","1,460","3,102","2,414","1,327","3,840","1,655","1,844","1,727","1,669","1,897","2,237","1,878","1,539","2,321","2,271","2,625","3,457","1,310","1,454",887,488,761
Cash Growth,-13.09%,-68.82%,-59.69%,-21.11%,-75.60%,-8.34%,1.11%,-47.56%,56.08%,-12.00%,-0.12%,33.46%,-15.19%,29.60%,37.49%,16.60%,34.86%,-32.80%,-38.37%,11.54%,-8.63%,-6.81%,163.01%,-46.65%,-23.61%,30.14%,-56.54%,14.62%,21.31%,8.74%,-7.79%,22.35%,1.52%,39.78%,124.63%,-43.56%,-35.98%,-66.21%,-85.88%,-41.91%
Receivables,"1,520","2,580","2,301","2,009","1,959","1,663","1,602","1,318","1,105","1,023","1,167","1,092","1,356","1,320","1,248","1,462",989,"1,695","1,141","1,226",812,"1,038",842,787,832,594,515,493,601,"1,089","1,185","1,517","1,543","2,002","2,348","2,061","1,767","1,615","1,519","1,853"
Inventory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,201,212,201,233
Other Current Assets,419,413,385,556,"3,059","2,285","1,403","1,193",606,292,"1,092",974,457,336,469,379,"1,160",516,"11,219",429,"1,211",338,485,404,"1,175","1,734","1,194","1,087",422,500,352,389,321,346,546,638,469,475,397,365
Total Current Assets,"8,005","5,020","4,392","5,973","6,498","5,806","4,730","4,298","4,021","2,950","3,982","4,451","3,772","3,775","4,086","4,622","4,791","3,635","13,820","4,757","4,437","2,703","5,167","2,846","3,851","4,055","3,378","3,477","3,260","3,467","3,076","4,227","4,249","4,973","6,351","4,009","3,891","3,189","2,605","3,212"
"Property, Plant & Equipment","28,447","37,429","36,999","35,169","36,296","31,455","27,824","22,775","19,068","19,264","16,815","16,169","20,533","16,421","16,822","17,082","14,584","21,383","14,121","14,202","8,462","14,229","10,310","10,396","8,836","6,017","5,917","5,782","5,616","15,529","15,441","15,322","15,243","15,303","15,349","18,025","18,330","18,734","19,029","19,292"
Long-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,402,398,388,402,416,423,431,440,469,675,671
Goodwill and Intangibles,"5,858","9,155","8,408","8,310","6,303","6,328","6,349","5,775","5,032","4,159","4,159","3,963","2,383","3,964","3,964","3,964",841,"2,383",841,841,753,841,841,841,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753
Other Long-Term Assets,567,"1,161","1,316","1,387","1,540","1,753","1,703","1,503","1,330","2,264","2,288","2,230","1,987","1,974","1,942","1,891","10,025","1,915",377,372,"5,914",304,331,311,277,319,309,314,271,306,397,367,378,333,318,339,307,275,293,313
Total Long-Term Assets,"34,872","47,745","46,723","44,866","44,139","39,536","35,876","30,053","25,430","25,687","23,262","22,362","24,903","22,359","22,728","22,937","25,450","25,681","15,339","15,415","15,129","15,374","11,482","11,548","9,866","7,089","6,979","6,849","6,652","16,990","16,989","16,830","16,776","16,805","16,843","19,548","19,830","20,231","20,750","21,029"
