,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,235.9,101.4,91.7,115,128.3,95,84.2,108.5,93.3,96.8,96.8,111.5,129.3,123.2,403.9,315.4,336.4,249.3,327.4,253.4,223.6,133.2,135.8,167.5,401.3,369.9,"1,347","1,536","1,685",765.9,458.1,"2,026",224.7,200.9,223.6,241.7,285.2,232.5,164.1,412.6
Cash & Cash Equivalents,235.9,101.4,91.7,115,128.3,95,84.2,108.5,93.3,96.8,96.8,111.5,129.3,123.2,403.9,315.4,336.4,249.3,327.4,253.4,223.6,133.2,135.8,167.5,401.3,369.9,"1,347","1,536","1,685",765.9,458.1,"2,026",224.7,200.9,223.6,241.7,285.2,232.5,164.1,412.6
Cash Growth,60.69%,-5.76%,-12.58%,-12.81%,-45.61%,-6.31%,-8.18%,-5.65%,-27.28%,1.89%,14.96%,2.76%,38.59%,27.27%,317.25%,182.87%,160.17%,102.35%,-18.94%,-19.66%,-33.53%,-46.57%,-58.52%,-33.90%,79.47%,177.70%,892.19%,816.78%,319.79%,107.06%,-66.00%,31.90%,-86.66%,-73.77%,-51.19%,-88.07%,26.92%,15.73%,-26.61%,70.71%
Receivables,309.7,337.2,345.3,324,337.2,362.7,368.2,357.7,349.8,424.7,418,436.4,433.3,459.7,462.4,458.3,444.8,487.5,473.5,467.9,469.1,514,502.6,516.6,532.1,605.5,592.5,605.9,630.6,708.8,694,694.6,727.6,856.8,892.9,845,857.7,919.5,935.9,967.9
Other Current Assets,102.8,85.9,117.2,111.4,125,127.3,138.8,115.9,118.5,108.6,112.4,113.9,110.3,122.3,134.4,125.6,217.2,180.6,147.9,166.2,209.6,217.5,175.4,168.9,276,173.6,165,170.1,163.1,190.3,177.4,170.2,168.6,206.5,236.8,208.2,227.6,231.6,215.4,216.9
Total Current Assets,648.4,524.5,554.2,550.4,590.5,585,591.2,582.1,561.6,630.1,627.2,661.8,672.9,705.2,"1,001",899.3,998.4,917.4,948.8,887.5,902.3,864.7,813.8,853,"1,209","1,149","2,105","2,312","2,478","1,665","1,330","2,890","1,121","1,264","1,353","1,295","1,371","1,384","1,315","1,597"
"Property, Plant & Equipment",288.9,291,292.3,297.9,300.6,304,315.6,339,366.8,397.4,418.2,443.3,466.9,479,498.1,528.7,567,590.9,636.5,695.2,764.8,818.1,872.5,904.5,947.6,962.1,"1,017","1,071","1,139","1,175","1,216","1,253","1,316","1,383","1,434","1,487","1,587","1,655","1,722","1,764"
Goodwill and Intangibles,"3,464","3,790","3,772","3,712","3,656","3,605","3,591","3,536","3,494","5,589","5,471","5,573","5,393","5,465","5,432","5,550","5,526","5,536","5,386","5,391","5,324","5,349","5,482","5,374","5,448","5,253","5,430","5,462","5,589","6,450","6,402","6,536","8,251","8,381","8,161","8,257","8,297","8,251","8,195","8,730"
Other Long-Term Assets,138.8,144.7,147.7,147.1,114,100.9,87.8,84.8,79.5,116.4,124,128.7,131.3,140.2,128,137.5,142,152.3,146,160.8,162.4,304.3,305.7,299.1,304.2,259,280.3,405.4,405.6,379.6,393,404.3,353.1,363.3,273,269.6,293.2,294.8,305.3,258.1
Total Long-Term Assets,"3,892","4,226","4,212","4,157","4,071","4,010","3,994","3,959","3,940","6,103","6,014","6,145","5,991","6,084","6,058","6,216","6,235","6,279","6,168","6,247","6,251","6,471","6,660","6,578","6,700","6,474","6,728","6,938","7,134","8,004","8,011","8,193","9,920","10,128","9,868","10,013","10,177","10,200","10,223","10,752"
