,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,54,149,190,142,132,36,53,38,161,137,111,84,96,150,39,117,"1,091",105,99,71,21,328,26,86,24,451,254,30,87,389,84,524,390,231,122,232,914,836,195,446
Short-Term Investments,122,112,93,103,102,94,79,81,79,65,65,60,73,69,58,36,105,92,85,77,171,101,55,49,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,176,261,283,245,234,130,132,119,240,202,176,144,169,219,97,153,"1,196",197,184,148,192,429,81,135,24,502,254,30,87,389,84,524,390,231,122,232,914,836,195,446
Cash Growth,-41.14%,15.49%,18.41%,-62.71%,32.95%,-50.19%,-53.36%,-51.43%,2.56%,55.38%,33.33%,21.01%,-29.58%,8.42%,-44.89%,6.25%,607.69%,-10.05%,89.69%,-3.27%,-83.95%,117.77%,-55.98%,-8.78%,-87.50%,17.02%,213.58%,-77.78%,262.50%,-22.51%,-66.93%,1646.67%,348.28%,-40.62%,45.24%,-55.73%,134.36%,261.90%,59.84%,92.24%
Receivables,"1,409","1,301","1,904","2,216","1,422","1,368","1,598","2,210","1,336","1,161","1,483","1,569","1,084",954,"1,215","1,457",929,"1,139","1,420","1,549","2,193","1,175","1,342","1,725","2,980","1,997","2,364","3,301","2,434","2,444","2,252","2,916","2,389","2,292","2,878","4,035","2,801","2,675","2,931","3,841"
Inventory,256,268,277,275,281,282,261,254,267,268,308,310,239,237,232,229,242,247,252,261,282,312,331,348,364,363,382,387,405,416,406,412,420,434,438,439,474,500,511,505
Other Current Assets,"1,234","1,690","2,087","1,762","1,630","1,552","1,523",921,811,796,692,582,631,636,909,919,"1,362","1,409","1,401","1,425",658,"2,083","2,007","1,971",162,"1,175","1,528","2,080","2,135","2,079","2,179","2,176","2,292","2,316","2,215","1,735","2,881","3,199","3,779","2,443"
Total Current Assets,"3,075","3,520","4,551","4,498","3,567","3,332","3,514","3,504","2,654","2,427","2,659","2,605","2,123","2,046","2,453","2,758","3,729","2,992","3,257","3,383","3,325","3,999","3,761","4,179","3,530","4,037","4,528","5,798","5,061","5,328","4,921","6,028","5,491","5,273","5,653","6,441","7,070","7,210","7,416","7,235"
"Property, Plant & Equipment","30,451","30,817","31,364","32,021","32,981","33,318","33,664","34,137","35,085","35,464","35,777","36,231","37,000","37,168","37,341","37,961","39,050","39,235","39,831","40,412","41,344","42,697","43,148","43,932","44,970","45,494","46,216","47,573","48,927","49,355","50,036","51,286","52,632","52,849","53,446","54,129","54,928","55,516","55,557","56,346"
Long-Term Investments,"4,885","5,047","5,159","5,190","5,225","5,272","5,197","4,741","4,618","4,576","4,616","4,519","4,325","4,441","4,444","4,487","4,513","4,415","4,378","4,389","4,165","4,367","4,488","4,553","4,608","4,322","4,631","4,716","4,886","4,822","4,965","4,817","4,921","4,581","4,097","3,900","4,003","4,157","4,198","4,024"
Other Long-Term Assets,"7,639","8,004","7,790","7,766","7,961","8,051","8,318","8,440","7,872","7,992","8,145","8,202","7,871","8,085","8,076","8,386","5,288","5,301","5,354","5,379","7,740","7,730","7,840","10,958","11,165","11,218","11,361","10,366","10,498","11,000","11,240","10,892","11,701","12,017","11,849","12,239","12,040","11,971","12,380","12,559"
Total Long-Term Assets,"42,975","43,868","44,313","44,977","46,167","46,641","47,179","47,318","47,575","48,032","48,538","48,952","49,196","49,694","49,861","50,834","48,851","48,951","49,563","50,180","53,249","54,794","55,476","59,443","60,743","61,034","62,208","62,655","64,311","65,177","66,241","66,995","69,254","69,447","69,392","70,268","70,971","71,644","72,135","72,929"
Total Assets,"46,050","47,388","48,864","49,475","49,734","49,973","50,693","50,822","50,229","50,459","51,197","51,557","51,319","51,740","52,314","53,592","52,580","51,943","52,820","53,563","56,574","58,793","59,237","63,622","64,273","65,071","66,736","68,453","69,372","70,505","71,162","73,023","74,745","74,720","75,045","76,709","78,041","78,854","79,551","80,164"
Accounts Payable,"1,373","1,116","1,306","1,455","1,580","1,211","1,286","1,334","1,310",938,"1,166","1,180","1,342",844,"1,103","1,104","1,503","1,033","1,255","1,288","1,519","1,366","1,577","1,663","1,779","1,454","1,657","1,690","1,980","1,602","1,797","2,039","2,002","1,973","2,080","2,348","2,359","1,795","1,790","2,108"
Current Debt,775,"1,212","2,153","2,053","1,795",597,851,496,990,658,"1,496","1,638","2,288","1,276",398,"1,491","2,874",549,779,182,799,"1,168",399,169,708,"1,449","1,568","2,990","3,642","3,644","3,452","4,173","4,013","3,760","4,767","5,727","5,135","4,279","4,365","4,123"
Other Current Liabilities,"2,250","2,229","2,314","2,341","2,104","2,224","2,159","2,656","2,627","2,637","2,487","2,524","2,282","2,296","2,091","2,814","2,691","3,065","2,888","3,249","2,828","2,841","2,031","2,494","2,572","2,255","2,376","3,625","4,655","4,251","2,566","2,750","2,594","2,609","2,415","2,745","2,853","2,292","2,672","2,796"
Total Current Liabilities,"4,398","4,557","5,773","5,849","5,479","4,032","4,296","4,486","4,927","4,233","5,149","5,342","5,912","4,416","3,592","5,409","7,068","4,647","4,922","4,719","5,146","5,375","4,007","4,326","5,059","5,158","5,601","8,305","10,277","9,497","7,815","8,962","8,609","8,342","9,262","10,820","10,347","8,366","8,827","9,027"
Long-Term Debt,"9,422","9,825","9,926","10,133","10,234","10,523","10,654","10,536","10,883","11,243","10,845","10,407","10,175","11,662","10,845","11,638","11,642","13,367","13,845","14,629","12,892","16,459","14,577","15,740","15,742","16,597","16,711","16,725","20,505","21,021","23,722","24,519","25,520","26,222","26,287","26,134","27,961","30,368","30,346","30,645"
Other Long-Term Liabilities,"20,092","21,004","20,762","20,735","21,033","21,986","22,075","21,876","21,025","21,348","21,455","21,803","21,040","21,413","22,682","21,922","19,985","20,040","20,081","19,926","24,751","24,240","25,161","25,911","25,645","25,270","25,643","25,244","22,641","22,764","22,312","22,800","22,827","22,524","21,821","22,462","22,211","22,571","22,684","22,921"
Total Long-Term Liabilities,"29,514","30,829","30,688","30,868","31,267","32,509","32,729","32,412","31,908","32,591","32,300","32,210","31,215","33,075","33,527","33,560","31,627","33,407","33,926","34,555","37,643","40,699","39,738","41,651","41,387","41,867","42,354","41,969","43,146","43,785","46,034","47,319","48,347","48,746","48,108","48,596","50,172","52,939","53,030","53,566"
Total Liabilities,"33,912","35,386","36,461","36,717","36,746","36,541","37,025","36,898","36,835","36,824","37,449","37,552","37,127","37,491","37,119","38,969","38,695","38,054","38,848","39,274","42,789","46,074","43,745","45,977","46,446","47,025","47,955","50,274","53,423","53,282","53,849","56,281","56,956","57,088","57,370","59,416","60,519","61,305","61,857","62,593"
Total Debt,"10,197","11,037","12,079","12,186","12,029","11,120","11,505","11,032","11,873","11,901","12,341","12,045","12,463","12,938","11,243","13,129","14,516","13,916","14,624","14,811","13,691","17,627","14,976","15,909","16,450","18,046","18,279","19,715","24,147","24,665","27,174","28,692","29,533","29,982","31,054","31,861","33,096","34,647","34,711","34,768"
Debt Growth,8.41%,9.83%,15.22%,9.18%,17.97%,0.75%,-4.75%,-9.47%,-1.30%,7.02%,7.27%,9.18%,4.97%,8.71%,-8.90%,9.00%,16.47%,7.56%,30.07%,12.81%,-5.68%,26.67%,2.41%,7.41%,20.15%,2.38%,22.06%,23.92%,46.79%,36.68%,48.66%,45.53%,22.31%,21.56%,14.28%,11.04%,12.06%,15.56%,11.78%,9.12%
Common Stock,"2,760","2,417","2,434","2,445","2,445","2,799","2,798","2,822","2,484","2,491","2,499","2,503","2,505","2,510","2,819","2,520","2,526","2,531","2,537","2,541","2,848","2,550","4,054","5,905","6,107","6,375","6,997","7,226","5,962","7,226","7,248","7,268","8,048","8,067","8,106","8,144","8,178","8,201","8,248","8,279"
Retained Earnings,"7,594","7,573","7,960","8,314","8,573","8,590","8,826","9,057","8,940","9,002","9,111","9,362","9,544","9,590","9,674","9,944","9,188","9,211","9,286","9,597","8,715","8,034","9,219","9,520","9,514","9,463","9,575","9,043","8,155","8,163","8,229","7,636","7,894","7,716","7,716","7,295","7,454","7,456","7,553","7,399"
Comprehensive Income,-11,-11,-13,-23,-58,-27,-26,-25,-56,-54,-53,-51,-53,-49,-18,-48,-43,-46,-44,-42,-23,-58,-26,-25,-39,-37,-36,-35,-69,-67,-65,-63,-54,-52,-48,-47,-11,-9,-8,-8
Shareholders' Equity,"10,343","9,979","10,381","10,736","10,960","11,362","11,598","11,854","11,368","11,439","11,557","11,814","11,996","12,051","12,475","12,416","11,671","11,696","11,779","12,096","11,540","10,526","13,247","15,400","15,582","15,801","16,536","16,234","14,048","15,322","15,412","14,841","15,888","15,731","15,774","15,392","15,621","15,648","15,793","15,670"
Net Cash / Debt,"-10,021","-10,776","-11,796","-11,941","-11,795","-10,990","-11,373","-10,913","-11,633","-11,699","-12,165","-11,901","-12,294","-12,719","-11,146","-12,976","-13,320","-13,719","-14,440","-14,663","-13,499","-17,198","-14,895","-15,774","-16,426","-17,544","-18,025","-19,685","-24,060","-24,276","-27,090","-28,168","-29,143","-29,751","-30,932","-31,629","-32,182","-33,811","-34,516","-34,322"
Net Cash Per Share,-30.46,-32.75,-35.85,-36.29,-35.85,-33.40,-34.67,-33.27,-35.36,-35.56,-36.86,-36.06,-37.25,-38.66,-33.88,-39.56,-40.98,-41.95,-44.16,-44.84,-41.79,-52.59,-45.55,-45.20,-45.38,-48.20,-47.94,-52.08,-63.32,-63.88,-71.29,-74.13,-76.69,-77.88,-80.76,-82.58,-83.37,-88.05,-89.65,-89.15
