,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"28,427","32,792","33,608","35,305","52,373","66,262","67,925","115,308","91,006","70,189","34,094"
Market Cap Growth,11.43%,15.36%,2.49%,5.05%,48.35%,26.52%,2.51%,69.76%,-21.08%,-22.87%,-
Enterprise Value,"28,141","32,892","34,467","37,136","53,202","66,687","71,692","118,449","94,694","76,329","40,356"
PE Ratio,23.61,30.11,30.14,28.27,47.27,37.12,99.31,40.18,38.08,69.77,112.59
PS Ratio,2.59,3.04,2.98,2.99,3.83,4.46,4.75,7.11,5.13,4.41,2.25
PB Ratio,7.37,9.00,9.41,8.05,11.17,15.11,17.26,19.04,16.28,12.57,5.97
P/FCF Ratio,27.73,22.31,26.59,27.20,27.09,37.33,40.99,38.51,45.50,96.41,42.30
P/OCF Ratio,18.52,16.88,18.79,19.72,20.44,26.33,29.79,31.76,29.94,40.55,17.79
EV/Sales Ratio,2.57,3.05,3.06,3.14,3.89,4.49,5.02,7.30,5.34,4.80,2.66
EV/EBITDA Ratio,12.70,16.24,16.94,17.06,20.23,22.32,39.70,28.54,24.21,31.91,20.98
EV/EBIT Ratio,15.37,20.35,21.28,21.68,25.35,27.43,59.99,33.85,29.73,46.32,35.68
EV/FCF Ratio,27.45,22.38,27.27,28.61,27.52,37.57,43.27,39.56,47.35,104.85,50.07
Debt / Equity Ratio,0.35,0.45,0.63,0.81,0.76,0.78,2.23,1.34,1.37,1.82,1.79
Debt / EBITDA Ratio,0.61,0.80,1.10,1.64,1.35,1.14,4.87,1.95,1.95,4.25,5.30
Debt / FCF Ratio,1.31,1.11,1.77,2.75,1.83,1.92,5.30,2.71,3.82,13.97,12.66
Quick Ratio,1.46,1.27,0.99,1.11,1.27,1.05,1.20,1.26,0.96,0.88,0.87
Current Ratio,2.35,1.96,1.58,1.76,1.86,1.57,1.72,1.84,1.60,1.47,1.36
Asset Turnover,1.42,1.35,1.29,1.09,1.09,1.16,0.82,0.82,0.83,0.73,0.66
Interest Coverage,30.83,26.93,22.82,16.63,16.40,18.28,7.42,20.23,19.07,6.46,3.23
Return on Equity (ROE),32.10%,28.90%,30.80%,31.30%,23.70%,40.40%,15.80%,53.50%,39.80%,17.60%,8.30%
Return on Assets (ROA),15.60%,13.70%,12.70%,11.50%,8.80%,13.90%,3.90%,14.50%,11.10%,4.60%,2.00%
Return on Capital (ROIC),23.89%,21.34%,19.93%,16.62%,14.03%,23.04%,3.15%,15.96%,18.97%,6.92%,3.62%
Earnings Yield,4.24%,3.32%,3.32%,3.54%,2.12%,2.69%,1.01%,2.49%,2.63%,1.43%,1.37%
FCF Yield,3.61%,4.48%,3.76%,3.68%,3.69%,2.68%,2.44%,2.60%,2.20%,1.04%,2.36%
Dividend Yield,1.10%,1.10%,1.30%,1.40%,1.00%,0.90%,0.70%,0.70%,0.90%,1.30%,1.80%
Payout Ratio,25.00%,32.10%,37.90%,38.80%,49.20%,34.00%,73.20%,26.20%,35.10%,91.80%,203.08%
Buyback Yield / Dilution,0.46%,1.88%,2.36%,0.96%,-0.72%,1.41%,0.94%,-0.35%,0.90%,1.10%,0.11%
Total Shareholder Return,1.56%,2.98%,3.66%,2.36%,0.28%,2.31%,1.64%,0.35%,1.80%,2.40%,1.91%
