,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,213.2,257.7,228.1,435.7,272.1,153.1,309,447,265,94,294,428,298,229,427,123,372,186,500,573,555,157,595,557,-6,-462,523,873,456,"1,018",692,"1,088",558,52,489,394,156,-33,31,313
Depreciation & Amortization,95.6,104.6,100.6,98,100,110.4,98,104,103,110,106,112,119,127,127,129,133,142,132,137,135,153,143,144,160,164,156,160,159,176,183,181,182,181,178,181,189,196,203,205
Share-Based Compensation,23.3,19.5,54.7,32.1,6.4,23.8,65,33,31,32,78,42,18,36,57,75,64,40,58,73,70,42,56,83,71,3,64,105,86,72,79,113,91,48,53,112,69,33,80,109
Other Operating Activities,54.9,-16,-255.7,300.2,12.8,270.7,-464,370,-45,237,-628,392,-7,146,-529,"1,030",-88,274,-809,609,-277,409,-964,641,465,630,-385,482,98,-412,"-1,035",545,-708,790,"-1,370",714,-148,518,-722,718
Operating Cash Flow,387,365.8,127.7,866,391.3,558,8,954,354,473,-150,974,428,538,82,"1,357",481,642,-119,"1,392",483,761,-170,"1,425",690,335,358,"1,620",799,854,-81,"1,927",123,"1,071",-650,"1,401",266,714,-408,"1,345"
Operating Cash Flow Growth,38.66%,25.23%,327.09%,15.08%,1.11%,52.54%,-93.74%,10.16%,-9.53%,-15.23%,-,2.10%,20.90%,13.74%,-,39.32%,12.38%,19.33%,-,2.58%,0.42%,18.54%,-,2.37%,42.86%,-55.98%,-,13.68%,15.80%,154.93%,-,18.95%,-84.61%,25.41%,-,-27.30%,116.26%,-33.33%,-,-4.00%
Capital Expenditures,-125.9,-167.4,-78.7,-108.7,-92.4,-193.2,-90,-133,-111,-191,-73,-123,-108,-188,-116,-147,-105,-261,-128,-164,-149,-301,-125,-166,-177,-155,-116,-134,-136,-251,-205,-254,-199,-382,-152,-267,-233,-351,-295,-232
Acquisitions,0,0,-10,-94.2,-137.8,1,-19,0,-82,0,-10,"-1,680",0,19,0,0,0,0,0,0,0,0,0,"-1,040",-7,0,26,0,-2,"-1,057",0,-3,0,0,0,0,0,0,0,0
Change in Investments,8.4,0,8.4,-507.7,-11.1,-391.6,-455,53,-260,19,17,142,-271,71,163,-33,94,47,159,98,958,0,-3,-16,-23,14,-152,-21,-42,21,52,-4,50,0,138,-4,-1,-61,0,-30
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-8,"-2,278",-,-
Investing Cash Flow,-117.5,-167.4,-80.3,-710.6,-241.3,-583.8,-564,-80,-453,-172,-66,"-1,661",-379,-98,47,-180,-11,-214,31,-66,809,-301,-128,"-1,222",-207,-141,-242,-155,-180,"-1,287",-153,-261,-149,-382,-14,-271,-242,"-2,690",-295,-262
Dividends Paid,-76.8,-76.6,-77.5,-91.4,-90.9,-90.2,-90,-111,-111,-111,-111,-125,-125,-125,-126,-141,-140,-139,-141,-156,-156,-156,-156,-174,-172,-1,-174,-194,-193,-192,-192,-217,-215,-216,-215,-236,-236,-238,-236,-238
Share Issuance / Repurchase,-368.2,-37.5,-194.4,-260.4,-87.8,-339.4,-381,-225,-42,-157,-196,-126,53,-3,-63,-252,-204,-58,-497,-570,-123,-173,-258,-484,7,22,33,-31,-138,-382,-521,-830,-520,-287,-84,-136,30,7,12,-26
Debt Issued / Paid,-0.5,-2.9,-7.5,52.1,67,183.4,424,-81,-63,324,261,"1,553",-136,-332,362,-141,-116,-115,-3,-166,1,-4,0,"1,769","1,003",-67,-749,-2,591,-451,-1,-14,-6,-2,-5,-9,"1,981",731,-4,-6
Other Financing Activities,3.9,4.8,6.8,4.2,25.4,5.6,3,8,4,4,10,4,21,7,-,-1,-,-38,-1,-2,-,-26,-2,-8,-,-18,-,-2,-3,-5,-,-,-,-15,-,-,-,-,9,-
