,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"1,582","1,971","1,785","1,718","2,152","1,397","1,553","1,548","2,114","1,676","1,583","2,546","4,075","6,772","4,561","6,097","3,609","4,631","4,682","4,260","3,934","4,482","4,078","4,190","4,937","5,345","6,028","3,984","5,741","9,326","5,258","5,490","4,880","6,161","6,456","8,872","7,387","10,142","9,991","10,919"
Short-Term Investments,"18,790","19,993","20,240","20,152","19,394","20,934","19,965","19,431","18,381","19,969","20,216","19,713","18,647","19,783","20,791","20,167","20,993","19,458","19,541","19,683","18,206","19,026","20,629","22,270","20,685","20,451","25,488","25,782","24,992","28,185","27,594","28,467","28,148","27,881","27,337","27,029","26,905","28,028","28,293","27,976"
Cash & Cash Equivalents,"20,372","21,965","22,025","21,870","21,546","22,331","21,518","20,979","20,494","21,645","21,798","22,259","22,723","26,555","25,352","26,264","24,602","24,088","24,223","23,943","22,140","23,508","24,707","26,460","25,622","25,796","31,516","29,766","30,733","37,511","32,852","33,957","33,028","34,042","33,793","35,901","34,292","38,170","38,284","38,895"
Cash Growth,-1.18%,5.31%,7.68%,3.05%,5.76%,1.67%,-2.30%,-4.07%,-4.88%,-3.07%,1.30%,6.10%,10.87%,22.69%,16.30%,17.99%,8.27%,-9.29%,-4.46%,-8.84%,-10.01%,-2.41%,2.00%,10.51%,15.73%,9.73%,27.56%,12.49%,19.95%,45.41%,4.24%,14.08%,7.47%,-9.25%,2.86%,5.72%,3.83%,12.13%,13.29%,8.34%
Receivables,"5,032","5,692","5,881","6,119","6,943","7,514","7,309","6,559","7,024","7,199","7,386","7,229","8,397","8,219","8,631","7,822","8,452","8,561","9,101","9,317","9,301","10,179","9,918","10,207","10,391","11,325","10,988","11,537","10,958","12,291","12,685","12,807","13,440","14,662","14,201","14,206","16,044","16,710","16,523","16,932"
Other Current Assets,"4,342","4,151","4,523","4,238","3,459","4,896","4,375","4,002","3,344","4,121","3,773","3,436","3,195","3,208","3,147","2,888","3,209","4,325","4,047","3,848","2,880","2,924","3,180","2,837","3,020","4,135","4,260","4,147","4,060","4,693","4,701","5,140","4,654","5,193","5,661","5,496","5,281","4,943","4,936","5,358"
Total Current Assets,"29,746","31,807","32,428","32,227","31,948","34,740","33,202","31,539","30,862","32,965","32,958","32,924","34,315","37,982","37,131","36,974","36,263","36,974","37,370","37,108","34,321","36,611","37,805","39,504","39,033","41,256","46,764","45,450","45,751","54,495","50,238","51,904","51,122","53,897","53,655","55,603","55,617","59,823","59,743","61,185"
"Property, Plant & Equipment","1,802","1,812","1,829","1,849","1,944","1,916","1,931","1,931","2,020","1,998","1,990","2,007","1,978","1,958","1,976","2,049","2,175","2,238","2,392","2,592","2,735","2,799","2,837","2,921","3,133","3,350","3,427","3,363","3,483","3,533","3,733","3,835","3,919","3,986","4,090","4,197","4,316","4,418","4,547","4,248"
Long-Term Investments,"2,024","2,127","2,216","2,225","2,232","2,279","2,449","2,438","2,630","2,616","2,631","2,726","2,796","2,879","2,909","3,008","3,938","3,995","4,016","4,102","4,246","4,235","4,261","4,461","4,763","4,686","4,617","4,728","4,847","5,032","5,498","5,584","5,857","5,961","6,001","6,138","6,437","6,754","6,768","6,934"
Goodwill and Intangibles,"25,358","25,304","25,154","25,093","25,040","25,865","25,817","25,766","25,720","25,670","25,622","25,575","25,526","25,484","25,444","25,428","27,599","29,262","29,639","29,569","29,511","29,425","29,340","29,256","29,174","31,274","31,218","31,184","31,096","31,060","34,939","34,933","34,843","34,839","35,129","34,917","34,698","36,188","35,977","35,782"
Other Long-Term Assets,645.2,635.8,675.9,664.8,512.3,746,864.3,661.3,485.4,609.8,862.2,"1,169",467.9,640.5,778.4,850.9,565,832,950.4,"1,074",758,"1,453","1,608","1,667","1,350","1,833","1,950","1,849","1,438","1,563","1,689","1,804","1,719","1,803","2,002","2,171","1,687","1,857","2,133","2,329"
Total Long-Term Assets,"29,829","29,879","29,875","29,831","29,729","30,806","31,062","30,796","30,856","30,894","31,105","31,476","30,768","30,962","31,107","31,336","34,277","36,326","36,997","37,337","37,250","37,912","38,046","38,305","38,420","41,143","41,212","41,124","40,864","41,188","45,859","46,156","46,338","46,589","47,222","47,423","47,138","49,217","49,425","49,293"
