,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,57.58,82,99.11,105.21,86.65,102.09,102.87,65.63,64.12,79.19,88.68,90.6,54.75,74.7,77.04,79.67,69.97,75.9,78,92.29,100.15,134.09,180.06,210.03,205.55,125.54,178.5,264.84,301.75,316.06,351.52,412.72,441.29,530.2,634.71,724.65,726.02,711.12,551.08,302.57
Revenue Growth (YoY),26.34%,40.98%,59.74%,56.89%,50.49%,24.50%,3.79%,-37.62%,-26.00%,-22.44%,-13.79%,38.05%,-14.61%,-5.66%,-13.13%,-12.06%,27.80%,1.60%,1.25%,15.83%,43.13%,76.68%,130.84%,127.58%,105.24%,-6.38%,-0.86%,26.09%,46.81%,151.76%,96.93%,55.84%,46.24%,67.75%,80.56%,75.58%,64.52%,34.12%,-13.18%,-58.25%
Cost of Revenue,38.93,55.17,66.59,70.17,58.63,69.07,71.41,49.93,52.36,65.05,72.81,74.37,47.7,61.16,60.58,60.69,51.66,53.2,52.74,64.13,66.81,88.78,115.35,132.15,124.87,77.15,83.52,142.9,178.81,188.26,211.16,249.41,264.32,311.19,366.8,413.95,399.65,387.78,289.07,155.91
Gross Profit,18.66,26.83,32.52,35.04,28.02,33.03,31.47,15.7,11.76,14.14,15.88,16.23,7.05,13.55,16.46,18.99,18.32,22.7,25.26,28.16,33.34,45.32,64.71,77.88,80.68,48.39,94.98,121.94,122.95,127.8,140.36,163.31,176.97,219.01,267.92,310.7,326.37,323.34,262.01,146.66
"Selling, General & Admin",15.35,18.17,18.52,20.04,20.14,20.61,17.63,18.33,17.78,16.83,17.72,13.89,12.29,11.24,10.89,10.92,13.17,13.8,14.89,14.28,17.31,17.64,19.45,21.14,24.09,24.34,28.17,27.02,39.75,45.69,73.6,74.03,79.43,85.71,87.69,102.27,100.89,92.8,89.15,86.79
Research & Development,9.09,11.15,12.11,13.04,13.43,12.79,12.06,12.54,13.07,13.09,13.17,11.38,9.61,7.95,7.4,8.21,7.62,9.46,8.17,7.34,8.52,9.6,11.09,11.17,11.88,13.19,15.05,15.8,21.82,22.71,29.41,31.59,35.72,39.26,44.19,49.68,57.13,60.04,54.87,55.29
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,2.72,1.06,7.25,3.61,4.07,1.99,0,0,2.59,1.54,0.37,0.63,0.47,1.13,0,0,0,0,0,0,0,0,0,0,0.59,1.79,0.69,0.18,0,14.81
Operating Expenses,24.44,29.32,30.63,33.08,33.57,33.4,29.69,30.87,30.85,29.92,33.61,26.33,29.14,22.79,22.36,21.12,20.79,23.26,25.64,23.16,26.21,27.87,31,33.44,35.96,37.53,43.22,42.82,61.56,68.4,103.01,105.62,115.15,124.97,132.48,153.74,158.71,153.02,144.02,156.89
Operating Income,-5.79,-2.49,1.89,1.95,-5.55,-0.37,1.78,-15.17,-19.09,-15.79,-17.73,-10.09,-22.1,-9.25,-5.9,-2.13,-2.48,-0.56,-0.37,5,7.13,17.45,33.71,44.44,44.71,10.85,51.76,79.11,61.39,59.4,37.35,57.7,61.82,94.04,135.44,156.96,167.66,170.32,117.99,-10.23
Interest Expense / Income,0.45,0.49,0.36,0.57,0.08,0.09,0.14,0.2,0.15,0.21,1.23,1.18,2.14,2.08,1.76,2.23,2.29,2.42,2.79,3.09,3.75,1.35,2.29,2.3,3.16,5.95,5.99,5.9,7.33,12.51,12.63,12.69,2.74,2.17,2.26,2.28,2.16,2.22,2.2,2.27
Other Expense / Income,-0.11,-0.06,0.6,0.56,0.53,-0.08,0.7,-0.26,-0.68,0.38,-0.35,1.17,-1.06,-0.09,-0.62,-0.48,0.13,0.42,0.06,0.62,0.27,4.89,0.05,-2.28,-15.51,58.76,0.92,1.86,55.72,0.55,-0.98,-5.54,1.68,-0.34,-1.07,-13.5,-13.47,-16.49,-21.55,-24.73
Pretax Income,-6.13,-2.92,0.94,0.82,-6.15,-0.38,0.94,-15.11,-18.56,-16.38,-18.61,-12.44,-23.17,-11.24,-7.04,-3.89,-4.89,-3.4,-3.22,1.29,3.11,11.21,31.37,44.42,57.07,-53.86,44.85,71.35,-1.67,46.35,25.71,50.54,57.41,92.21,134.26,168.18,178.97,184.59,137.35,12.23
