,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,Current
Market Capitalization,"1,593","1,626","1,540","2,059","2,072","2,274","2,935","3,461","3,655","3,881","3,712","3,229","3,544","3,262","3,848","4,364","4,620","5,681","6,079","6,654","7,433","6,268","9,282","9,663","10,005","11,682","10,265","14,037","18,066","20,079","22,282","28,850","32,317","37,937","16,882","16,873","20,797","18,871","17,253","13,034","18,065"
Market Cap Growth,99.24%,107.48%,47.77%,75.74%,30.10%,39.86%,90.63%,68.06%,76.39%,70.67%,26.48%,-6.69%,-3.03%,-15.95%,3.67%,35.15%,30.37%,74.17%,57.95%,52.46%,60.88%,10.34%,52.71%,45.22%,34.60%,86.37%,10.58%,45.27%,80.57%,71.88%,117.08%,105.53%,78.88%,88.94%,-24.24%,-41.51%,-35.65%,-50.26%,2.20%,-22.75%,-
Enterprise Value,"1,470","1,457","1,366","1,884","1,881","2,053","2,743","3,285","3,455","3,716","3,507","2,988","3,246","2,925","3,475","3,946","4,133","5,123","5,568","6,095","6,773","5,523","8,713","9,117","9,382","11,009","9,623","13,311","17,175","19,023","21,152","27,797","31,276","36,730","15,833","15,789","19,507","17,383","15,691","11,438","11,438"
PE Ratio,24.22,21.67,22.17,34.75,27.20,30.86,49.87,44.99,39.95,35.10,38.83,33.04,33.85,32.93,40.70,29.20,27.09,-46.00,23.59,33.10,28.32,26.13,38.20,41.10,37.33,39.19,29.99,52.67,50.50,58.68,51.08,62.90,69.86,66.66,47.04,226.74,33.32,30.43,42.17,27.15,44.13
PS Ratio,2.69,2.57,2.25,2.82,2.69,2.80,3.43,3.79,3.73,3.71,3.35,2.78,2.90,2.54,2.82,3.01,2.98,3.45,3.50,3.61,3.83,3.06,4.29,4.21,4.13,4.66,4.00,5.28,6.48,6.61,6.60,7.68,7.79,8.50,3.59,3.50,4.28,3.90,3.62,2.78,3.85
PB Ratio,4.53,4.32,3.89,4.83,4.65,4.90,6.02,6.36,6.38,6.33,5.64,4.55,4.72,4.17,4.61,4.75,4.69,5.83,5.76,5.98,6.22,4.96,6.94,6.79,6.71,7.32,6.23,8.01,9.71,10.13,10.80,13.04,13.82,15.25,6.61,6.43,7.54,6.29,5.51,3.99,3.99
P/FCF Ratio,22.66,19.73,17.22,23.13,25.93,36.14,30.92,59.23,61.22,41.28,37.40,23.83,22.67,22.13,25.42,26.36,33.81,34.35,30.38,26.13,30.41,27.74,41.52,51.36,42.40,34.54,24.90,29.51,40.77,56.62,59.61,62.61,84.15,95.52,37.86,44.12,38.73,33.71,50.11,-,100.51
P/OCF Ratio,18.49,17.11,15.01,19.64,21.68,28.11,25.91,45.30,45.47,33.25,30.18,19.59,19.14,18.68,21.66,22.34,26.95,27.98,25.28,22.77,26.11,23.28,32.46,33.62,28.51,25.79,20.14,25.78,36.57,48.19,49.83,50.41,63.66,73.47,30.00,36.36,34.47,30.69,45.33,-,92.87
Debt / Equity Ratio,0.05,0.12,0.03,0.04,0.05,0.18,0.14,0.14,0.07,0.25,0.10,0.09,0.20,0.17,0.03,0.03,0.03,0.18,0.02,0.02,0.02,0.20,0.14,0.16,0.15,0.17,0.17,0.15,0.15,0.13,0.12,0.10,0.10,0.10,0.09,0.08,0.07,0.06,0.06,0.06,0.06
Quick Ratio,5.32,5.69,5.49,4.57,4.51,3.22,3.55,4.84,4.25,3.93,4.84,6.07,4.93,5.41,5.54,5.86,5.36,5.18,5.21,5.47,4.98,4.46,4.30,4.61,4.29,3.71,3.75,4.27,4.13,4.04,4.22,3.76,3.20,2.90,3.19,3.33,3.39,3.58,4.02,4.74,4.74
