,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,78.1,111.65,220.71,216.7,178.84,285.59,195.86,202.99,"3,587",218.07,207.54,276.48,142.97,195.27,137.46,124.67,211.04,112.83,214.16,116.42,103.77,308.2,266.33,288.99,307.83,260.12,90.51,252.08,56.77,315.61,431.18,526.2,69.99,223.33,322.25,158.25,211.26,138.43,171.74,310.92
Depreciation & Amortization,185.17,190.14,190.47,193.09,194.52,194.28,196.06,184.42,172.89,176.13,181.8,178.27,179.82,180.76,185.11,201.88,197.41,194.04,195.72,202.95,208.22,203.42,214.47,216.66,215.41,208.84,203.48,204.71,202.92,204.87,218.38,225.22,233.01,226.86,217.15,217.31,218.98,224.56,227.95,230.01
Other Operating Activities,72.58,-20.23,-17.42,-101.03,-29.15,-153.55,-4.45,-95.62,"-3,559.26",-121.27,-45.87,-60.72,-19.66,-121.59,87.68,-31.67,-48.2,16.79,-51.92,-8.04,60.79,-195.16,-78.17,-143.62,-141.57,-217.1,104.47,-226.35,85.59,-291.18,-248.24,-470.22,64.28,-128.15,-110.82,-41.8,-37.74,-11.06,42.09,-197.43
Operating Cash Flow,336.88,282.6,394.79,309.8,347.9,327.15,388.3,293.28,201.38,273.69,344.25,394.8,303.9,255.21,411.02,295.65,361.02,324.44,358.74,312.1,373.55,317.23,403.41,362.8,382.45,252.64,399.24,231.21,346.05,230.07,402.09,281.97,368.06,322.82,429.35,334.53,393.28,352.7,442.54,344.27
Operating Cash Flow Growth,74.09%,25.99%,13.03%,204.26%,3.27%,15.77%,-1.64%,-5.33%,-42.11%,-16.34%,-11.35%,34.62%,50.91%,-6.75%,19.40%,-25.11%,18.79%,27.13%,-12.72%,5.56%,3.47%,-2.22%,12.45%,16.24%,2.38%,-20.36%,-1.03%,-36.27%,-9.52%,-8.93%,0.71%,21.95%,6.36%,40.31%,6.78%,18.64%,6.85%,9.26%,3.07%,2.91%
Capital Expenditures,-303.23,-238.27,-154.94,27.47,-63.94,-131.89,-174.68,-355.97,"5,944",-108.15,-82.49,69.53,-71.05,28.82,-468.55,-77.82,150.1,-231.17,-182.88,-106.3,-340.5,-98.07,-288.52,-106.23,271.47,300.01,-141.97,249.15,-93.87,26.72,-222.61,-73.77,-173.56,176.66,378.33,-108.65,61.14,-297,-188.31,74.31
Acquisitions,1.43,53.69,7.36,25.55,16.56,4.8,0.89,5.88,-0.56,-0.74,11.28,-1.44,-1.59,-0.78,-2.62,-0.71,-2.8,-0.3,-1.76,-1.71,-6.28,75.97,-0.5,-0.53,-5.46,-0.17,-0.04,1.53,-2.37,-2.11,-26.59,-47.2,-24.89,-23.68,-87.88,-22.95,-14.47,-11.91,-8.66,-12.78
Change in Investments,0.02,0.04,0,0.8,-0.06,0.22,0.23,2.15,1.43,67.1,4.29,0,0,0,0,0,0,0,0,0,-0.25,-0.02,0,0,0,-0.51,0,-0.26,-26.34,50.79,-0.85,-0.5,2.43,-0.03,0.14,-1.02,0.45,-2.5,2.5,0.09
Other Investing Activities,0.02,-3.32,-13.44,-47.84,-131.79,100.54,-31.59,62.84,-193.34,162.57,-52.92,83.69,-,-,-,-,-,-,-,-,-,-,-,-6.88,-0,0,-6.88,-3.29,-3.77,-4.41,-4.19,-3.57,-1.02,-1.25,-1.91,-2.92,-3.39,-3.59,-2.6,-2.77
Investing Cash Flow,-301.76,-187.86,-161.02,5.98,-179.22,-26.33,-205.16,-285.1,"5,751",120.77,-119.84,151.78,-72.64,28.04,-471.17,-78.52,147.3,-231.47,-184.64,-108.01,-347.04,-22.12,-289.03,-113.64,266.01,299.34,-148.89,247.13,-126.35,70.99,-254.23,-125.03,-197.04,151.7,288.67,-135.54,43.72,-315,-197.08,58.85
Dividends Paid,-234.28,-180.56,-180.72,-181.1,-181.41,-201.03,-201.13,-201.18,"-3,122.65",-184.05,-184.13,"-1,280.89",-184.3,-184.94,-185.02,-185.11,-185.48,-198.83,-198.87,-198.94,-199.75,-210.19,-210.45,-210.72,-211.24,-224.19,-224.24,-224.27,-224.31,-224.68,-225.55,-225.94,-226.64,-234.97,-235.07,-235.1,-236.56,-250.92,-251.1,-251.56
Share Issuance / Repurchase,15.75,10.38,31.38,26.68,34.14,2.45,3.83,23.49,21.67,6.5,1.55,9.8,4.72,5.54,5.68,19.41,3.28,1.52,4.28,25.46,30.99,19.15,19.25,11.51,12.02,1.66,1.3,1.8,24.61,17.68,29.97,17.45,15.31,5.99,3,144.57,9.56,3.92,0.58,-36.02
Debt Issued / Paid,179.97,140.25,-117.63,-140.97,13.56,-27.26,-28.29,174.13,"-2,372.5",-76.43,-10.49,497.18,-59.05,31.95,33.15,-35.92,-295.79,109.94,29.6,-5.66,132.16,163.15,-127.83,41.59,-407.05,-211.02,-27.99,-356.03,-9.45,210.33,-102.74,193.31,-184.42,-196.17,-473.36,-75.39,-116.57,127.88,-5.88,-91.97
Other Financing Activities,-12.88,-25.87,-11.46,-11.8,-25.62,-32.3,-12.3,-7.26,-153.37,-10.68,-11.59,-184.01,-25.49,-8.9,-12.59,-8.93,-36.38,-11.42,-9.22,2.61,-12.72,-51.25,-20.22,-59.13,-18.43,-13.67,-9.74,-35.32,-12.45,-9.73,-15.3,-8.28,-23.81,-42.43,-9.77,-17.36,-11.52,-13.02,13.02,-10.3
Financing Cash Flow,-51.45,-55.81,-278.42,-307.18,-159.34,-258.13,-237.88,-10.82,"-5,626.85",-264.67,-204.66,-957.92,-264.13,-156.35,-158.79,-210.55,-514.37,-98.8,-174.22,-176.53,-49.32,-79.15,-339.25,-216.76,-624.69,-447.21,-260.67,-613.83,-221.6,-6.4,-313.61,-23.45,-419.56,-467.57,-715.21,-183.28,-355.09,-132.14,-243.38,-389.86
Net Cash Flow,-16.33,38.92,-44.65,8.6,9.34,42.69,-54.74,-2.64,325.77,129.79,19.74,-411.34,-32.87,126.89,-218.94,6.59,-6.05,-5.83,-0.13,27.56,-22.81,215.96,-224.87,32.4,23.77,104.76,-10.32,-135.49,-1.89,294.67,-165.75,133.49,-248.54,6.95,2.82,15.71,81.91,-94.44,2.09,13.27
Free Cash Flow,33.66,44.33,239.85,337.27,283.96,195.26,213.62,-62.69,"6,145",165.54,261.76,464.33,232.85,284.03,-57.53,217.84,511.12,93.26,175.85,205.8,33.04,219.16,114.88,256.58,653.92,552.65,257.27,480.36,252.19,256.79,179.48,208.21,194.5,499.48,807.68,225.88,454.42,55.7,254.23,418.58
