,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,36.8,-,-,-,75,76.08,273.5,271.62,276.59,163.72,172.82,193.37,186.93,200.15,232.23,265.63,320.78,539.2,372.33,372.33,372.33,448.63,448.63,677.11,448.63,447.7,682.87,"1,150","1,249","1,169","2,059",624.74,785.54,761.58,764.22,795.33,926.62,792.14,846.85,741.96
Short-Term Investments,18.08,-,-,-,19.18,21.53,21.54,20.47,21.62,111.3,110.72,82.34,100.49,81.15,60.35,50.41,25.11,67.53,257.3,257.3,257.3,373.96,373.96,180.17,373.96,361.64,365.66,379.59,425.12,502.57,430.73,197.43,204.42,225.98,247.82,251.17,250.41,252.67,235.26,234.93
Cash & Cash Equivalents,54.87,0,0,0,94.18,97.61,295.04,292.1,298.21,275.02,283.54,275.71,287.43,281.29,292.58,316.04,345.89,606.72,629.63,629.63,629.63,822.59,822.59,857.28,822.59,809.34,"1,049","1,530","1,675","1,672","2,490",822.17,989.95,987.56,"1,012","1,046","1,177","1,045","1,082",976.89
Cash Growth,-,-,-,-,71.65%,-,-,-,216.62%,181.74%,-3.90%,-5.61%,-3.61%,2.28%,3.19%,14.63%,20.34%,115.69%,115.20%,99.23%,82.03%,35.58%,30.65%,36.16%,30.65%,-1.61%,27.47%,78.46%,103.57%,106.54%,137.47%,-46.26%,-40.88%,-40.92%,-59.36%,27.28%,18.90%,5.80%,6.93%,-6.65%
Receivables,16.39,-,-,-,25.98,26.61,24.96,33.05,39.54,44.71,42.47,55.07,56.24,59.38,60.07,72.36,78.34,79.88,33.32,33.32,33.32,65.17,65.17,49.97,65.17,66.88,120.38,129.68,169.41,181.1,156.68,191.57,247.47,211.79,200.68,217.26,261.85,228.63,243.74,241.37
Other Current Assets,5.52,-,-,-,6.9,18.07,23.36,24.17,21.31,20.88,20.76,22.63,27.36,14.57,23.58,11.98,15.04,18.4,17.35,17.35,17.35,33.27,33.27,38.59,33.27,30.73,25.43,38.25,50.81,40.94,44.35,63.6,104.08,95.78,107.51,88.36,74.86,71.52,87.9,125.61
Total Current Assets,76.79,-,-,-,127.06,142.29,343.36,349.31,359.05,340.61,346.78,353.41,371.03,355.24,376.23,400.38,439.26,705,680.29,680.29,680.29,921.04,921.04,945.84,921.04,906.95,"1,194","1,698","1,895","1,894","2,691","1,077","1,342","1,295","1,320","1,352","1,514","1,345","1,414","1,344"
"Property, Plant & Equipment",23.11,-,-,-,75.54,78.44,85.45,94.66,105.02,116.48,125.75,123.71,126.41,127.17,129.07,124.54,117.62,116.39,120.18,120.18,120.18,144.86,144.86,153.26,144.86,134.52,126.19,118.14,112.5,107.96,105.81,198.9,275.06,271.33,261.7,249.91,249.74,248.35,243.13,245.81
Long-Term Investments,0,-,-,-,0,0,0,0,0,12.06,0,0,0,0,0,0,0,0,0,0,0,89.34,89.34,4.77,89.34,94.08,73.14,36.68,39.09,137.66,102.8,90.35,85.03,61.61,46.94,32.14,29.14,57.03,73.98,76.6
Goodwill and Intangibles,5.84,-,-,-,36.24,32.75,32.33,31.85,30.62,31.06,30.02,46.54,43.16,42.03,42.74,42.92,42.64,42.73,72.07,72.07,72.07,337.97,337.97,340.58,337.97,333.18,330.44,328.86,328.26,322.06,318.9,"1,998","1,978","1,960","1,820",652.94,673.13,672.53,612.28,590.34
