,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,60.3,547,94.6,109.2,123.4,112.7,118.1,140.7,143,126.6,141.4,158.5,230.2,186.1,170.1,-2.8,206.6,282.7,225.9,7,249.7,242.3,274.7,280.2,310.6,-121.9,325.2,309.5,338.2,489.5,340.1,335.3,373.6,406.4,343.5,398.4,340.5,307.1,384.9,369.9
Depreciation & Amortization,16.2,16.1,18,18.3,16,16.8,18.5,14.5,15.9,18,18.2,19.1,21.1,18.9,20.7,21.2,19.1,19.2,19.2,19.9,26.3,27.8,30,30.5,31.2,31.1,33,40.1,39.7,42.8,40.7,40.1,41.8,40.9,42.1,42,42,43,43.9,44.2
Share-Based Compensation,12,11.9,12.2,12.2,13.6,10.8,12.6,12.9,14.3,14.3,14.4,13.9,15.2,15.3,15.8,15.3,18.4,19.2,17.4,16,20.8,22.3,19.8,18.4,23.9,24.8,23,20.9,28.2,30.3,26.6,24.2,32.4,36.2,30.3,27.9,38.9,37.4,32.6,30.5
Other Operating Activities,50.4,203,-112.6,-46.5,-79.7,29.8,53.3,-64.3,-66.1,31.4,31.9,9.6,-138.2,-22.6,104.2,330.2,-92.8,-180.9,79.8,250,-295.3,48.8,112.8,73.8,-158.6,297.3,-165.1,29.3,-105.6,-36.5,124.5,-26,-154.5,-151.3,-106,-185.5,-107.3,-353.9,-49.9,-308
Operating Cash Flow,138.9,778,12.2,93.2,73.3,170.1,202.5,103.8,107.1,190.3,205.9,201.1,128.3,197.7,310.8,363.9,151.3,140.2,342.3,292.9,1.5,341.2,437.3,402.9,207.1,231.3,216.1,399.8,300.5,526.1,531.9,373.6,293.3,332.2,309.9,282.8,314.1,33.6,411.5,136.6
Operating Cash Flow Growth,37.39%,507.34%,-90.77%,-16.26%,-47.23%,-78.14%,1559.84%,11.37%,46.11%,11.88%,1.68%,93.74%,19.79%,3.89%,50.95%,80.95%,17.93%,-29.08%,10.14%,-19.51%,-99.01%,143.37%,27.75%,37.56%,13706.67%,-32.21%,-50.58%,-0.77%,45.10%,127.45%,146.14%,-6.55%,-2.40%,-36.86%,-41.74%,-24.30%,7.09%,-89.89%,32.78%,-51.70%
Capital Expenditures,-14.3,-16,-18.1,-31.4,-20.8,-18.4,-26,-37.5,-27.7,-37.1,-48.1,-63.2,-15.9,-58,-42.3,-51.9,-43.2,-52.8,-85.1,-57.6,-42.2,-64.6,-76.1,-71.5,-82.2,-108.3,-103.3,-113.2,-106,-69.3,-60.7,-89.8,-72.7,-43.1,-59.9,-68.9,-61.5,-47.9,-55.3,-88.3
Acquisitions,-0.7,2,-0.3,-25.1,-0.4,1.1,-321.6,-12.8,-2,0,-3.1,-0.6,-81.8,-2.7,-0.4,-108,-11.8,1.8,0,10,-36.3,-98.9,0,0,0,-10,0,0,0,-5.7,0,-7.4,0,-55.5,-52.1,-2,-156.2,0,0,31
Change in Investments,-105.4,-457.1,-136.7,180.9,-159.4,35.2,168.6,77.3,72.8,-265.2,59.1,143.5,251,-573.3,-158.4,249.4,277.7,162.9,-164.7,65.5,43.5,86.5,64.9,-366,-51.5,109.1,-19.9,-139.4,55.8,-242.4,-299.9,-848.7,307.4,231.7,-75.3,191.7,233.2,120,145.8,78.8
Other Investing Activities,0.6,0.7,0.3,-12.4,0.3,-5.4,3.4,0.3,4.2,-40.8,-4,0.5,-2.1,-4.2,-8.4,-40.2,-2.4,-7,-4.4,-12.2,-14.5,-11.3,-1.5,-7.8,-1,-1,-3.1,-7.3,0.5,-12.1,-16.8,-20,-5.2,-3.5,-14.2,-26.1,-15,-1.9,-1.5,-7.4
