,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"1,776","1,121","1,569","3,081","2,149","2,122","6,288","7,606","6,707","1,178","1,848","2,218",888,863,788,"1,523","1,105",996,900,"2,158","1,596","1,103",987,"1,992",945,"1,871","2,502","2,343","1,101","2,282","1,957","3,430",993,"2,906","1,777","1,190",973,903,834,735
Short-Term Investments,727,756,629,744,"1,279","1,117","1,405","1,116","1,365","1,185",759,754,917,847,833,699,976,978,799,696,804,652,526,601,679,656,573,472,644,568,749,"1,507",0,0,0,0,0,0,0,0
Cash & Cash Equivalents,"2,503","1,877","2,198","3,825","3,428","3,239","7,693","8,722","8,072","2,363","2,607","2,972","1,805","1,710","1,621","2,222","2,081","1,974","1,699","2,854","2,400","1,755","1,513","2,593","1,624","2,527","3,075","2,815","1,745","2,850","2,706","4,937",993,"2,906","1,777","1,190",973,903,834,735
Cash Growth,-2.11%,18.35%,12.72%,51.73%,36.96%,72.56%,250.00%,128.03%,135.47%,-27.05%,-66.11%,-65.93%,-77.64%,-27.63%,-37.82%,-25.24%,15.29%,15.44%,4.81%,28.44%,15.33%,-11.09%,-10.95%,-9.15%,-32.33%,43.99%,103.24%,8.56%,7.45%,12.78%,-12.00%,75.38%,-43.09%,1.96%,-34.33%,-75.90%,-2.01%,-68.93%,-53.07%,-38.24%
Receivables,"2,981","3,455","2,973","2,815","3,482","3,702","3,227","3,215","3,187","3,594","3,671","4,061","4,158","3,886","3,825","3,854","4,445","4,190","4,094","4,239","5,863","4,564","5,133","5,273","6,175","5,381","4,302","4,293","4,629","4,816","4,492","4,660","2,865","3,043","3,187","3,430","3,561","3,359","3,030","3,314"
Inventory,"1,105","1,023","1,450","1,591","1,603","1,301","1,432","1,516","1,566","1,514","1,500","1,562","1,638","1,561","1,601","1,668","1,651","1,471","1,590","1,665","1,685","1,559","1,670","1,783","1,768","1,687","1,781","1,716","1,722","1,632","1,702","1,818",581,512,624,757,755,652,710,762
Other Current Assets,"3,548","3,320","3,202","3,606","3,340","3,115","3,073","3,414","2,509","3,893","3,717","3,613","4,811","5,037","5,185","4,980","3,719","3,898","4,106","4,715","3,380","4,598","3,339","2,557","2,470","2,881","3,375","3,488","4,466","3,699","3,448","3,462","9,518","1,684","1,754","1,678","2,047","2,863","2,968","2,708"
Total Current Assets,"10,137","9,675","9,823","11,837","11,853","11,357","15,425","16,867","15,334","11,364","11,495","12,208","12,412","12,194","12,232","12,724","11,896","11,533","11,489","13,473","13,328","12,476","11,655","12,206","12,037","12,476","12,533","12,312","12,562","12,997","12,348","14,877","13,957","8,145","7,342","7,055","7,336","7,777","7,542","7,519"
"Property, Plant & Equipment","47,330","47,742","51,747","51,630","52,170","53,001","53,935","55,814","57,439","69,406","70,693","71,214","71,555","72,630","72,748","73,067","74,202","74,711","75,284","75,840","76,707","77,460","78,030","78,593","80,233","81,017","81,748","82,561","82,584","82,588","82,120","82,852","103,067","65,465","66,456","67,572","69,076","70,117","71,300","72,458"
Long-Term Investments,"3,719","3,328","1,343","1,112","1,317","1,481","1,418","1,421","1,397","1,296","1,048","1,261","1,121","1,187","1,102","1,060",977,"1,167","1,093","1,098","1,077","1,074","1,155",958,972,"1,043",890,827,995,922,864,"1,100",250,244,235,230,232,234,238,246
