,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"10,802","16,139","16,995","18,264","16,782","15,668","18,729","27,384","13,674","21,076","17,686"
Market Cap Growth,18.96%,49.41%,5.31%,7.47%,-8.12%,-6.64%,19.54%,46.21%,-50.07%,54.14%,-
Enterprise Value,"10,756","17,601","18,267","19,129","17,769","16,518","23,299","30,189","14,327","21,954","18,564"
PE Ratio,27.13,21.11,60.27,48.32,41.34,27.73,-6.97,-101.80,38.85,26.44,25.47
PS Ratio,1.87,2.42,1.94,1.82,1.50,1.30,3.60,3.19,1.17,1.64,1.38
PB Ratio,6.05,3.32,4.11,4.04,4.09,3.95,12.40,13.31,5.99,13.74,11.53
P/FCF Ratio,10.40,27.78,21.24,16.09,15.30,9.75,-4.04,8.91,4.92,11.43,9.59
P/OCF Ratio,7.90,11.80,10.97,9.90,8.50,5.66,-4.89,7.31,3.97,7.83,6.57
EV/Sales Ratio,1.87,2.64,2.08,1.90,1.58,1.37,4.48,3.51,1.23,1.71,1.45
EV/EBITDA Ratio,11.56,11.09,14.05,12.80,10.55,8.92,-13.07,26.86,8.87,10.08,8.52
EV/EBIT Ratio,18.30,16.09,38.78,31.62,26.02,17.55,-8.71,97.38,17.39,16.00,13.53
EV/FCF Ratio,10.36,30.29,22.83,16.85,16.20,10.28,-5.03,9.82,5.16,11.91,10.07
Debt / Equity Ratio,0.98,0.65,0.76,0.94,0.91,1.38,5.78,4.28,2.87,4.28,4.28
Debt / EBITDA Ratio,1.88,2.01,2.43,2.84,2.21,2.96,-4.90,7.84,4.05,3.01,3.01
Debt / FCF Ratio,1.68,5.48,3.95,3.74,3.39,3.40,-1.88,2.87,2.36,3.56,3.56
Quick Ratio,0.61,0.47,0.53,0.67,0.61,0.67,0.90,0.77,0.74,0.72,0.72
Current Ratio,0.70,0.50,0.56,0.70,0.65,0.72,1.04,0.87,0.82,0.78,0.78
Asset Turnover,0.63,0.54,0.54,0.55,0.57,0.56,0.26,0.38,0.50,0.54,0.54
Interest Coverage,5.99,8.67,2.72,3.32,3.59,5.44,-7.43,0.88,2.97,5.60,5.60
Return on Equity (ROE),21.10%,27.60%,6.70%,8.70%,9.80%,13.60%,-150.40%,-18.00%,16.50%,46.90%,46.90%
Return on Assets (ROA),4.40%,6.10%,1.70%,2.00%,2.10%,2.60%,-13.30%,-1.20%,1.50%,3.40%,3.40%
Return on Capital (ROIC),11.92%,4.06%,6.00%,6.37%,7.52%,7.04%,-26.56%,1.71%,7.90%,9.02%,9.02%
Earnings Yield,3.69%,4.74%,1.66%,2.07%,2.42%,3.61%,-14.35%,-0.98%,2.57%,3.78%,4.51%
FCF Yield,9.61%,3.60%,4.71%,6.21%,6.54%,10.26%,-24.73%,11.23%,20.32%,8.75%,10.43%
Dividend Yield,0.80%,0.70%,0.90%,1.00%,1.10%,1.20%,0.30%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,21.40%,14.30%,53.50%,46.60%,45.80%,34.40%,-1.80%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,4.60%,-0.64%,-15.30%,-1.21%,2.24%,1.97%,5.65%,-5.88%,-8.03%,7.12%,7.12%
Total Shareholder Return,5.40%,0.06%,-14.40%,-0.21%,3.34%,3.17%,5.95%,-5.88%,-8.03%,7.12%,7.12%
