,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,"1,200","1,495","1,713","1,356","1,373","1,663","1,938","1,699","1,904","2,196","2,581","2,093","2,189","2,586","2,966","2,319","2,508","2,880","3,276","2,559","2,609","3,153","3,558","2,747","2,209",566,"1,504",920,"1,246","2,111","2,962","2,279","2,249","3,181","3,619","2,618","2,665","3,358","3,929","2,887"
Revenue Growth (YoY),18.57%,24.03%,22.16%,17.70%,14.41%,11.24%,13.15%,25.27%,38.63%,32.07%,33.19%,23.24%,14.97%,17.77%,14.92%,10.78%,14.57%,11.37%,10.45%,10.35%,4.03%,9.48%,8.61%,7.35%,-15.33%,-82.05%,-57.73%,-66.51%,-43.59%,272.97%,96.94%,147.72%,80.50%,50.69%,22.18%,14.87%,18.50%,5.56%,8.57%,10.28%
Cost of Revenue,294.62,300.5,299.71,284.25,321.92,321.08,328.07,338.49,402.57,406.38,416.91,371.14,422,439,459,437,487,498,504,375,490,500,548,528,629,381,363,276,311,374,442,395,371,419,455,412,414,407,412,340
Gross Profit,905.75,"1,194","1,413","1,072","1,051","1,342","1,610","1,360","1,501","1,789","2,164","1,722","1,767","2,147","2,507","1,882","2,021","2,382","2,772","2,184","2,119","2,653","3,010","2,219","1,580",185,"1,141",644,935,"1,737","2,520","1,884","1,878","2,762","3,164","2,206","2,251","2,951","3,517","2,547"
"Selling, General & Admin",723.74,846.16,920.8,743,879.78,"1,027","1,073",974.89,"1,185","1,348","1,370","1,142","1,428","1,622","1,602","1,322","1,715","1,737","1,703","1,340","1,705","1,848","1,856","1,458","1,390",440,657,629,820,"1,383","1,496","1,227","1,525","1,905","1,856","1,562","1,858","1,964","2,050","1,762"
Research & Development,162.98,169.08,172.75,181.35,190.46,186.52,202.7,250.57,291.55,317.92,301.45,324.08,322,343,350,372,396,400,404,-78,297,304,304,358,315,271,242,240,247,276,277,274,270,284,310,317,317,344,340,357
Other Operating Expenses,22.03,49.68,22.41,52.67,32.25,38.04,-11.47,105.14,121.78,98.36,106.05,108.82,90,79,74,74,75,134,-7,826,248,236,241,243,"1,169",323,355,238,237,210,223,220,218,228,251,199,197,200,520,324
Operating Expenses,908.75,"1,065","1,116",977.02,"1,102","1,251","1,265","1,331","1,599","1,764","1,778","1,575","1,840","2,044","2,026","1,768","2,186","2,271","2,100","2,088","2,250","2,388","2,401","2,059","2,874","1,034","1,254","1,107","1,304","1,869","1,996","1,721","2,013","2,417","2,417","2,078","2,372","2,508","2,910","2,443"
Operating Income,-3,129.22,296.84,94.71,-51,90.09,345,29.48,-97.3,25.66,386.15,147.48,-73,103,481,114,-165,111,672,96,-131,265,609,160,"-1,294",-849,-113,-463,-369,-132,524,163,-135,345,747,128,-121,443,607,104
Interest Expense / Income,21.8,22.32,25.56,28.41,27.99,28.52,33.26,36.43,43.96,42.94,43.37,42.73,43,43,44,52,51,51,47,41,41,39,40,53,50,95,113,102,98,83,86,84,81,73,63,60,61,61,62,61
Other Expense / Income,-10.82,-3.23,-24.69,-31.39,-122.23,-519.29,-37.43,-1.37,24.69,-30.72,2.82,-5.78,17,-,19,-16,-59,64,19,7,-28,-5,6,-11,39,5,-10,-78,280,4,-25,-383,-9,399,-12,-117,-116,-80,-19,-124
Pretax Income,-13.99,110.12,295.96,97.69,43.23,580.87,349.17,-5.59,-165.94,13.45,339.96,110.54,-133,60,418,78,-157,-4,606,48,-144,231,563,118,"-1,383",-949,-216,-487,-747,-219,463,462,-207,-127,696,185,-66,462,564,167
Income Tax,0.32,20.75,38.9,31.72,-0.91,131.22,65.95,6.95,-57.35,-18.2,60.63,30.93,-47,3,66,23,-20,-5,81,31,-41,48,154,42,-82,-213,-24,-104,-169,-47,87,76,-85,58,214,8,79,77,139,35
Net Income,-14.3,89.37,257.06,65.97,44.14,449.64,283.22,-12.54,-108.59,31.65,279.33,79.61,-86,57,352,55,-137,1,525,17,-103,183,409,76,"-1,301",-736,-192,-383,-578,-172,376,386,-122,-185,482,177,-145,385,425,132
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,29,28,129,14,110,0,0,0,0,0,0,0,0
Net Income Common,-14.3,89.37,257.06,65.97,44.14,449.64,283.22,-12.54,-108.59,31.65,279.33,79.61,-86,57,352,55,-137,1,525,17,-103,183,409,76,"-1,301",-753,-221,-412,-606,-301,362,276,-122,-185,482,177,-145,385,425,132
Net Income Growth,-,25.00%,50.45%,-30.35%,-,403.11%,10.18%,-,-,-92.96%,-1.37%,-,-,80.10%,26.02%,-30.91%,-,-98.25%,49.15%,-69.09%,-,18200.00%,-22.10%,347.06%,-,-,-,-,-,-,-,-,-,-,33.15%,-35.87%,-,-,-11.83%,-25.42%
Shares Outstanding (Basic),131,130,128,128,128,129,130,134,151,150,150,151,151,152,152,152,152,150,149,148,148,149,147,145,141,141,141,142,145,149,151,154,156,157,158,155,152,147,142,138
Shares Outstanding (Diluted),131,134,132,132,131,133,133,138,151,154,154,155,151,157,158,156,152,153,153,151,148,152,151,147,141,141,141,142,145,149,160,154,156,157,162,160,152,152,148,144
