,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"1,985","1,342","1,458",658,464,549,466,338,177,331,352,"1,108","4,245","4,001","4,667","4,957","4,526","3,702","3,859","4,556","4,217","2,833","2,623","2,247","2,020","1,602","1,465","2,403","3,657","4,580","6,313","7,672","8,068","8,338","9,492","8,578","8,257","6,852","6,683","6,442"
Cash & Cash Equivalents,"1,985","1,342","1,458",658,464,549,466,338,177,331,352,"1,108","4,245","4,001","4,667","4,957","4,526","3,702","3,859","4,556","4,217","2,833","2,623","2,247","2,020","1,602","1,465","2,403","3,657","4,580","6,313","7,672","8,068","8,338","9,492","8,578","8,257","6,852","6,683","6,442"
Cash Growth,-46.42%,-86.01%,-55.74%,-70.35%,-76.62%,-59.09%,-68.04%,-48.63%,-61.85%,-39.71%,-24.46%,227.81%,2298.31%,1108.76%,1225.85%,347.38%,6.62%,-7.47%,-17.31%,-8.09%,-6.83%,-23.47%,-32.03%,-50.68%,-52.10%,-43.45%,-44.15%,6.94%,81.04%,185.89%,330.92%,219.27%,120.62%,82.05%,50.36%,11.81%,2.34%,-17.82%,-29.59%,-24.90%
Receivables,"1,867","2,377","2,758","2,307","1,241","2,396","2,272","1,902",797,959,796,885,"1,126",734,802,"1,024","1,322","1,222","1,077","1,064",829,781,725,731,741,515,717,893,892,"1,248","1,100",931,"1,168","1,537",977,844,"1,336","1,134",675,792
Inventory,"7,404","7,692","7,888","8,058","7,540","7,499","7,708","7,671","5,738","6,852","5,486","5,408","5,275","5,388","5,196","5,310","5,558","5,272","5,547","5,402","6,073","5,804","5,724","5,734","5,498","5,126","5,256","5,355","5,356","5,620","5,691","5,570","5,884","5,831","5,900","6,013","6,432","6,972","7,051","7,276"
Other Current Assets,"-1,284","-1,981","-1,850","-1,992",-200,"-1,590","-1,749","-1,756",750,-909,"4,066","4,104",-211,-356,-248,-141,-780,-90,-140,-101,-655,-373,-342,-365,-344,114,-283,-580,-602,-592,-505,-382,-290,-404,-187,-62,-412,-212,-352,-433
Total Current Assets,"9,972","9,430","10,254","9,031","9,045","8,854","8,697","8,155","7,462","7,233","10,700","11,505","10,435","9,767","10,417","11,150","10,626","10,106","10,343","10,921","10,464","9,045","8,730","8,347","7,915","7,357","7,155","8,071","9,303","10,856","12,599","13,791","14,830","15,302","16,182","15,373","15,613","14,746","14,057","14,077"
"Property, Plant & Equipment","47,401","48,066","47,233","48,641","45,494","42,973","41,056","37,925","31,079","30,819","26,646","26,038","23,293","23,174","23,115","22,934","22,994","22,792","22,923","23,013","28,010","28,497","28,841","29,330","29,584","29,899","29,936","29,911","29,818","29,775","29,836","30,102","30,345","30,708","31,200","31,814","32,627","33,159","33,845","34,535"
Goodwill and Intangibles,"1,916","1,916","1,717","1,717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Long-Term Assets,"4,184","4,431","4,805","4,587","4,135","4,238","4,255","4,303","8,036","4,612","3,950","3,857","3,589","3,635","3,511","3,243","3,682","3,739","3,762","3,815","3,742","3,517","3,515","3,266","3,310","2,963","3,139","3,117","3,023","3,012","3,001","3,024","2,847","2,822","2,731","2,740","2,853","3,004","3,005","3,036"
