,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,707,510,482,552,"-2,852","-2,474","-1,851","-3,830","-4,081","-4,184",-479,217,292,228,268,280,"1,041",692,869,556,485,31,-72,-207,9,-491,53,329,708,718,"1,083","1,399","1,106","1,527",840,404,697,663,343,454
Depreciation & Amortization,"1,019",966,"1,013",945,939,939,890,888,780,722,652,643,593,389,450,418,457,451,442,458,403,347,352,322,391,341,358,394,435,419,483,528,568,489,507,508,515,399,547,533
Share-Based Compensation,173,0,0,0,106,0,0,0,85,30,12,-42,86,34,10,14,13,49,11,10,6,29,11,12,11,27,16,17,39,41,15,23,19,49,13,13,20,53,19,17
Other Operating Activities,487,-285,-119,419,"2,750","2,242","1,994","3,737","3,807","4,151",667,130,345,138,308,471,143,177,-13,223,-956,127,263,97,-241,85,64,497,145,-103,814,15,587,-374,261,-167,-163,-65,764,232
Operating Cash Flow,"2,396","1,201","1,386","1,926","1,118",717,"1,069",822,612,740,874,980,"1,143",792,"1,037","1,183","1,654","1,369","1,309","1,247",-62,534,554,224,170,-38,491,"1,237","1,327","1,075","2,395","1,965","2,280","1,691","1,621",758,"1,069","1,050","1,673","1,236"
Operating Cash Flow Growth,89.41%,44.52%,34.04%,2.56%,-53.34%,-40.30%,-22.87%,-57.32%,-45.26%,3.21%,-18.24%,19.22%,86.76%,7.03%,18.65%,20.71%,44.71%,72.85%,26.23%,5.41%,-,-60.99%,-57.68%,-82.04%,-,-,-11.37%,452.23%,680.59%,-,387.78%,58.85%,71.82%,57.30%,-32.32%,-61.42%,-53.11%,-37.91%,3.21%,63.06%
Capital Expenditures,"-1,586","-1,591","-1,931","-1,830","3,023","-1,837","-1,519","-1,391","1,756",-414,-409,-304,"4,552",-288,-283,-199,-392,-363,-458,-471,-556,-510,-585,-623,-242,-525,-461,-541,335,-353,-400,-518,-510,-696,-720,-796,-995,"-1,077","-1,108","-1,113"
Acquisitions,0,0,"2,084",-534,"-2,976",0,0,0,0,0,996,0,0,0,0,0,0,0,0,0,"-3,043",0,0,0,0,0,0,0,0,0,-33,150,-186,-9,-25,-17,-14,-24,-37,-48
Other Investing Activities,-234,-14,-389,561,-204,97,-133,-158,"-3,061",-566,-142,-55,-105,-73,-59,-52,25,-129,-20,-31,53,-36,-36,-35,-36,-21,-19,134,-166,-15,-32,-30,-37,-9,-71,-38,-50,-63,-56,-58
Investing Cash Flow,"-1,820","-1,605",-236,"-1,803",-157,"-1,740","-1,652","-1,549","-1,305",-980,445,-359,"4,447",-361,-342,-251,-367,-492,-478,-502,"-3,546",-546,-621,-658,-278,-546,-480,-407,169,-368,-465,-398,-733,-714,-816,-851,"-1,059","-1,164","-1,201","-1,219"
Dividends Paid,-324,-326,-327,-326,-326,-327,-53,-167,-58,-4,-1,0,-1,-1,-1,0,0,0,-73,-72,-73,-73,-73,-72,-73,-73,0,0,0,0,-111,-109,-111,-220,-218,-214,-214,-217,-215,-215
Share Issuance / Repurchase,0,0,0,0,0,0,0,999,937,32,0,410,"1,073",-5,-3,-2,10,3,2,-1,-4,0,0,0,2,1,0,2,48,106,78,5,-467,-440,-639,-162,19,31,3,7
Debt Issued / Paid,-388,162,-525,-487,-746,"1,471",591,-203,-264,354,"-1,192",-238,"-2,868",-658,14,-552,"-1,661","-1,511",-434,10,-150,"-1,242",7,-1,-82,236,-178,73,-324,98,-117,-20,-221,170,"1,503",-380,-73,-989,-136,-86
Other Financing Activities,-98,-75,-182,-110,-83,-36,-38,-30,-36,-35,-27,-47,-622,-15,-35,-29,-117,-80,-184,-,"3,467",-16,27,13,27,9,29,21,28,21,-46,-93,-353,-213,-294,-72,-176,3,-292,-120
Financing Cash Flow,-810,-239,"-1,034",-923,"-1,155","1,108",500,599,579,347,"-1,220",125,"-2,418",-679,-25,-583,"-1,768","-1,588",-689,-63,"3,240","-1,331",-39,-60,-126,173,-149,96,-248,225,-196,-217,"-1,152",-703,352,-828,-444,"-1,172",-640,-414
Net Cash Flow,-234,-643,116,-800,-194,85,-83,-128,-114,107,99,746,"3,172",-248,670,349,-481,-711,142,682,-368,"-1,343",-106,-494,-234,-411,-138,926,"1,248",932,"1,734","1,350",395,274,"1,157",-921,-434,"-1,286",-168,-397
Free Cash Flow,810,-390,-545,96,"4,141","-1,120",-450,-569,"2,368",326,465,676,"5,695",504,754,984,"1,262","1,006",851,776,-618,24,-31,-399,-72,-563,30,696,"1,662",722,"1,995","1,447","1,770",995,901,-38,74,-27,565,123
Free Cash Flow Growth,131.43%,-,-,-69.72%,411.23%,-,-,-,-42.82%,-,-,-,140.50%,54.60%,62.15%,45.56%,-77.84%,99.60%,12.86%,-21.14%,-,-97.61%,-,-,-,-,-,-,-,-,6550.00%,107.90%,6.50%,37.81%,-54.84%,-,-95.82%,-,-37.29%,-
Free Cash Flow Margin,13.76%,-7.82%,-9.87%,1.69%,109.03%,-26.97%,-11.43%,-16.82%,67.35%,10.06%,13.95%,17.44%,130.11%,15.09%,20.32%,22.83%,25.03%,20.67%,16.47%,15.81%,-16.78%,0.63%,-0.87%,-12.65%,-1.84%,-20.12%,0.98%,18.07%,36.97%,14.89%,34.71%,23.79%,28.72%,15.07%,16.64%,-0.76%,1.29%,-0.50%,9.85%,2.11%
Free Cash Flow Per Share,0.78,-0.38,-0.53,0.09,3.99,-1.08,-0.43,-0.53,2.01,0.26,0.37,0.50,4.05,0.35,0.52,0.68,0.87,0.69,0.59,0.54,-0.43,0.02,-0.02,-0.28,-0.05,-0.39,0.02,0.48,1.14,0.49,1.36,0.98,1.21,0.68,0.62,-0.03,0.05,-0.02,0.39,0.09
