,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"18,566","20,265","18,158","16,701","16,789","15,533","16,863","15,304","15,966","13,257","13,504","15,680","20,379","19,050","19,477","20,614","21,407","22,028","19,674","18,653","15,427","16,324","20,489","20,001","21,815","10,537","13,726","15,185","19,641","26,541","26,913","29,314","29,778","29,426","23,053","21,931","22,521","18,078","17,842","17,247","23,107"
Market Cap Growth,36.10%,38.45%,15.02%,8.67%,-9.57%,-23.35%,-7.14%,-8.37%,-4.90%,-14.65%,-19.92%,2.46%,27.64%,43.69%,44.23%,31.46%,5.05%,15.63%,1.01%,-9.51%,-27.94%,-25.90%,4.15%,7.22%,41.41%,-35.45%,-33.01%,-24.08%,-9.96%,151.88%,96.08%,93.05%,51.61%,10.87%,-14.34%,-25.19%,-24.37%,-38.57%,-22.60%,-21.36%,-
Enterprise Value,"26,685","31,330","32,106","30,790","30,365","28,281","31,861","33,412","30,894","29,921","31,463","34,026","36,042","32,673","36,236","38,254","37,983","36,303","34,303","34,443","29,670","33,017","34,645","36,136","34,778","29,704","28,379","28,759","32,959","39,570","37,460","38,778","39,866","38,314","38,374","37,165","37,787","35,732","33,506","35,519","41,379"
PE Ratio,10.32,11.95,11.87,11.62,11.87,10.70,12.70,11.20,9.75,8.28,8.36,8.96,13.84,13.14,13.08,10.37,10.17,8.81,7.19,8.64,7.28,7.44,10.04,9.30,9.02,6.25,9.65,10.44,14.85,13.49,10.86,11.27,11.20,11.97,9.98,9.71,9.67,7.56,7.35,7.13,9.64
PS Ratio,2.83,3.18,3.00,2.86,2.93,2.70,3.03,2.70,2.60,2.15,2.18,2.45,3.42,3.21,3.26,3.05,3.17,3.03,2.60,2.82,2.30,2.36,2.93,2.73,2.78,1.50,2.09,2.29,3.02,3.61,3.34,3.57,3.60,3.68,2.97,2.84,2.88,2.25,2.18,2.10,2.81
PB Ratio,1.27,1.37,1.17,1.08,1.07,0.98,1.08,0.97,1.01,0.81,0.81,0.94,1.26,1.16,1.19,1.26,1.32,1.36,1.21,1.18,0.95,0.83,1.00,0.93,1.03,0.48,0.62,0.66,0.85,1.18,1.17,1.30,1.34,1.46,1.22,1.31,1.30,0.98,1.00,1.04,1.40
P/FCF Ratio,4.48,6.16,6.83,8.27,9.23,7.80,9.35,8.32,7.24,6.40,7.19,8.66,10.95,9.43,10.71,10.49,16.61,21.08,9.82,9.06,5.55,5.41,9.11,16.78,13.55,7.01,5.02,4.95,426.99,-36.21,-15.17,-57.25,12.19,6.62,4.69,4.14,3.78,3.23,3.51,4.25,5.69
P/OCF Ratio,4.04,5.46,6.12,7.19,8.09,6.94,8.18,7.51,6.60,5.74,6.22,7.46,9.75,8.56,9.59,9.73,14.46,18.13,9.23,8.56,5.40,5.22,8.64,14.56,11.96,6.12,4.62,4.47,52.94,-62.01,-18.46,-103.95,11.01,6.19,4.41,3.85,3.50,2.98,3.20,3.82,5.12
Debt / Equity Ratio,0.77,0.96,1.12,1.12,1.07,0.99,1.14,1.30,1.10,1.16,1.21,1.22,1.11,0.96,1.15,1.21,1.18,1.01,1.03,1.13,1.04,0.99,0.83,0.91,0.77,1.03,0.80,0.72,0.71,0.71,0.60,0.56,0.59,0.59,0.99,1.09,1.08,1.11,1.03,1.28,1.28
Return on Capital (ROIC),Upgrade,7.07%,5.97%,4.83%,4.60%,4.59%,4.84%,4.18%,3.95%,5.13%,4.74%,4.56%,4.89%,4.51%,4.72%,4.42%,5.70%,6.18%,7.93%,8.54%,6.63%,6.62%,5.80%,5.67%,5.47%,6.71%,4.02%,3.79%,3.94%,3.60%,5.35%,7.04%,7.70%,7.85%,8.00%,6.42%,6.77%,6.78%,6.47%,7.07%,6.79%
