,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,75.11,88.55,95.51,109.54,94.15,98.68,116.77,52.83,109.97,114.19,129.62,95.42,123.69,130.99,202.82,282.7,174.94,176.85,157.69,302,172.11,261.65,225.81,235.51,147.06,158.49,188.82,209.85,184.24,196.25,234.01,225,217.95,262.17,248.89,225.32,214.84,239.7,271.5,255.86
Depreciation & Amortization,23.07,23.08,24.36,36.73,47.27,48.01,47.71,47.21,35.34,47.09,55.74,59.93,63.32,63.17,67.51,64.46,70.23,67.34,65.6,66.09,67.45,70.91,67.35,68.51,64.48,62.16,63.48,64.68,65.73,69.22,74.24,75.01,76.8,78.47,77.21,89.79,84.23,83.68,84.75,0
Share-Based Compensation,10.61,7.69,7.99,11.36,16.95,13.55,13.89,45.74,15.19,17.43,17.41,13.92,23.09,21.15,24.65,24.4,14.4,19.1,20.7,15.73,12.54,18.31,15.27,14.83,14.18,8.99,11.91,8.32,17.75,17.89,16.45,27.99,32.63,34.02,34.18,20.59,26.1,34.75,29.07,0
Other Operating Activities,-57.3,-13.09,31.91,133.22,-90.97,-29.23,145.41,85.26,-38.99,-91.36,-7.33,132.35,-155.89,-90.51,-54.5,-126.17,-58.87,-188.91,36.29,-52.81,45.4,-98.34,-67.31,52.08,194.32,152.5,148.33,-29.85,-189.87,-4.76,-81.6,267.72,-439.64,-220.56,36.48,-19.51,2.5,140.89,-308.13,-255.86
Operating Cash Flow,51.49,106.23,159.77,290.84,67.4,131.01,323.78,231.03,121.51,87.35,195.43,301.63,54.22,124.79,240.49,245.38,200.7,74.39,280.29,331.01,297.49,252.53,241.11,370.94,420.03,382.14,412.53,253,77.85,278.59,243.1,595.72,-112.25,154.11,396.75,316.19,327.67,499.02,77.19,0
Operating Cash Flow Growth,-,10.19%,27.51%,73.46%,30.89%,23.33%,102.65%,-20.56%,80.27%,-33.32%,-39.64%,30.56%,-55.38%,42.86%,23.05%,-18.65%,270.20%,-40.39%,16.55%,34.90%,48.23%,239.48%,-13.98%,12.06%,41.19%,51.32%,71.09%,-31.79%,-81.47%,-27.10%,-41.07%,135.46%,-,-44.68%,63.21%,-46.92%,-,223.81%,-80.54%,-
Capital Expenditures,-5.58,-5.97,-6.73,-8.79,-8.11,-8.13,-13.29,-12.35,-11.74,-13.02,-17.12,-17.13,-14.8,-17.8,-16.86,-20.63,-15.21,-19.4,-21.7,-25.08,-14.51,-17.47,-16.71,-26.49,-18.26,-18.61,-18.15,-23.41,-19.53,-26.24,-28.69,-37.08,-31.39,-35.24,-41,-43.8,-36.74,-42.19,-38.24,0
Acquisitions,-19.29,-170.56,-72.07,"-2,305.1",-0.85,-7.1,-9.07,-40.52,-9.01,-4.16,"-1,317.91",-0.91,0,-3.58,-282.22,-65.29,-3.88,0.06,0.01,81.69,0,-250.93,-83.93,-113.42,-0.47,-0.03,-72.07,-8.23,-43.73,-71.27,-430.06,-57.07,-35.86,2.12,-126.37,-56.8,-126.69,-0,-106.2,0
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,1.41,-,-6.33,-,-,-32.63,-3.64,-7.55,-,-11.58,-,-,-,-0.26,-,-,52.96,-,0.01,-2.29,-,-,-,-,-,-,4.4,-,-,-
Investing Cash Flow,-24.88,-176.53,-78.8,"-2,313.89",-8.96,-15.23,-22.36,-52.87,-20.75,-17.18,"-1,333.62",-18.04,-21.12,-21.38,-299.08,-118.55,-22.73,-26.89,-21.69,45.03,-14.51,-268.4,-100.64,-140.16,-18.72,-18.64,-37.25,-31.64,-63.24,-99.8,-458.75,-94.14,-67.25,-33.12,-167.38,-100.6,-159.03,-42.19,-144.43,0
