,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,253.91,273.5,295.28,376.7,416.17,404.61,451.49,430.6,414.26,417.91,484.43,514.95,520.43,541.24,577.88,609.99,585.5,584.99,619.59,643.42,621.83,647.09,681.05,698.88,661.09,525.15,585.28,617.33,608.62,667.38,755.48,802.26,789.24,861.28,893,883.61,901.33,948.17,970.89,937.32
Revenue Growth (YoY),31.12%,23.83%,31.15%,47.43%,63.90%,47.93%,52.90%,14.31%,-0.46%,3.29%,7.29%,19.59%,25.63%,29.51%,19.29%,18.46%,12.50%,8.08%,7.22%,5.48%,6.20%,10.62%,9.92%,8.62%,6.31%,-18.85%,-14.06%,-11.67%,-7.94%,27.08%,29.08%,29.95%,29.68%,29.05%,18.20%,10.14%,14.20%,10.09%,8.72%,6.08%
Cost of Revenue,36.86,38.85,41.45,56.19,81.36,74.56,90.96,84.19,79.81,80.69,96.23,98.68,101.82,103.32,111.28,113.18,116.49,111.2,128.4,131.61,129.11,120.46,135.02,146.08,233.7,121.29,119.86,121.51,116.43,122.29,149.56,171.53,174.19,185.59,203.32,201.61,204.97,205.27,208.22,0.12
Gross Profit,217.05,234.66,253.83,320.51,334.81,330.04,360.53,346.41,334.45,337.21,388.19,416.28,418.61,437.92,466.59,496.81,469.02,473.78,491.19,511.81,492.71,526.64,546.03,552.8,427.39,403.86,465.43,495.82,492.2,545.09,605.91,630.72,615.05,675.69,689.69,682,696.37,742.91,762.68,937.2
Selling & Marketing,35.04,37.85,42.96,55.93,53.66,49.02,59.11,55.54,54.79,54.26,62.39,64.35,63.22,69.58,72.75,78.31,47.11,44.01,44.81,46.67,49.26,51.86,51.79,51.9,55.86,42.37,46.76,47.74,52.08,63.23,71.2,75.61,76.89,79.32,74.01,78.86,81.59,86.41,85.95,86.2
General & Administrative,43.46,37.9,40.95,83.66,69.3,63.04,64.44,100.94,67.59,63.59,77.9,74.54,95.43,87.57,92.04,112.65,90.32,96.38,98.02,104.45,92.78,106.78,98.05,109.59,106.11,86.74,90.87,90.96,108.36,115.01,121.79,140.68,143.52,147.45,149.29,143.87,154.68,159.36,147.84,141.55
Other Operating Expenses,-0.54,0.27,-0.59,1.57,-1.86,-0.65,0.17,-0.18,-0.66,-0.1,-0.29,-1.93,-2.2,0.55,175.27,-0.19,0.3,-0.46,-0.3,152.63,-0.22,-0.53,0.12,0.54,9.37,-2.48,3.59,-0.42,-1.74,-0.41,-1.53,-0.18,76.92,78.44,77.22,89.99,84.9,2.42,13.43,285.41
Operating Expenses,102.92,100.17,109.63,147.89,171.04,160.89,172.07,200.26,158.49,166.05,197.14,200.3,223.54,221.87,233.96,256.8,208.93,209,210.1,227.08,208.54,229.32,216.89,232,226.41,191.05,200.9,201.88,226.23,247.48,267.23,290.43,297.33,305.21,300.52,312.73,321.17,330.26,317.7,513.15
Operating Income,114.14,134.48,144.21,172.62,163.77,169.15,188.46,146.15,175.96,171.17,191.06,215.98,195.07,216.04,232.64,240.01,260.09,264.78,281.09,284.74,284.18,297.32,329.14,320.8,200.98,212.81,264.53,293.94,265.97,297.61,338.69,340.29,317.72,370.48,389.17,369.27,375.2,412.65,444.98,424.05
Interest Expense,5.46,5.31,4.86,13.23,19.57,18.09,17.16,16.52,16.19,15.9,17.81,21.99,23.13,23.85,29.34,30.83,31.07,33.15,36.07,38.21,39.06,39.53,36.5,34.96,35.68,32.41,31.38,30.33,28.55,34.69,29.03,27.67,22.03,23.07,45.41,74.15,79.8,88.49,88.29,92.04
Other Expense / Income,0.54,1.22,2.79,19.09,4.56,5.77,5.94,43.92,2.85,-7.08,3.04,40.53,4.57,1.8,-124.21,0.86,-0.3,0.46,7.45,-150.53,15.88,0.53,-0.12,-12.73,-7,-31.23,-2.26,0.42,1.73,0.41,1.53,10.14,1.02,3.76,3.86,-2.32,0.56,-2.41,-13.4,-1.49
Pretax Income,108.13,127.96,136.55,140.3,139.65,145.29,165.36,85.71,156.91,162.35,170.2,153.46,167.37,190.39,327.5,208.33,229.32,231.18,237.57,397.06,229.24,257.26,292.76,298.56,172.3,211.63,235.41,263.19,235.68,262.52,308.12,302.49,294.67,343.65,339.9,297.44,294.84,326.57,370.09,333.5
Income Tax,33.02,39.41,41.05,30.76,45.5,46.61,48.59,32.88,46.94,48.16,40.59,58.03,43.68,59.4,124.68,-74.37,54.38,54.32,79.87,95.06,57.13,-4.39,66.95,63.05,25.24,53.14,46.59,53.34,51.44,66.27,74.12,77.48,76.72,81.48,91.01,72.12,80.01,86.87,98.6,77.64
Net Income,75.11,88.55,95.51,109.54,94.15,98.68,116.77,52.83,109.97,114.19,129.62,95.42,123.69,130.99,202.82,282.7,174.94,176.85,157.69,302,172.11,261.65,225.81,235.51,147.06,158.49,188.82,209.85,184.24,196.25,234.01,225,217.95,262.17,248.89,225.32,214.84,239.7,271.5,255.86
Net Income Growth,16.16%,21.14%,21.48%,60.80%,25.36%,11.44%,22.26%,-51.77%,16.80%,15.71%,11.00%,80.62%,12.48%,14.71%,56.48%,196.25%,41.43%,35.01%,-22.25%,6.83%,-1.62%,47.95%,43.19%,-22.02%,-14.55%,-39.43%,-16.38%,-10.90%,25.28%,23.82%,23.93%,7.22%,18.30%,33.59%,6.36%,0.14%,-1.43%,-8.57%,9.08%,13.55%
Shares Outstanding (Basic),83,83,84,88,92,92,92,92,93,93,93,93,92,89,91,90,90,89,88,88,86,86,87,87,85,84,84,84,83,83,82,80,78,77,74,73,74,74,73,72
Shares Outstanding (Diluted),86,86,86,90,94,94,94,94,95,95,95,95,95,89,93,93,93,93,92,91,89,90,91,90,88,87,86,86,86,85,84,82,79,78,76,74,74,75,75,73
Shares Change,2.07%,1.61%,1.45%,5.82%,9.61%,9.59%,9.31%,4.55%,1.17%,1.31%,1.22%,0.94%,-0.49%,-6.41%,-2.42%,-2.74%,-1.39%,3.96%,-0.99%,-2.07%,-4.30%,-2.77%,-1.69%,-0.30%,-1.16%,-3.95%,-4.69%,-5.07%,-2.77%,-1.47%,-2.96%,-4.50%,-7.55%,-8.27%,-9.74%,-9.44%,-6.06%,-4.14%,-1.26%,-1.04%
EPS (Basic),0.91,1.07,1.14,1.25,1.03,1.07,1.27,0.57,1.20,1.25,1.40,1.03,1.34,1.42,2.23,3.15,1.95,1.98,1.78,3.45,2.00,3.03,2.61,2.72,1.73,1.89,2.26,2.51,2.21,2.36,2.86,2.80,2.80,3.42,3.34,3.07,2.92,3.24,3.71,3.55
EPS (Diluted),0.88,1.03,1.11,1.21,1.00,1.05,1.24,0.56,1.17,1.22,1.36,1.00,1.31,1.39,2.18,3.05,1.88,1.91,1.71,3.33,1.93,2.90,2.49,2.60,1.67,1.83,2.19,2.44,2.15,2.30,2.80,2.74,2.75,3.35,3.29,3.03,2.88,3.20,3.64,3.48
EPS Growth,14.29%,18.39%,19.35%,51.25%,13.64%,1.94%,11.71%,-53.72%,17.00%,16.19%,9.68%,78.57%,11.97%,13.93%,60.29%,205.00%,43.51%,37.41%,-21.56%,9.18%,2.66%,51.83%,45.61%,-21.92%,-13.47%,-36.90%,-12.05%,-6.15%,28.74%,25.68%,27.85%,12.30%,27.91%,45.65%,17.50%,10.58%,4.73%,-4.48%,10.64%,14.85%
Free Cash Flow,45.91,100.26,153.04,282.05,59.3,122.88,310.49,218.68,109.77,74.33,178.31,284.49,39.42,106.99,223.63,224.74,185.49,54.99,258.59,305.93,282.99,235.06,224.41,344.45,401.78,363.52,394.38,229.6,58.32,252.35,214.41,558.65,-143.64,118.86,355.75,272.39,290.93,456.83,38.95,0
Free Cash Flow Per Share,0.54,1.17,1.78,3.13,0.63,1.31,3.30,2.32,1.16,0.78,1.87,2.99,0.42,1.20,2.40,2.43,1.99,0.59,2.81,3.37,3.17,2.61,2.48,3.81,4.56,4.20,4.57,2.67,0.68,2.96,2.56,6.81,-1.81,1.52,4.71,3.67,3.91,6.09,0.52,-
Gross Margin,85.48%,85.80%,85.96%,85.08%,80.45%,81.57%,79.85%,80.45%,80.73%,80.69%,80.13%,80.84%,80.43%,80.91%,80.74%,81.44%,80.11%,80.99%,79.28%,79.55%,79.24%,81.38%,80.18%,79.10%,64.65%,76.90%,79.52%,80.32%,80.87%,81.68%,80.20%,78.62%,77.93%,78.45%,77.23%,77.18%,77.26%,78.35%,78.55%,99.99%
Operating Margin,44.95%,49.17%,48.84%,45.83%,39.35%,41.81%,41.74%,33.94%,42.47%,40.96%,39.44%,41.94%,37.48%,39.92%,40.26%,39.35%,44.42%,45.26%,45.37%,44.25%,45.70%,45.95%,48.33%,45.90%,30.40%,40.52%,45.20%,47.61%,43.70%,44.59%,44.83%,42.42%,40.26%,43.02%,43.58%,41.79%,41.63%,43.52%,45.83%,45.24%
Profit Margin,29.58%,32.38%,32.34%,29.08%,22.62%,24.39%,25.86%,12.27%,26.55%,27.32%,26.76%,18.53%,23.77%,24.20%,35.10%,46.34%,29.88%,30.23%,25.45%,46.94%,27.68%,40.43%,33.16%,33.70%,22.24%,30.18%,32.26%,33.99%,30.27%,29.41%,30.97%,28.05%,27.62%,30.44%,27.87%,25.50%,23.84%,25.28%,27.96%,27.30%
Free Cash Flow Margin,18.08%,36.66%,51.83%,74.87%,14.25%,30.37%,68.77%,50.79%,26.50%,17.79%,36.81%,55.25%,7.57%,19.77%,38.70%,36.84%,31.68%,9.40%,41.74%,47.55%,45.51%,36.33%,32.95%,49.29%,60.77%,69.22%,67.38%,37.19%,9.58%,37.81%,28.38%,69.63%,-18.20%,13.80%,39.84%,30.83%,32.28%,48.18%,4.01%,-
Effective Tax Rate,30.54%,30.80%,30.06%,21.93%,32.58%,32.08%,29.38%,38.36%,29.91%,29.67%,23.85%,37.82%,26.10%,31.20%,38.07%,-35.70%,23.71%,23.50%,33.62%,23.94%,24.92%,-1.71%,22.87%,21.12%,14.65%,25.11%,19.79%,20.27%,21.83%,25.24%,24.05%,25.62%,26.04%,23.71%,26.78%,24.25%,27.14%,26.60%,26.64%,23.28%
EBITDA,138.01,157.69,167.13,207.1,207.3,212.21,231.05,150.25,209.43,226.68,245.1,236.85,255.36,278.95,429.3,305.65,331.89,332.94,348.05,504.6,351.4,367.7,396.61,389.84,274.83,272.49,331.6,358.2,329.95,366.42,411.39,415.13,393.65,445.39,462.7,462.25,458.68,498.75,543.16,509.48
EBITDA Margin,54.35%,57.66%,56.60%,54.98%,49.81%,52.45%,51.17%,34.89%,50.56%,54.24%,50.60%,46.00%,49.07%,51.54%,74.29%,50.11%,56.68%,56.91%,56.18%,78.42%,56.51%,56.82%,58.23%,55.78%,41.57%,51.89%,56.66%,58.02%,54.21%,54.90%,54.45%,51.75%,49.88%,51.71%,51.81%,52.31%,50.89%,52.60%,55.94%,54.36%
Depreciation & Amortization,23.07,23.08,24.36,36.73,47.27,48.01,47.71,47.21,35.34,47.09,55.74,59.93,63.32,63.17,67.51,64.46,70.23,67.34,65.6,66.09,67.45,70.91,67.35,68.51,64.48,62.16,63.48,64.68,65.73,69.22,74.24,75.01,76.8,78.47,77.21,89.79,84.23,83.68,84.75,0
