,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"1,605","1,280","1,222","1,112","1,889","1,202","1,453","1,593","1,461","1,488","1,331","1,824","1,718","2,011","1,893","2,428","2,693","2,212","2,357","1,776","1,722","1,402","1,550","1,184","1,353",929.36,"1,053","1,277","1,227",972.88,"1,347","1,367","1,451","1,326","1,701","1,151","1,481",906.63,829.91,"1,493"
Short-Term Investments,439.1,404.03,497.52,492.88,509.03,704.67,700.02,619.81,703.45,794.22,750.78,675.99,607.99,789.44,719.57,699.54,720.38,"1,020","1,110","1,295","1,144","1,104",807.56,661.55,811.51,579.34,494.08,353.82,520.07,562.74,418.51,554.6,375.39,223.09,143.94,776.21,"1,097","1,365","1,054",329.52
Cash & Cash Equivalents,"2,044","1,684","1,719","1,605","2,398","1,906","2,153","2,213","2,164","2,282","2,081","2,500","2,326","2,801","2,613","3,127","3,414","3,233","3,467","3,071","2,866","2,506","2,358","1,846","2,164","1,509","1,547","1,631","1,747","1,536","1,765","1,922","1,826","1,549","1,845","1,927","2,578","2,271","1,884","1,822"
Cash Growth,56.57%,29.73%,10.19%,-11.37%,17.35%,13.21%,25.19%,37.88%,-9.76%,19.71%,-3.30%,12.98%,7.50%,22.73%,25.53%,25.11%,46.73%,15.41%,32.69%,-1.80%,-16.05%,-22.48%,-31.99%,-39.89%,-24.48%,-39.79%,-34.40%,-11.65%,-19.28%,1.78%,14.13%,17.85%,4.52%,0.90%,4.52%,0.27%,41.18%,46.58%,2.10%,-5.43%
Receivables,657.71,765.91,802.81,829.53,234.02,389.14,400.38,589.08,578.96,454.58,564.65,589.14,543.16,291.32,678.51,869.2,455.19,492.88,324.49,584.14,609.28,668.81,397.5,532.32,658.51,411.39,351.72,307.23,292.46,817.1,597.62,273.34,454.71,322.12,489.87,360.57,354.99,324.51,668.42,787.12
Inventory,518.62,515.18,509.77,558.31,620.71,612.18,590.53,487.74,488.18,549.86,488.39,471.25,463.73,532.32,446.22,327.97,285.65,290.47,353.36,420.3,518,601.66,735.78,729.34,604.16,662.05,703.27,765.31,768.82,755.37,829.78,883.89,903.81,"1,079","1,049","1,050",896.71,"1,005","1,013","1,144"
Other Current Assets,572.83,70.96,138.23,260.4,-175.21,241.93,12.73,-38.17,114.28,-12.49,-57.88,-94.82,454.48,-294.32,-300.63,-358.16,-321.76,-245.6,-158.76,-189.41,-133.41,-113.5,-78.75,-64.19,172.92,165.71,129.4,97.08,206.2,28.81,-37.32,-32.97,6.68,44.81,-1.1,0.68,-38.26,19.35,95.01,70.26
Total Current Assets,"3,793","3,036","3,170","3,253","3,078","3,150","3,156","3,251","3,346","3,274","3,077","3,465","3,788","3,330","3,437","3,966","3,833","3,770","3,986","3,886","3,860","3,663","3,412","3,043","3,600","2,748","2,731","2,800","3,015","3,137","3,155","3,046","3,191","2,995","3,383","3,339","3,791","3,620","3,661","3,824"
"Property, Plant & Equipment","1,385","1,371","1,418","1,432","1,466","1,414","1,399","1,423","1,378","1,381","1,679","1,754","1,078","1,144","1,247","1,395","1,572","1,667","1,801","1,982","2,065","2,165","2,311","2,592","2,658","2,715","2,790","2,644","2,646","2,634","2,630","2,736","2,867","3,000","3,145","3,278","3,537","3,859","4,020","4,073"
Long-Term Investments,17.32,0,0,0,255.03,257.32,153.51,299.1,399.81,392.17,427.24,448.96,234.61,228.47,225.97,227.66,217.23,200.96,8.11,3.19,0,0,0,0,223.79,246.41,253.24,261.51,265.28,0,0,251.38,244.73,220.17,200.27,182.21,182.07,196.59,194.65,183.7
