,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"45,606","43,423","52,578","60,747","46,558","51,019","42,707","58,210","68,118","70,863","73,821"
Market Cap Growth,35.52%,-4.79%,21.08%,15.54%,-23.36%,9.58%,-16.29%,36.30%,17.02%,4.03%,-
Enterprise Value,"45,111","44,037","54,132","61,746","58,012","62,047","52,881","68,102","77,372","78,211","81,169"
PE Ratio,18.01,14.30,20.44,20.86,13.92,14.64,13.49,17.87,20.09,21.38,22.42
PS Ratio,1.48,1.37,1.72,1.96,1.29,1.30,1.13,1.51,1.73,1.68,1.75
PB Ratio,3.86,4.04,5.10,5.31,3.97,3.65,2.73,3.30,3.67,3.33,3.47
P/FCF Ratio,13.38,18.64,29.54,17.37,15.42,25.59,14.77,17.20,19.66,18.62,19.40
P/OCF Ratio,11.91,16.66,24.31,15.67,14.79,17.11,11.07,13.63,14.88,15.05,15.67
EV/Sales Ratio,1.46,1.39,1.77,1.99,1.60,1.58,1.39,1.77,1.96,1.85,1.92
EV/EBITDA Ratio,10.63,9.21,13.23,13.59,11.93,12.10,11.16,14.00,15.52,15.85,16.45
EV/EBIT Ratio,12.04,10.24,14.87,14.77,13.10,13.31,12.55,15.85,17.58,18.08,18.76
EV/FCF Ratio,13.23,18.91,30.41,17.65,19.21,31.12,18.29,20.12,22.33,20.55,21.33
Debt / Equity Ratio,0.33,0.32,0.38,0.35,1.06,0.85,0.83,0.65,0.57,0.43,0.43
Debt / EBITDA Ratio,0.92,0.71,0.95,0.88,2.55,2.33,2.74,2.36,2.11,1.88,1.88
Debt / FCF Ratio,1.14,1.46,2.18,1.14,4.11,5.98,4.50,3.40,3.03,2.43,2.43
Quick Ratio,0.95,0.85,0.74,0.90,0.77,0.73,0.88,0.94,0.85,0.79,0.79
Current Ratio,1.27,1.17,1.23,1.40,1.23,1.21,1.35,1.43,1.37,1.44,1.44
Asset Turnover,0.89,0.96,0.95,0.91,0.82,0.81,0.74,0.76,0.77,0.79,0.79
Interest Coverage,43.58,51.83,40.00,40.58,12.44,10.13,8.84,10.13,12.09,12.62,12.62
Return on Equity (ROE),19.60%,27.40%,23.80%,26.20%,27.70%,26.50%,22.00%,20.30%,18.90%,16.60%,16.60%
Return on Assets (ROA),7.30%,9.10%,8.00%,8.50%,7.60%,7.20%,6.20%,6.40%,6.60%,6.20%,6.20%
Return on Capital (ROIC),17.11%,21.86%,19.12%,19.62%,14.95%,14.63%,12.22%,12.02%,12.17%,11.56%,11.56%
Earnings Yield,5.55%,6.99%,4.89%,4.79%,7.18%,6.83%,7.42%,5.60%,4.98%,4.68%,4.49%
FCF Yield,7.47%,5.36%,3.39%,5.76%,6.49%,3.91%,6.77%,5.81%,5.09%,5.37%,5.16%
Dividend Yield,1.80%,2.00%,1.70%,1.60%,2.30%,2.30%,2.90%,2.20%,2.00%,2.00%,1.96%
Payout Ratio,32.00%,28.50%,35.20%,33.70%,32.00%,33.00%,39.10%,40.20%,40.40%,43.00%,43.93%
Buyback Yield / Dilution,5.91%,4.61%,3.67%,1.95%,0.81%,2.31%,0.81%,2.70%,1.67%,0.60%,0.60%
Total Shareholder Return,7.71%,6.61%,5.37%,3.55%,3.11%,4.61%,3.71%,4.90%,3.67%,2.60%,2.56%
