,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"6,404","8,731","6,209","10,027","10,635","7,417","13,965","12,851","6,315","6,485","9,809","8,229","10,285","8,712","11,508","7,588","7,643","13,234","14,569","17,940","16,927","11,240","9,474","11,631","10,051","6,746","12,886","5,997","4,065","4,893","4,362","5,338","4,296","4,739","4,699","5,412","4,936","5,704","5,705",0
Short-Term Investments,64.88,68.55,107.27,101,659,"1,194","1,749","1,756","2,004","2,267","2,457","3,666","3,830","12,384","16,879","17,922","16,355","12,683","13,897","12,149","10,977","15,943","13,382","12,721","10,734","12,168","11,089","1,411","1,601","1,632","1,376","1,182","1,029",924,961,973,936,"8,001","1,159","8,428"
Cash & Cash Equivalents,"6,859","9,581","7,692","11,726","14,514","14,667","25,114","26,208","21,322","24,616","31,611","32,380","34,017","36,576","41,360","36,694","32,102","31,656","30,844","31,512","30,125","30,234","25,051","25,840","24,314","21,190","26,049","7,910","6,245","7,361","6,837","7,829","6,752","7,000","6,942","7,630","7,200","8,001","8,021","8,428"
Cash Growth,160.69%,221.98%,179.14%,356.16%,111.61%,53.08%,226.51%,123.50%,46.91%,67.83%,25.87%,23.55%,59.54%,48.59%,30.84%,13.32%,-5.63%,-13.45%,-25.43%,-14.12%,-6.16%,-4.49%,-18.78%,-18.00%,-19.29%,-29.91%,3.98%,-69.39%,-74.32%,-65.26%,-73.75%,-1.02%,8.12%,-4.90%,1.54%,-2.54%,6.64%,14.30%,15.54%,10.46%
Receivables,"3,236","3,437","2,850","4,635","4,835","5,331","6,105","5,854","6,163","5,752","5,075","4,514","4,034","4,478","4,122","3,851","3,775","3,541","3,465","3,327","3,283","3,396","3,315","3,582","3,907","3,194","3,913","4,892","3,925","4,149","4,566","4,493","3,787","4,118","4,354","4,777","4,162","4,229","4,790","4,660"
Inventory,"2,140","2,069","1,910","1,386","1,908","2,039","1,988","1,955","1,880","1,862","1,900","1,587","1,474","1,408","1,144",801,885,859,816,814,898,884,882,"2,067","2,021","1,967","1,953","3,014","2,996","2,988","2,797","2,734","2,675","2,587","2,602","2,820","3,010","3,181","3,202","3,366"
Other Current Assets,389.87,782.32,"1,375","1,598","3,220","6,056","9,400","11,601","13,003","15,864","19,345","20,485","19,902","15,480","12,973","11,184","8,104","5,739","2,378","1,423","2,221","3,051","2,195","1,488","3,529","2,276","2,074",502,579,836,"1,099","1,309","1,427","1,337","1,282","1,245","1,328","-5,704","1,157",0
Total Current Assets,"12,235","15,087","12,452","17,747","21,257","22,037","33,207","34,017","29,365","32,230","38,586","38,481","39,525","42,462","46,626","41,346","36,762","36,056","35,125","35,653","34,306","34,514","29,248","31,489","30,242","26,351","31,915","15,816","13,166","14,498","14,200","15,056","13,214","13,705","13,898","15,227","14,372","15,411","16,013","16,454"
"Property, Plant & Equipment","1,303","1,381","1,510","1,674","1,765","1,899","2,143","2,276","2,431","2,599","2,714","2,865","2,922","3,012","3,100","3,295","3,415","3,659","3,791","4,006","4,116","4,249","4,377","4,502","4,564","4,653","4,810","4,967","4,990","4,996","5,037","5,121","5,253","5,299","5,349","5,475","5,479","5,540","5,572","5,317"
Long-Term Investments,389.87,782.32,"1,375","1,598","3,220","6,056","9,400","11,601","13,003","15,864","19,345","20,485","19,902","15,480","12,973","11,184","8,104","5,739","2,378","1,423","2,221","3,051","2,195","1,488","3,529","2,276","2,074",502,579,836,"1,099","1,309","1,427","1,337","1,282","1,245","1,327","1,334","1,156",0
