,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,652.91,"1,024",991.04,974.49,630.4,934.44,950.61,947.15,933.86,977.63,991.88,989.77,975.35,"1,024","1,029","1,046","1,057","1,070","1,085","1,084","1,065","1,119","1,130","1,141","1,137","1,133","1,181","1,195","1,229","1,267","1,271","1,278","1,297","1,303","1,292","1,297","1,323","1,321","1,326","1,384"
Revenue Growth (YoY),-29.70%,6.88%,4.28%,4.47%,-3.45%,-8.76%,-4.08%,-2.80%,48.14%,4.62%,4.34%,4.50%,4.44%,4.70%,3.75%,5.68%,8.36%,4.58%,5.41%,3.61%,0.74%,4.56%,4.21%,5.30%,6.75%,1.24%,4.46%,4.71%,8.13%,11.78%,7.64%,6.93%,5.57%,2.85%,1.62%,1.52%,1.95%,1.43%,2.68%,6.70%
Cost of Revenue,245.48,586.52,555.21,535.53,226.13,497.78,508.32,501.16,508.97,524.97,531.49,532.15,540.14,557.78,556.42,551.22,562.47,569.89,568.38,567.86,569.12,587.76,589.36,585.69,594.54,607.97,650.82,650.98,663.12,712.72,694.61,711.41,740.88,694.15,691.43,737.58,696.85,707.93,717.51,719.04
Gross Profit,407.43,437.65,435.83,438.96,404.27,436.67,442.3,446,424.9,452.65,460.4,457.62,435.21,465.81,472.66,494.8,494.43,500.55,516.4,515.95,495.62,531.46,541.1,555.59,542.04,525.09,530.07,544.07,565.82,553.84,576.5,566.43,556.48,608.48,600.33,559.66,625.82,613.39,608.9,665.07
Other Operating Expenses,189.73,221.07,222.98,222.87,188.99,223.13,226.46,227.74,229.7,237.84,237.95,235.78,238.74,253.37,249.58,253.22,256.36,266.08,267.12,273.18,268.37,282.08,290.91,287.16,294.45,301.36,295.01,290.85,294.43,313.87,309.49,314.75,319.27,294.36,302.06,300.92,343.44,314.29,318.57,320.3
Operating Expenses,189.73,221.07,222.98,222.87,188.99,223.13,226.46,227.74,229.7,237.84,237.95,235.78,238.74,253.37,249.58,253.22,256.36,266.08,267.12,273.18,268.37,282.08,290.91,287.16,294.45,301.36,295.01,290.85,294.43,313.87,309.49,314.75,319.27,294.36,302.06,300.92,343.44,314.29,318.57,320.3
Operating Income,217.7,216.59,212.85,216.08,215.28,213.54,215.84,218.26,195.2,214.82,222.45,221.84,196.47,212.44,223.08,241.58,238.08,234.46,249.28,242.76,227.25,249.38,250.19,268.42,247.59,223.73,235.05,253.21,271.39,239.97,267.01,251.68,237.21,314.12,298.28,258.74,282.38,299.1,290.32,344.77
Interest Expense / Income,19.08,19.05,19.04,19.03,19.01,19.06,19.11,19.25,19.22,19.37,23.11,20.38,20.49,20.7,21.16,20.97,21.71,21.62,22.41,22.43,23.61,21.28,21.43,21.09,20.5,20.81,22.81,21.67,21.41,21.18,21.77,20.89,19.65,19.94,21.83,23.97,24.66,24.87,25.82,25.96
Other Expense / Income,-21.27,-,-,-,-14.87,9.13,5.42,-11.53,-13.83,9.54,0.87,-9.96,-10.64,3.64,0.09,0.01,0.03,0.11,-0.03,-0.02,-0.01,0.05,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pretax Income,219.89,197.54,193.81,197.05,211.14,185.35,191.31,210.54,189.8,185.91,198.48,211.42,186.62,188.1,201.84,220.6,216.34,212.73,226.9,220.35,203.65,228.05,228.72,247.33,227.09,202.92,212.24,231.54,249.98,218.79,245.24,230.8,217.56,294.18,276.45,234.78,257.72,274.23,264.51,318.82
Income Tax,77.07,64.68,62.89,64.64,64.39,63.7,64.2,65.15,56.85,61.87,60.05,59.55,51.17,54.56,61.56,67.26,-811.01,39.13,42.47,41.63,38.93,42.71,42.15,45.51,40.03,37.38,39.19,42.59,45.74,40.28,45.63,41.92,39.61,56.69,52.48,44.19,46.16,50.62,49.25,61.73
Net Income,142.82,132.86,130.92,132.41,146.75,121.65,127.11,145.39,132.96,124.03,138.43,151.87,135.45,133.54,140.27,153.33,"1,027",173.6,184.43,178.72,164.72,185.35,186.57,201.82,187.06,165.54,173.05,188.95,204.24,178.52,199.62,188.87,177.95,237.48,223.97,190.59,211.56,223.61,215.26,257.08
Net Income Growth,-5.41%,11.05%,-2.22%,0.22%,2.75%,-8.44%,-2.91%,9.80%,-9.40%,1.96%,8.90%,4.46%,1.87%,7.67%,1.33%,0.96%,658.48%,30.00%,31.48%,16.56%,-83.97%,6.77%,1.16%,12.92%,13.57%,-10.69%,-7.25%,-6.38%,9.18%,7.84%,15.35%,-0.04%,-12.87%,33.03%,12.20%,0.91%,18.89%,-5.84%,-3.89%,34.89%
