,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Revenue,"66,001","74,989","90,272","110,855","136,819","161,857","182,527","257,637","282,836","307,394"
Revenue Growth (YoY),18.88%,13.62%,20.38%,22.80%,23.42%,18.30%,12.77%,41.15%,9.78%,8.68%
Cost of Revenue,"25,691","28,164","35,138","45,583","59,549","71,896","84,732","110,939","126,203","133,332"
Gross Profit,"40,310","46,825","55,134","65,272","77,270","89,961","97,795","146,698","156,633","174,062"
"Selling, General & Admin","13,982","15,183","17,470","19,733","23,256","28,015","28,998","36,422","42,291","44,342"
Research & Development,"9,832","12,282","13,948","16,625","21,419","26,018","27,573","31,562","39,500","45,427"
Other Operating Expenses,0,0,0,"2,736","5,071","1,697",0,0,0,0
Operating Expenses,"23,814","27,465","31,418","39,094","49,746","55,730","56,571","67,984","81,791","89,769"
Operating Income,"16,496","19,360","23,716","26,178","27,524","34,231","41,224","78,714","74,842","84,293"
Interest Expense / Income,101,104,124,109,114,100,135,346,357,308
Other Expense / Income,"-1,380",-395,-558,"-1,124","-7,503","-5,494","-6,993","-12,366","3,157","-1,732"
Pretax Income,"17,775","19,651","24,150","27,193","34,913","39,625","48,082","90,734","71,328","85,717"
Income Tax,"3,639","3,303","4,672","14,531","4,177","5,282","7,813","14,701","11,356","11,922"
Net Income,"14,136","16,348","19,478","12,662","30,736","34,343","40,269","76,033","59,972","73,795"
Preferred Dividends,0,522,0,0,0,0,0,0,0,0
Net Income Common,"14,136","15,826","19,478","12,662","30,736","34,343","40,269","76,033","59,972","73,795"
Net Income Growth,11.02%,11.96%,23.08%,-34.99%,142.74%,11.74%,17.26%,88.81%,-21.12%,23.05%
Shares Outstanding (Basic),"13,519","13,755","13,785","13,896","13,909","13,794","13,529","13,275","12,943","12,516"
Shares Outstanding (Diluted),"13,741",-,-,-,-,-,-,-,-,-
Shares Change,1.39%,0.10%,0.22%,0.81%,0.10%,-0.83%,-1.92%,-1.87%,-2.50%,-3.30%
EPS (Basic),1.05,1.16,1.42,0.91,2.21,2.48,2.96,5.69,4.59,5.84
EPS (Diluted),1.03,1.14,1.39,0.90,2.19,2.46,2.93,5.61,4.56,5.80
EPS Growth,9.36%,11.09%,21.98%,-35.39%,142.78%,12.49%,19.20%,91.47%,-18.72%,27.19%
Free Cash Flow,"12,065","16,657","26,064","23,907","22,832","30,972","42,843","67,012","60,010","69,495"
Free Cash Flow Per Share,0.89,1.21,1.89,1.72,1.64,2.25,3.17,5.05,4.64,5.55
Gross Margin,61.07%,62.44%,61.08%,58.88%,56.48%,55.58%,53.58%,56.94%,55.38%,56.63%
Operating Margin,24.99%,25.82%,26.27%,23.61%,20.12%,21.15%,22.59%,30.55%,26.46%,27.42%
Profit Margin,21.42%,21.10%,21.58%,11.42%,22.46%,21.22%,22.06%,29.51%,21.20%,24.01%
Free Cash Flow Margin,18.28%,22.21%,28.87%,21.57%,16.69%,19.14%,23.47%,26.01%,21.22%,22.61%
Effective Tax Rate,20.47%,16.81%,19.35%,53.44%,11.96%,13.33%,16.25%,16.20%,15.92%,13.91%
EBITDA,"22,855","24,818","30,418","34,217","44,062","51,506","61,914","101,353","85,160","97,971"
EBITDA Margin,34.63%,33.10%,33.70%,30.87%,32.20%,31.82%,33.92%,39.34%,30.11%,31.87%
Depreciation & Amortization,"4,979","5,063","6,144","6,915","9,035","11,781","13,697","10,273","13,475","11,946"
EBIT,"17,876","19,755","24,274","27,302","35,027","39,725","48,217","91,080","71,685","86,025"
EBIT Margin,27.08%,26.34%,26.89%,24.63%,25.60%,24.54%,26.42%,35.35%,25.35%,27.99%
