,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"16,639","19,620","15,605","18,347","16,976","18,453","18,068","16,549","15,111","13,627","9,406","12,918","18,132","15,711","10,581","10,715","12,658","14,148","13,443","16,701","19,148","16,587","16,032","18,498","19,644","17,742","20,129","26,465","26,622","23,630","23,719","20,945","20,886","17,936","21,984","21,879","25,924","25,929","30,702","24,048"
Short-Term Investments,"42,740","41,584","46,552","46,048","48,460","51,327","54,699","56,517","60,153","64,833","73,650","73,415","74,307","79,002","89,562","91,156","90,227","88,106","92,973","92,439","94,340","104,469","105,145","101,177","97,585","103,338","112,467","110,229","108,482","112,233","118,284","118,704","113,084","107,061","94,275","91,883","89,178","92,403","89,233","86,868"
Cash & Cash Equivalents,"59,379","61,204","62,157","64,395","65,436","69,780","72,767","73,066","75,264","78,460","83,056","86,333","92,439","94,713","100,143","101,871","102,885","102,254","106,416","109,140","113,488","121,056","121,177","119,675","117,229","121,080","132,596","136,694","135,104","135,863","142,003","139,649","133,970","124,997","116,259","113,762","115,102","118,332","119,935","110,916"
Cash Growth,18.53%,12.44%,9.97%,9.67%,10.20%,14.01%,17.07%,13.47%,15.02%,12.44%,14.14%,18.16%,22.82%,20.72%,20.57%,18.00%,11.30%,7.96%,6.26%,7.14%,10.31%,18.39%,13.87%,9.65%,3.30%,0.02%,9.42%,14.22%,15.25%,12.21%,7.09%,2.16%,-0.84%,-8.00%,-18.13%,-18.54%,-14.08%,-5.33%,3.16%,-2.50%
Receivables,"7,877","8,421","9,062","10,258","9,409","10,019","10,149","12,006","11,168","12,186","11,979","14,137","12,913","14,003","15,295","18,336","16,777","17,043","17,897","20,838","19,149","20,965","20,889","25,326","21,825","21,201","24,925","30,930","28,006","31,967","34,047","39,304","34,703","35,707","34,697","40,258","36,036","38,804","41,020","47,964"
Inventory,337,293,279,0,0,0,0,491,0,0,559,268,280,398,765,749,636,698,"1,212","1,107","1,053",964,"1,401",999,889,815,835,728,888,907,"1,278","1,170","1,369","1,980","3,156",0,"2,315","2,231","2,957",0
Other Current Assets,"7,721","7,987","8,617","4,003","5,468","4,365","5,187","4,551","4,523","3,592","2,952","4,670","3,162","3,272","3,142","3,352","3,463","4,162","4,177","4,591","4,517","4,452","4,891","6,578","7,075","5,973","6,013","5,944","8,139","6,960","6,782","8,020","7,811","9,687","11,997","10,775","8,532","9,421","12,398","12,650"
Total Current Assets,"75,314","77,905","80,115","78,656","80,313","84,164","88,103","90,114","90,955","94,238","98,546","105,408","108,794","112,386","119,345","124,308","123,761","124,157","129,702","135,676","138,207","147,437","148,358","152,578","147,018","149,069","164,369","174,296","172,137","175,697","184,110","188,143","177,853","172,371","166,109","164,795","161,985","168,788","176,310","171,530"
"Property, Plant & Equipment","17,877","19,486","20,981","23,883","25,448","27,008","28,338","29,016","30,162","31,413","32,753","34,234","35,936","37,676","40,120","42,383","48,845","51,672","55,300","59,719","69,365","74,604","79,593","84,587","87,966","90,315","93,582","96,960","100,204","104,675","107,549","110,558","117,210","119,621","122,040","127,049","132,007","135,677","139,904","148,436"
Long-Term Investments,"2,123","2,415","2,470","3,079","4,090","4,409","4,813","5,183","5,577","5,820","5,705","5,878","6,131","6,642","7,269","7,813","10,976","11,487","12,673","13,859","14,474","12,112","12,488","13,078","12,367","12,961","14,656","20,703","25,294","25,532","26,101","29,549","30,544","30,665","30,419","30,492","31,213","31,224","30,907","31,008"
Goodwill and Intangibles,"19,494","19,820","20,205","20,206","19,953","19,823","19,698","19,716","19,523","19,293","19,395","19,775","19,684","19,537","19,614","19,439","20,671","20,557","20,343","20,108","20,006","19,902","19,816","22,603","22,574","22,521","22,390","22,620","24,164","24,032","24,172","24,373","24,323","25,326","31,026","28,960","30,962","31,176","30,979","29,198"
Other Long-Term Assets,"1,718","1,982","2,010","3,363","3,596","3,403","3,329","3,432","3,530","3,528","3,549","2,202","2,211","2,380","3,188","3,352","2,682","3,737","3,520","3,430","3,297","3,046","2,789","3,063","3,478","3,626","4,246","5,037","5,296","5,451","5,471","6,645","7,166","7,202","8,661","13,968","13,324","16,179","18,611","22,220"
