,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"12,864","16,337","13,027","14,240","13,980","14,082","15,482","14,510","20,110","24,546","20,038"
Market Cap Growth,30.19%,27.00%,-20.26%,9.32%,-1.83%,0.73%,9.94%,-6.28%,38.60%,22.06%,-
Enterprise Value,"13,432","16,965","13,440","14,872","16,910","16,892","19,387","16,986","22,593","28,057","23,823"
PE Ratio,18.78,22.97,18.46,20.72,22.67,17.38,24.93,88.80,22.37,20.75,15.32
PS Ratio,0.84,1.07,0.85,0.87,0.75,0.80,0.94,0.77,0.91,1.06,0.87
PB Ratio,3.84,4.95,4.14,4.46,4.10,4.08,4.21,4.53,5.76,6.48,4.55
P/FCF Ratio,18.85,15.56,16.59,21.63,15.32,22.93,8.30,14.62,17.84,26.60,23.32
P/OCF Ratio,16.28,14.09,13.77,17.47,12.21,15.79,7.67,11.53,13.71,17.10,15.36
EV/Sales Ratio,0.88,1.11,0.88,0.91,0.90,0.96,1.17,0.90,1.02,1.22,1.03
EV/EBITDA Ratio,10.61,13.41,11.00,12.64,11.92,12.47,14.88,10.93,11.33,13.01,11.04
EV/EBIT Ratio,12.02,15.10,12.51,14.74,14.36,15.39,18.83,13.45,13.72,15.53,13.18
EV/FCF Ratio,19.68,16.16,17.11,22.59,18.53,27.50,10.39,17.12,20.04,30.40,27.72
Debt / Equity Ratio,0.23,0.23,0.20,0.27,0.95,0.91,1.14,1.08,0.92,1.10,1.01
Debt / EBITDA Ratio,0.60,0.60,0.51,0.74,2.29,2.32,3.21,2.23,1.60,1.93,2.26
Debt / FCF Ratio,1.12,0.73,0.80,1.33,3.56,5.12,2.24,3.49,2.84,4.51,5.69
Quick Ratio,0.58,0.56,0.52,0.51,0.50,0.48,0.42,0.43,0.38,0.37,0.39
Current Ratio,1.64,1.56,1.41,1.40,1.34,1.28,1.24,1.21,1.18,1.15,1.16
Asset Turnover,1.83,1.86,1.88,1.73,1.31,1.48,1.20,1.23,1.31,1.34,1.37
Interest Coverage,39.24,44.81,55.24,54.79,26.36,11.90,12.01,11.31,20.31,22.28,29.39
Return on Equity (ROE),21.24%,21.38%,21.84%,19.31%,23.75%,18.00%,4.45%,28.05%,33.88%,34.73%,29.91%
Return on Assets (ROA),9.26%,8.56%,8.44%,6.96%,6.53%,4.90%,1.12%,6.69%,8.24%,7.98%,7.33%
Return on Capital (ROIC),17.39%,17.36%,18.14%,15.31%,12.56%,12.52%,5.65%,14.17%,18.51%,16.59%,14.45%
Earnings Yield,5.32%,4.35%,5.42%,4.83%,4.41%,5.76%,4.01%,1.13%,4.47%,4.82%,6.57%
FCF Yield,7.25%,4.18%,8.06%,5.52%,4.71%,6.48%,3.97%,12.86%,4.93%,4.59%,4.29%
Dividend Yield,2.54%,2.13%,2.83%,2.72%,2.83%,2.95%,2.83%,3.12%,2.32%,2.02%,2.80%
Payout Ratio,47.63%,48.82%,52.19%,56.29%,64.12%,51.33%,70.67%,277.41%,51.81%,41.93%,42.87%
Buyback Yield / Dilution,0.86%,1.22%,1.77%,1.40%,0.31%,0.56%,0.89%,0.62%,1.32%,0.90%,1.14%
Total Shareholder Return,3.40%,3.34%,4.59%,4.12%,3.14%,3.51%,3.72%,3.74%,3.63%,2.93%,3.94%
