,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,196.89,103.47,152.86,135.54,137.73,166.5,223.84,199.29,211.63,205.14,233.63,225.18,242.88,177.92,203.15,210.08,314.9,325.97,355.14,359.11,333.55,356.93,562.55,451.28,276.99,354.47,983.76,900.12,990.17,"1,118",987.39,919.1,714.7,610.78,519.13,629.2,653.46,651.18,530.11,654.64
Cash & Cash Equivalents,196.89,103.47,152.86,135.54,137.73,166.5,223.84,199.29,211.63,205.14,233.63,225.18,242.88,177.92,203.15,210.08,314.9,325.97,355.14,359.11,333.55,356.93,562.55,451.28,276.99,354.47,983.76,900.12,990.17,"1,118",987.39,919.1,714.7,610.78,519.13,629.2,653.46,651.18,530.11,654.64
Cash Growth,-51.15%,-87.71%,-22.31%,-57.76%,-30.05%,60.91%,46.43%,47.04%,53.66%,23.21%,4.37%,12.99%,14.77%,-13.27%,-13.05%,-6.70%,29.65%,83.22%,74.82%,70.94%,5.92%,9.50%,58.40%,25.67%,-16.96%,-0.69%,74.87%,99.46%,257.47%,215.40%,0.37%,2.11%,-27.82%,-45.37%,-47.42%,-31.54%,-8.57%,6.62%,2.11%,4.04%
Receivables,"1,665","1,828","1,909","1,976","1,872","1,978","2,008","1,963","1,822","1,982","2,031","2,033","1,939","2,085","2,170","2,156","2,422","2,641","2,670","2,656","2,494","2,742","2,837","2,740","2,440","2,705","1,823","1,952","1,557","1,810","1,900","1,888","1,798","2,138","2,235","2,215","2,189","2,421","2,554","2,395"
Inventory,"2,946","2,974","2,987","3,014","3,044","3,007","3,025","2,968","3,000","3,075","3,063","3,146","3,210","3,287","3,330","3,354","3,771","3,773","3,485","3,537","3,609","3,685","3,751","3,718","3,444","3,699","3,352","3,419","3,506","3,601","3,679","3,748","3,890","4,211","4,296","4,301","4,442","4,580","4,513","4,483"
Other Current Assets,413.76,440.34,463.09,459.68,538.58,482.68,506.07,493.31,521.3,508.84,538.75,504.6,556.67,644.23,598.11,596.4,805.34,841.57,"1,014",999,"1,139","1,103","1,034","1,149","1,777","1,234","1,132","1,104","1,060","1,150","1,155","1,226","1,354","1,467","1,475","1,678","1,533","1,533","1,487","1,498"
Total Current Assets,"5,221","5,346","5,512","5,585","5,593","5,635","5,764","5,623","5,555","5,770","5,866","5,908","5,948","6,194","6,301","6,317","7,313","7,582","7,523","7,550","7,576","7,886","8,185","8,059","7,939","7,993","7,291","7,375","7,114","7,678","7,722","7,782","7,756","8,427","8,526","8,823","8,817","9,184","9,084","9,030"
"Property, Plant & Equipment",670.06,664.69,661.3,662.25,670.1,646.12,640.53,628.46,648.22,648.2,685.39,688.85,728.12,737.21,740.78,760.21,936.7,931.29,918.58,937.74,"1,027","1,998","2,052","2,167","2,169","2,230","2,131","2,166","2,201","2,209","2,235","2,148","2,288","2,365","2,304","2,315","2,431","2,495","2,584","2,711"
Goodwill and Intangibles,"1,289","1,410","1,433","1,444","1,387","1,346","1,383","1,328","1,362","1,413","1,478","1,550","1,575","1,608","1,678","1,714","3,554","3,618","3,499","3,518","3,540","3,642","3,847","3,802","3,786","3,676","3,195","3,279","3,416","3,341","3,384","3,301","3,322","4,470","4,391","4,209","4,401","4,390","4,405","4,392"
Other Long-Term Assets,499.39,561.44,645.02,649.47,597.02,611.2,626.81,622.75,579.44,619.07,604.28,601.6,608.18,627.09,692.2,703.84,608.41,628.07,625.6,650.41,539.7,543.8,555.9,485.42,752.04,552.96,646.98,654.91,709.8,715.24,744.94,743.95,985.88,"1,011","1,016","1,029",847.33,838.66,868.62,888.83
Total Long-Term Assets,"2,459","2,636","2,739","2,756","2,654","2,604","2,650","2,580","2,589","2,680","2,768","2,841","2,911","2,973","3,111","3,178","5,099","5,178","5,043","5,107","5,107","6,184","6,455","6,455","6,707","6,458","5,973","6,100","6,326","6,265","6,364","6,193","6,596","7,846","7,712","7,554","7,679","7,723","7,858","7,992"
Total Assets,"7,680","7,982","8,252","8,341","8,246","8,238","8,414","8,203","8,145","8,451","8,634","8,749","8,859","9,167","9,412","9,494","12,412","12,759","12,567","12,657","12,683","14,071","14,639","14,513","14,646","14,451","13,264","13,475","13,440","13,944","14,086","13,975","14,352","16,273","16,238","16,377","16,495","16,908","16,942","17,022"
