,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,55.12,51.63,75.37,74.78,62.57,65.33,86.65,78.77,59.91,37.19,55.51,69.42,48.81,66.91,110.74,241.96,91.4,109.07,176.37,75.22,112.34,120.46,95.04,102.77,143.58,37.33,220.97,182.64,196.68,263.59,296.74,208.45,244.73,-673,290.45,249.31,-11.04,274.15,361.83,361.3
Depreciation & Amortization,29.81,34.87,34.57,34.61,33.64,34.69,38.76,38.75,39.31,71.21,108.56,139.02,109.03,107.28,113.65,121.19,121.74,123.65,124.06,153.37,157.61,154.14,194.89,424.31,423.74,424.52,432.62,432.15,452.64,449.51,444.4,452.61,450.23,449.06,425.69,416.42,423.06,478.73,476.07,464.14
Share-Based Compensation,5.3,12.52,4.07,5.08,5.68,6.23,6.47,7.01,7.05,10.34,8.69,10.02,8.82,12.34,9.62,8.32,14.9,15.21,14.83,12.89,11.42,16.5,27.88,33.84,27.82,34.98,42.28,43.71,37.17,43.33,65.61,34.68,38.4,47.02,37.05,40.8,89.57,47.14,36.62,35.67
Other Operating Activities,-187.51,-219.32,-177.47,175.94,18.26,-23.46,381.52,-183.85,101.94,-403.86,-54.62,179.24,127.3,-212.43,-141.95,-219.21,56.5,-25.71,-161.01,203.61,-51.64,-273.47,784.22,-519.04,-158.57,26.88,-111.4,110.89,-87.08,-246.19,111.23,57.47,-103.36,745.06,-416.82,3.01,97.94,-235.06,-447.71,-203.66
Operating Cash Flow,-97.28,-120.3,-63.47,290.41,120.15,82.79,513.39,-59.32,208.21,-285.13,118.14,397.69,293.97,-25.9,92.06,152.27,284.54,222.22,154.25,445.08,229.73,17.62,"1,102",41.89,436.57,523.72,584.47,769.39,599.41,510.24,917.97,753.22,630,568.13,336.38,709.53,599.53,564.96,426.81,657.45
Operating Cash Flow Growth,-,-,-,-33.22%,-,-,-,-,73.30%,-,-76.99%,-,41.18%,-,-22.07%,-61.71%,-3.21%,-,67.55%,192.30%,-19.26%,-92.07%,614.45%,-90.59%,90.04%,2871.60%,-46.96%,1736.74%,37.30%,-2.57%,57.06%,-2.10%,5.10%,11.35%,-63.36%,-5.80%,-4.84%,-0.56%,26.88%,-7.34%
Capital Expenditures,-20.09,-20.14,-18.16,-15.13,-23.46,-25.21,-16.86,-19.39,-24.37,-34.04,-39.59,-49.32,-46.22,-6.24,-46.63,-82.81,-43.78,-58.89,-53.39,-57.23,-55.12,-78.19,-67.71,-106.85,-104.8,-103.58,-121.03,-106.82,-86.16,-133.42,-131.17,-142.47,-156.1,-167.93,-139.33,-152.3,-162.2,-168.81,-169.79,-157.35
Acquisitions,-0.2,-424.01,-4.77,-218.88,-9.21,-123.11,-241.53,-0.4,0,"-1,792.42",0.68,-34.55,0,0,-563.01,0.32,0,0,-769.08,-490.61,-74.83,-3.42,-256.14,-310.24,-67.2,-6.9,-3.09,35.75,-11.07,-932.03,-3.27,-865.06,-4.73,-34.96,-15.04,-40.7,"-4,046.79",424.07,1.65,-125.47
Change in Investments,1.09,-5.52,10.75,0,0.07,-10.82,0,0,0,0,0.07,37.65,0,0,0,37.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.05,2,0,-50,50,42.14
Other Investing Activities,-,6.27,-,-,-,-3,-,-,-0.07,-1.25,-1.04,-0.58,-0.42,-33.82,-13.81,19.06,-1.59,0.15,-0.95,-0.92,13.67,-0.49,15.93,6.29,2.35,9.84,-0.61,27.75,0.29,0.45,0.51,9.57,0.01,0.01,0.09,2.4,2.19,-0,0,-0.75
Investing Cash Flow,-19.2,-443.4,-12.18,-234.01,-32.6,-162.13,-258.39,-19.79,-24.44,"-1,827.72",-39.88,-46.8,-46.64,-40.06,-623.45,-25.87,-45.36,-58.74,-823.42,-548.76,-116.28,-82.09,-307.91,-410.8,-169.65,-100.64,-124.73,-43.32,-96.94,"-1,065.01",-133.93,-997.95,-160.82,-202.87,-123.24,-188.6,"-4,206.79",205.26,-118.14,-241.43
Dividends Paid,-1.44,-1.43,-1.37,-1.32,-1.34,-1.31,-1.31,-1.3,-1.29,-1.54,-1.54,-1.53,-1.52,-2.03,-1.59,-1.59,-1.59,-1.58,-1.58,-1.58,-1.57,-1.57,-1.59,-58.77,-58.28,-58.31,-58.43,-58.19,-57.57,-57.3,-73.33,-71.52,-70.24,-69.07,-68.77,-65.87,-65.75,-64.89,-64.98,-64.82
Share Issuance / Repurchase,-6.43,-186.76,-134.8,-43.53,-50.82,-136.38,-39.94,-37.07,-3.25,-52.35,-59.57,-132.89,0.98,-0.55,-47.34,-9.54,1.56,-182.47,-32.24,-12.24,-157.66,-74.56,-28.81,-88.42,-437.13,19.38,5.68,-214.18,-824.69,-268.61,-786.48,-694.96,-668.01,-585.34,-890.97,-771.46,-225.01,-207.66,28.25,5.27
Debt Issued / Paid,69.1,317.35,238.35,59.56,-38.47,287.38,-46.48,321.01,-152.17,"2,374",12.37,-83.23,-159.42,-119.11,673.01,30.32,-571.92,142.23,604.24,349.79,115.59,-66.55,381.46,8.64,417.93,-393.67,-24.84,-81.7,513.24,603.17,595.07,647.64,367.45,312.65,901.18,270.51,"3,908",-625.99,-199.09,-270.01
Other Financing Activities,-17.78,-1.23,-8.1,-3.79,-3.62,-24.25,-2.4,-6.79,-4.74,5.01,-5.48,-6.89,-0.01,-9.29,-,-,-,-,-5.69,-,-5.57,-20.67,-28.63,-,-,-,-6.96,-597.44,-,-,46.32,23.67,-5.53,-24.56,-3.37,-5.3,-6.22,-11.04,-7.06,12.3
Financing Cash Flow,43.45,127.93,94.09,10.92,-94.25,125.45,-90.12,275.85,-161.45,"2,325",-54.22,-224.53,-159.97,-130.98,624.07,19.18,-571.96,-41.81,564.73,335.97,-49.21,-163.33,322.42,-138.55,-77.48,-432.61,-84.55,-951.51,-369.02,277.26,-218.43,-95.18,-376.33,-366.32,-61.93,-572.13,"3,611",-909.57,-242.88,-317.26
Exchange Rate Effect,-10.24,4.09,-4.42,-18.73,-27.62,-5.52,-12.32,-11.58,17.85,6.67,-1.56,-30.78,11.71,15.68,12.79,4.23,2.75,-27.96,-4.49,-12.01,2.52,-2.1,-36.65,58.12,-67.66,35.1,20,94.39,-21.14,15.16,-36.72,-5.68,-36.15,-78.82,-93.56,109.31,18.58,15.96,-70.27,48.25
Net Cash Flow,-83.27,-431.69,14.01,48.59,-34.32,40.59,152.57,185.15,40.17,219.23,22.48,95.58,99.07,-181.27,105.47,149.81,-330.03,93.71,-108.93,220.27,66.76,-229.91,"1,080",-449.34,121.79,25.56,395.2,-131.05,112.3,-262.35,528.89,-345.59,56.7,-79.88,57.65,58.11,22.15,-123.4,-4.49,147.01
Free Cash Flow,-117.37,-140.44,-81.63,275.28,96.69,57.59,496.53,-78.71,183.85,-319.17,78.55,348.37,247.75,-32.15,45.43,69.45,240.77,163.32,100.86,387.85,174.61,-60.57,"1,034",-64.96,331.77,420.13,463.44,662.57,513.25,376.82,786.8,610.74,473.9,400.21,197.05,557.24,437.33,396.15,257.02,500.1
Free Cash Flow Growth,-,-,-,-33.50%,-,-,-,-,90.13%,-,-84.18%,-,34.76%,-,-42.16%,-80.06%,-2.82%,-,122.00%,458.44%,-27.48%,-,925.52%,-,90.01%,-,-55.19%,-,54.70%,-10.31%,69.77%,-7.82%,-7.67%,6.21%,-74.96%,-8.76%,-7.72%,-1.01%,30.43%,-10.25%
