,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"5,058","4,924","4,958","5,841","6,160","6,937","7,254","9,202","8,446","10,042","11,793","10,668","12,282","13,772","14,491","15,952","17,755","17,788","20,153","16,316","21,516","25,170","24,912","54,868","43,215","50,734","53,140","64,483","59,515","55,365","46,289","39,223","38,585","31,150","29,947","26,856","27,694","25,808","30,001","33,069","34,942"
Market Cap Growth,33.28%,34.67%,37.68%,27.10%,21.78%,40.89%,46.29%,57.54%,37.12%,44.76%,62.58%,15.93%,45.41%,37.15%,22.88%,49.53%,44.56%,29.15%,39.07%,2.28%,21.19%,41.50%,23.61%,236.27%,100.85%,101.57%,113.31%,17.52%,37.72%,9.13%,-12.89%,-39.17%,-35.17%,-43.74%,-35.30%,-31.53%,-28.22%,-17.15%,0.18%,23.13%,-
Enterprise Value,"5,561","6,176","6,435","7,328","7,605","8,619","8,739","10,815","8,446","13,891","11,793","14,336","15,697","17,272","18,564","19,911","21,481","21,565","24,648","20,936","26,184","30,010","32,353","62,779","51,497","58,622","60,627","72,190","67,584","64,322","55,278","49,221","48,881","41,849","41,842","39,064","43,894","41,468","45,420","48,275","50,147"
PE Ratio,21.57,20.07,19.37,22.74,23.30,24.95,25.07,31.37,-,36.97,-,43.18,52.05,57.23,48.98,34.06,34.74,32.16,32.57,36.09,45.49,51.96,61.81,127.42,93.57,133.96,105.30,110.32,93.34,64.09,49.26,40.63,38.07,404.94,423.94,240.88,-191.95,32.14,34.32,33.53,35.59
PS Ratio,2.02,1.93,1.89,2.17,2.25,2.50,2.57,3.24,-,3.47,-,2.91,3.10,3.37,3.47,4.01,4.61,4.78,5.69,4.85,6.23,7.08,6.55,11.17,7.29,7.61,7.10,8.69,7.93,6.94,5.60,4.60,4.44,3.53,3.36,2.99,3.04,2.78,3.17,3.43,3.62
PB Ratio,4.48,4.94,5.26,6.53,7.47,9.15,9.22,11.43,-,3.66,-,4.06,4.50,4.83,4.10,4.20,4.49,4.64,5.07,4.09,5.45,6.31,0.90,1.97,1.58,1.85,1.92,2.36,2.23,2.07,1.77,1.53,1.53,1.31,1.32,1.20,1.25,1.16,1.34,1.44,1.52
P/FCF Ratio,19.06,43.69,66.55,-91.02,41.10,19.94,7.83,16.09,12.81,35.55,-87.04,36.59,34.55,21.44,23.78,48.27,54.88,34.27,35.09,18.28,26.03,41.76,16.22,50.64,34.83,29.47,46.19,34.34,28.90,27.46,19.79,17.15,17.16,13.71,17.81,16.49,17.40,16.25,18.21,20.79,21.97
P/OCF Ratio,14.44,25.37,32.24,624.65,27.16,16.14,7.21,14.01,11.34,26.63,-651.42,24.31,23.41,17.57,19.12,31.13,35.30,23.68,24.78,14.75,20.47,29.73,13.88,39.44,27.04,24.11,33.49,27.86,24.03,22.47,16.55,14.10,13.72,10.86,13.09,11.97,12.51,11.68,13.04,14.71,15.54
Debt / Equity Ratio,1.34,1.84,2.20,2.38,2.49,3.08,2.91,3.23,-,1.78,-,1.84,1.71,1.61,1.49,1.40,1.20,1.27,1.38,1.46,1.50,1.48,0.34,0.34,0.37,0.35,0.35,0.35,0.38,0.40,0.43,0.47,0.49,0.53,0.61,0.64,0.82,0.79,0.77,0.75,0.75
Quick Ratio,1.73,0.66,0.51,0.50,0.63,0.28,0.43,0.53,-,0.55,-,0.50,0.73,0.65,0.47,0.43,0.33,0.42,0.31,0.48,0.37,0.32,0.70,0.72,0.86,0.62,0.69,0.60,0.71,0.61,0.65,0.66,0.62,0.49,0.53,0.43,0.50,0.60,0.49,0.39,0.39
Current Ratio,2.23,1.36,1.27,1.21,1.28,1.09,1.15,1.17,-,1.17,-,1.09,1.15,1.20,1.14,1.13,1.06,1.09,1.03,1.03,1.03,1.01,1.17,1.22,1.34,1.03,1.13,1.01,1.19,1.12,1.15,1.06,1.06,0.87,0.96,0.92,0.92,1.08,1.09,0.99,0.99
Interest Coverage,5.79,8.93,10.58,11.09,7.37,10.38,10.01,8.51,7.06,1.88,2.52,2.44,2.48,2.65,4.10,3.24,3.55,3.87,4.67,2.90,3.31,3.33,1.82,2.49,2.72,1.46,4.18,3.36,3.61,5.03,5.22,3.80,4.18,-5.25,3.25,3.44,0.65,3.33,3.39,3.18,2.81
Return on Capital (ROIC),Upgrade,10.14%,9.96%,9.90%,10.14%,10.95%,10.64%,11.06%,10.07%,-,4.52%,-,4.55%,4.75%,5.12%,4.95%,7.79%,8.61%,9.06%,9.19%,6.36%,6.72%,6.97%,1.79%,1.90%,2.05%,1.88%,1.95%,2.16%,2.24%,2.71%,2.98%,3.08%,3.25%,1.08%,1.28%,1.01%,0.89%,3.17%,3.33%,3.47%
Dividend Yield,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.30%,0.40%,0.40%,0.40%,0.40%,0.40%,0.50%,0.70%,0.70%,0.90%,0.90%,1.00%,1.00%,1.00%,0.90%,0.80%,0.75%
Payout Ratio,2.60%,2.70%,1.80%,1.80%,2.10%,2.00%,1.50%,1.60%,2.20%,4.00%,2.80%,2.20%,3.10%,3.00%,1.40%,0.60%,1.80%,1.40%,0.90%,2.10%,1.40%,1.30%,1.90%,130.00%,40.60%,162.50%,26.40%,32.00%,29.50%,21.90%,24.50%,34.20%,28.70%,-10.30%,23.60%,27.80%,-625.00%,23.80%,18.00%,18.10%,26.53%
Buyback Yield / Dilution,8.64%,5.79%,9.78%,7.21%,6.76%,7.46%,4.50%,3.98%,3.56%,2.75%,-17.96%,-18.33%,-17.69%,-17.97%,0.74%,-3.54%,-4.58%,-4.63%,-3.74%,0.58%,1.01%,1.48%,0.95%,-89.96%,-90.11%,-90.29%,-90.99%,0.40%,1.46%,1.30%,1.84%,3.07%,4.50%,4.63%,5.65%,6.81%,6.67%,6.96%,6.19%,3.70%,3.70%
Total Shareholder Return,8.74%,5.89%,9.88%,7.31%,6.86%,7.56%,4.60%,4.08%,3.66%,2.85%,-17.86%,-18.23%,-17.69%,-17.97%,0.74%,-3.54%,-4.58%,-4.63%,-3.74%,0.58%,1.01%,1.48%,0.95%,-89.86%,-89.81%,-89.89%,-90.59%,0.80%,1.86%,1.70%,2.34%,3.77%,5.20%,5.53%,6.55%,7.81%,7.67%,7.96%,7.09%,4.50%,4.45%
