,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-03-26,2016-06-25,2016-09-24,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-03-26,2022-06-25,2022-09-24,2022-12-31,2023-04-01,2023-07-01,2023-09-30
Net Income,163.59,118.82,181.98,-146.83,210.25,66.79,137.75,119.3,132.38,88.09,161.06,125.05,143.52,238.4,176.98,151.07,142.55,129.37,190.34,184.21,190.15,140.17,223.66,227.87,360.79,161.18,184.18,313.42,333.55,220.03,317,259.04,286.14,211.59,257.87,210.85,293.27,202.33,287.94,257.24
Depreciation & Amortization,18.34,18.41,19.05,18.11,21.45,18.86,19.27,20.25,19.98,20.19,21.32,21.03,23.8,21.73,21.1,20.87,22.55,23.15,25.07,23.26,24.72,24.01,26.72,26.88,28.56,28.2,29.33,32.58,36.61,36.89,37.79,39.08,41.06,41.21,41.64,39.5,41.5,43.42,44.19,44.63
Share-Based Compensation,6.98,6.33,7.13,5.53,5.31,7.77,6.97,4.85,6.69,8.17,11.34,9.7,12.04,8.21,12.18,12.06,12.29,13.44,14.31,14.35,14.3,15.13,15.83,16.59,15.85,15.56,15.93,22.03,27.37,22.7,22.6,23.36,23.87,24.71,15.05,18.12,18.93,20.73,22.67,22.82
Other Operating Activities,-39.09,-72.38,-43.98,265.54,-91.98,-11.77,-261.35,-6.57,-0.72,12.93,-43.73,57.2,33.96,-147.94,-66.83,14.75,20.87,48.23,-5.85,41.9,-11.43,-14.73,-155.58,-82.39,-170.82,20.93,-30.2,-93.69,38.3,88.75,-147.71,-76.05,-182.1,-91.88,-234.72,-114.34,14.96,12.74,-81.09,32.72
Operating Cash Flow,149.81,71.17,164.18,142.34,145.02,81.66,-97.36,137.84,158.34,129.39,149.99,212.99,213.32,120.4,143.43,198.75,198.27,214.19,223.87,263.72,217.74,164.58,110.64,188.95,234.38,225.87,199.24,274.34,435.82,368.36,229.68,245.42,168.96,185.63,79.84,154.12,368.67,279.21,273.7,357.41
Operating Cash Flow Growth,-14.25%,19.89%,-19.64%,-34.29%,-3.20%,14.73%,-,-3.17%,9.18%,58.46%,-,54.53%,34.72%,-6.95%,-4.37%,-6.69%,-7.06%,77.91%,56.08%,32.69%,9.82%,-23.16%,-50.58%,-28.35%,7.64%,37.24%,80.08%,45.19%,85.95%,63.08%,15.28%,-10.54%,-61.23%,-49.61%,-65.24%,-37.20%,118.19%,50.41%,242.80%,131.91%
Capital Expenditures,-13.94,-14.93,-21.16,-17.99,-18.51,-17.48,-21.59,-13.56,-20.04,-13.91,-14.71,-13.53,-48.14,-25.53,-14.16,-45.26,-54.39,-26.22,-65.58,-29.76,-32.61,-30.05,-30.18,-30.88,-26.4,-39.45,-56.9,-38.75,-48.32,-36.89,-109.64,-41.4,-119.68,-58.58,-74.54,-50.11,-58.65,-46.67,-52.52,-45.53
Acquisitions,0.01,0,0,-18.87,0,-12.63,0,0,-26.06,-62.14,0,0,-15.81,0,-7.5,-4.9,-78.07,-9.42,0,-19.75,0,0,-276.01,0.7,-24.98,-6.06,-1.84,-140.76,0,-15.89,0,0,-4.28,-10.83,0,-2.63,0,0,0,-150.85
Change in Investments,98.44,19.6,173.72,5.54,28.72,54.01,6.69,10.14,-67.62,86.39,-77.3,23.96,19.2,13.48,21.36,-17.51,30.33,-75.37,-6.87,-2.88,-34.47,-2.16,-7.15,9.77,-31.04,-32.41,252.97,-114.49,-32.45,-50.56,16.14,-72.05,-39.17,-65.92,-186.39,131.27,233.17,39.11,-9.2,-0.85
Other Investing Activities,0.46,-1.11,-0.45,-7.91,4.69,-0.72,-1.19,-0.86,-1.07,-1.72,-1.11,-1.88,-1,-1.22,-5.11,-2.73,-3.16,-1.62,-0.83,-0.53,-1.62,-0.41,-0.44,-1.01,-0.52,-0.95,-0.42,-0.27,-0.42,-0.76,-0.41,-0.24,-0.53,-0.55,-0.34,-0.52,-0.5,-0.33,-0.52,-0.33
