,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,"2,248","1,949","1,953","2,143","2,032","2,748",916,"1,330",574,"1,200","1,634","2,100","2,153","2,162","1,631","2,035","-2,143","2,737","2,348","2,453","2,322","2,182","2,198","1,793","1,724","1,123",197,"3,233","4,362","6,711","5,347","5,284","3,809","3,831","2,786","2,962","1,185","3,087","1,071","1,882"
Depreciation & Amortization,474,390,294,301,352,219,265,222,285,239,245,247,267,257,265,280,350,299,335,317,377,368,399,473,464,437,499,468,498,498,520,509,488,492,570,666,727,970,"1,594","1,512"
Share-Based Compensation,194,"1,611",164,156,154,"1,809",163,135,165,"1,665",149,129,168,"1,272",180,158,159,"1,329",176,166,160,"1,503",192,157,166,"1,395",185,157,183,"1,759",202,180,207,"3,128",383,300,272,"1,541",239,228
Other Operating Activities,-720,"-8,255","-1,966","-11,597","1,987","1,864","-9,316",-513,"8,100","-5,581","7,868","-7,047",747,"-7,173","-12,984",147,"-7,686","-5,424","5,522","-8,321","11,169","-48,490","5,619","7,267","47,284","-56,076","-12,704","30,944","6,020","-14,276","14,259","-45,327","25,644","-27,093","41,514","11,975","-17,322","3,659","28,852","-29,332"
Operating Cash Flow,"2,280","-4,221",529,"-8,899","4,659","6,736","-7,840","1,270","9,315","-2,542","10,084","-4,577","3,529","-3,389","-10,708","2,713","-9,105",-964,"8,598","-5,314","14,244","-44,368","8,631","9,774","49,831","-53,031","-11,647","34,936","11,207","-5,183","20,467","-39,260","30,274","-19,534","45,394","16,010","-14,997","9,404","31,901","-25,534"
Operating Cash Flow Growth,168.24%,-,-95.33%,-,104.34%,-,-,-,99.94%,-,-,-,-62.11%,-,-,-,-,-,-,-,-,-,0.38%,-,249.84%,-,-,257.44%,-77.51%,-,-,-,170.13%,-,121.79%,-,-,-,-29.72%,-
Capital Expenditures,-203,-159,-184,-148,-157,-289,-360,-436,-520,-363,-597,-771,-753,-761,-557,-455,-837,-556,"-1,249","-1,656",-810,138,-821,"-1,153",25,"-2,446",-640,-548,295,"-1,120",-810,"1,493",-297,-525,-540,-657,680,-180,-421,-18
Acquisitions,"-1,008",-309,-140,-177,"-1,106",-477,"-1,106",-101,-124,-562,"16,444",-128,-832,-512,-574,-762,-535,-68,-81,3,-16,0,-61,-742,0,0,0,-226,-5,0,0,0,0,-13,"-1,817",-283,-2,0,-8,0
Change in Investments,"-1,702","-2,735","-3,286","-3,453","-3,055","-3,497","-5,687","-2,794","-3,183","-2,215",108,-614,-42,-274,"-4,028","-9,906","-7,176","-8,589","-2,260","-2,379","-1,159","-2,277","1,689","-17,689","-3,345","-29,890","4,547","3,770","-9,213","-1,367","-8,411","-6,312","-13,641","-16,483","-36,131","-13,219","-6,970","-1,798","-3,530","-8,015"
Investing Cash Flow,"-2,913","-3,203","-3,610","-3,778","-4,318","-4,263","-7,153","-3,331","-3,827","-3,140","15,955","-1,513","-1,627","-1,547","-5,159","-11,123","-8,548","-9,213","-3,590","-4,032","-1,985","-2,139",807,"-19,584","-3,320","-32,336","3,907","2,996","-8,923","-2,487","-9,221","-4,819","-13,938","-17,021","-38,488","-14,159","-6,292","-1,978","-3,959","-8,033"
