,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,375.56,331.71,314.74,226.64,243.43,819.79,258.15,240.26,279.91,316,285.98,274.15,238.8,275.07,284.58,326.88,302.02,312.46,516.85,538,392,315,286,360,"1,492","1,603",859,585,562,547,328,241,364,262,315,325,461,515,601,660
Cash & Cash Equivalents,375.56,331.71,314.74,226.64,243.43,819.79,258.15,240.26,279.91,316,285.98,274.15,238.8,275.07,284.58,326.88,302.02,312.46,516.85,538,392,315,286,360,"1,492","1,603",859,585,562,547,328,241,364,262,315,325,461,515,601,660
Cash Growth,-22.65%,-32.13%,-41.71%,-47.37%,-35.18%,147.14%,-17.98%,6.01%,14.99%,-61.45%,10.78%,14.10%,-14.69%,-12.95%,-0.49%,19.23%,26.47%,13.60%,81.62%,64.59%,29.79%,0.81%,-44.66%,-33.09%,280.61%,408.89%,200.35%,62.50%,-62.33%,-65.88%,-61.82%,-58.80%,-35.23%,-52.10%,-3.96%,34.85%,26.65%,96.56%,90.79%,103.08%
Receivables,"1,160","1,178","1,235","1,174","1,198","1,198","1,291","1,210","1,305","1,310","1,326","1,223","1,325","1,370","1,373","1,325","1,428","1,463","1,481","1,385","1,485","1,503","1,495","1,425","1,613","1,460","1,485","1,474","1,576","1,634","1,742","1,754","2,001","2,099","2,158","2,133","2,294","2,418","2,444","2,192"
Inventory,"1,266","1,317","1,307","1,366","1,328","1,303","1,368","1,414","1,421","1,419","1,381","1,406","1,388","1,398","1,392","1,429","1,435","1,464","1,473","1,541","1,523","1,535","1,520","1,655","1,615","1,695","1,780","1,733","1,675","1,707","1,786","1,870","1,929","1,990","2,071","2,253","2,252","2,223","2,196","2,266"
Other Current Assets,194.08,213.42,163.59,218.99,176.67,203.13,187.64,134.69,133.6,179.73,135.38,116.52,144.07,143.85,125.17,124.73,142.31,133.76,112.08,93,108,103,95,115,194,160,149,127,121,169,149,146,145,162,142,266,183,187,171,156
Total Current Assets,"2,996","3,040","3,020","2,985","2,947","3,524","3,105","2,999","3,139","3,225","3,129","3,020","3,096","3,186","3,175","3,206","3,307","3,373","3,583","3,557","3,508","3,456","3,396","3,555","4,914","4,918","4,273","3,919","3,934","4,057","4,005","4,011","4,439","4,513","4,686","4,977","5,190","5,343","5,412","5,274"
"Property, Plant & Equipment","1,211","1,249","1,259","1,324","1,307","1,325","1,373","1,431","1,442","1,419","1,437","1,421","1,410","1,392","1,396","1,392","1,370","1,360","1,349","1,352","1,358","1,380","1,384","1,400","1,357","1,365","1,394","1,395","1,441","1,436","1,429","1,817","1,795","1,775","1,769","1,828","1,854","1,913","1,956","2,087"
Long-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,-88,-88,0,-126,0,0,0,0,-131,-135,0
Goodwill,522.06,554.72,540.41,506.21,481.54,486.61,678.31,582.34,595.49,590.11,594.51,527.15,533.01,536.58,543.25,543.9,549.42,535.12,429.82,424,425,429,425,429,361,365,369,391,388,390,387,384,384,374,363,371,370,368,364,370
