,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"2,123","2,360","2,029","2,291","2,294","2,760","2,249","10,077","9,593","3,108","3,289","4,009","2,107","2,139","1,898","2,337","2,332","2,058","2,057","2,008","1,380","1,176","1,571","2,268","1,385","1,811","2,115","2,563","2,446","2,658","2,632","3,044","2,154","2,226","1,977","2,346","1,879","2,105","2,036","2,264"
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,"2,123","2,360","2,029","2,291","2,294","2,760","2,249","10,077","9,593","3,108","3,289","4,009","2,107","2,139","1,898","2,337","2,332","2,472","2,057","2,008","1,380","1,176","1,571","2,268","1,385","1,811","2,115","2,563","2,446","2,658","2,632","3,044","2,154","2,226","1,977","2,346","1,879","2,105","2,036","2,264"
Cash Growth,4.63%,67.14%,36.08%,-2.76%,8.05%,16.95%,10.84%,339.85%,318.18%,12.61%,46.24%,-60.22%,-78.04%,-31.18%,-42.29%,-41.71%,10.68%,15.57%,8.38%,-14.08%,-40.82%,-52.43%,-23.63%,12.95%,0.36%,54.00%,34.63%,13.01%,76.61%,46.77%,24.44%,18.77%,-11.94%,-16.25%,-24.89%,-22.93%,-12.77%,-5.44%,2.98%,-3.50%
Receivables,"6,314","6,781","7,555","7,564","6,419","5,633","5,791","5,317","4,983","4,725","4,360","3,922","4,008","4,385","4,852","5,036","5,255","5,403","5,526","5,234","5,622","5,700","5,290","4,577","4,850","3,345","3,145","3,071","3,250","3,459","3,525","3,666","4,026","4,390","4,614","4,627","5,195","4,946","5,124","4,860"
Inventory,"3,415","3,529","3,650","3,571","3,467","2,831","2,692","2,993","2,893","2,650","2,475","2,275","2,295","2,283","2,444","2,396","2,458","2,637","2,887","3,028","3,264","3,347","3,380","3,139","3,220","2,745","2,580","2,349","2,349","2,355","2,354","2,361","2,578","2,654","2,842","2,923","3,133","3,241","3,336","3,226"
Other Current Assets,"1,634","1,495","1,613","1,221","1,645","4,000","4,187","1,683","1,636","2,097","1,636","1,471","1,418","1,453",950,"1,008",990,924,966,881,922,997,979,"1,228","1,200","1,198","1,183","1,492","1,475","1,455",920,872,959,992,978,"1,056","1,038","1,151","1,104","1,193"
Total Current Assets,"13,486","14,165","14,847","14,647","13,825","15,224","14,919","20,070","19,105","12,580","11,760","11,677","9,828","10,260","10,144","10,777","11,035","11,436","11,436","11,151","11,188","11,220","11,220","11,212","10,655","9,099","9,023","9,475","9,520","9,927","9,431","9,943","9,717","10,262","10,411","10,952","11,245","11,443","11,600","11,543"
"Property, Plant & Equipment","11,463","11,677","12,050","12,475","12,299","11,153","11,018","12,117","9,252","8,961","8,741","8,532","8,415","8,374","8,432","8,521","8,596","8,825","8,821","8,873","9,872","9,756","9,706","8,241","7,120","5,906","5,794","5,111","4,991","4,949","5,219","5,260","5,183","5,059","5,130","5,261","5,339","5,537","5,765","5,988"
Goodwill and Intangibles,"2,193","2,267","2,312","2,330","2,332","1,983","2,124","2,385","2,383","2,383","2,383","2,414","2,419","2,407","2,685","2,693","2,707","2,824","2,800","2,825","2,824","2,825","2,832","2,812","2,812","2,801","2,804","2,804","2,804","2,804","2,841","2,843","2,850","2,828","2,828","2,829","2,829","2,840","2,850","2,850"
