,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2015-12-27,2016-03-27,2016-06-26,2016-09-25,2016-12-25,2017-04-02,2017-07-02,2017-10-01,2017-12-31,2018-04-01,2018-07-01,2018-09-30,2018-12-30,2019-03-31,2019-06-30,2019-09-29,2019-12-29,2020-03-29,2020-06-28,2020-09-27,2020-12-27,2021-03-28,2021-06-27,2021-09-26,2021-12-26,2022-03-27,2022-06-26,2022-09-25,2022-12-25,2023-04-02,2023-07-02,2023-10-01
Cash & Equivalents,682.45,792.25,586.15,452.18,893.17,"1,081",858.46,551.29,976.75,"1,096",924.1,830.37,"1,282","1,463","1,434","1,245","1,581","1,599","1,159",907.11,"1,182","1,197","1,151","1,060","4,580","1,238","1,038","1,132","1,450","1,430","1,228","1,181","1,019","1,058",628.2,551.6,513.1,386.2,216.6,185.5
Cash & Cash Equivalents,682.45,792.25,586.15,452.18,893.17,"1,081",858.46,551.29,976.75,"1,096",924.1,830.37,"1,282","1,463","1,434","1,245","1,581","1,599","1,159",907.11,"1,182","1,197","1,151","1,060","4,580","1,238","1,038","1,132","1,450","1,430","1,228","1,181","1,019","1,058",628.2,551.6,513.1,386.2,216.6,185.5
Cash Growth,-19.68%,-25.75%,-42.67%,-23.19%,30.88%,36.50%,46.46%,21.92%,9.36%,1.34%,7.65%,50.62%,31.28%,33.51%,55.12%,49.91%,23.31%,9.29%,-19.14%,-27.13%,-25.22%,-25.16%,-0.69%,16.90%,287.39%,3.45%,-9.82%,6.79%,-68.35%,15.55%,18.32%,4.31%,-29.70%,-26.04%,-48.85%,-53.30%,-49.66%,-63.49%,-65.52%,-66.37%
Receivables,"1,094",552.47,738.9,"1,314","1,095",563.3,709.44,"1,390","1,218",670.66,703.82,"1,453","1,320",676.95,846.55,"1,656","1,405",612.7,739.27,"1,391","1,188",638.42,805.29,"1,417","1,411",963.8,911.3,"1,438","1,392",810.4,865.9,"1,477","1,500",931.7,870.5,"1,189","1,132",685.2,877,"1,102"
Inventory,348.79,390.82,492.82,499.15,339.57,340.65,403.79,447.09,384.49,461.73,572.39,607.7,387.68,416.23,557.51,629.12,433.29,517.44,610.25,610.92,443.38,491.75,564.77,589.13,446.11,444.4,564.2,540,395.6,429.2,499.6,544.1,552.1,644.3,867.5,844.5,676.8,713.4,731.3,617.7
Other Current Assets,355.59,406.56,386.33,380.83,316.09,346.73,360.1,320.9,286.51,295.81,323.05,255.98,237.68,243.48,257.25,232.59,214,292.76,319.05,283.18,268.7,305.06,309,346.69,310.45,672.4,672.2,648.2,609.6,566,"1,023",528.5,656.4,621.4,719.2,675.6,676.8,754.4,684.1,"1,335"
Total Current Assets,"2,480","2,142","2,204","2,646","2,644","2,332","2,332","2,710","2,866","2,524","2,523","3,147","3,228","2,800","3,095","3,762","3,634","3,022","2,828","3,192","3,083","2,632","2,830","3,413","6,748","3,319","3,186","3,759","3,847","3,236","3,616","3,730","3,728","3,255","3,085","3,261","2,999","2,539","2,509","3,240"
"Property, Plant & Equipment",236.26,236.9,236.88,228.02,237.49,243.59,225.91,219.66,237.53,241.25,242.61,247.23,267.4,270.02,268.97,263.86,259.71,262.42,265.9,255.15,256.47,395.62,387.37,371.88,382.25,455.9,482.2,477.2,489,482.7,466.2,441.9,421.1,422.6,409.9,411.8,422.8,509.1,515.4,474.6
Goodwill and Intangibles,970.32,956.96,945.03,931.61,917.97,904.3,891.03,881.98,873.5,864.91,856.23,859.34,816.5,809.01,802.33,796.46,790.45,784.48,"1,314","1,305","1,180","1,168","1,156","1,143","1,141","5,189","5,225","5,191","5,223","5,204","4,669","4,630","4,592","4,556","4,640","4,550","4,285","4,271","3,964","3,894"
Other Long-Term Assets,715.23,693.47,752.48,702.98,719.14,767.15,768.96,755.96,744.09,734.45,722.19,701.59,779.86,767.11,746.63,722.09,605.9,660.34,706.76,743.11,744.29,739.7,665.16,626.22,584.97,"1,462","1,329","1,276","1,260","1,266","1,351","1,428","1,297","1,285","1,368","1,404","1,589","1,604","1,621",731.6
