,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,656.21,661.36,680.73,689.2,704.04,678.72,752.04,726.1,733.15,717.35,752.48,864,994.17,974,"1,045","1,045","1,044","1,018","1,064","1,091","1,102","1,074","1,127","1,106","1,073",710,856,"1,070","1,131","1,427","1,071","1,757","1,711","1,620","1,679","1,796","1,870","1,836","1,749","1,778"
Revenue Growth (YoY),-6.35%,1.56%,4.38%,3.30%,7.29%,2.62%,10.48%,5.35%,4.13%,5.69%,0.06%,18.99%,35.60%,35.78%,38.87%,20.95%,5.01%,4.52%,1.82%,4.40%,5.56%,5.50%,5.92%,1.37%,-2.63%,-33.89%,-24.05%,-3.25%,5.41%,100.99%,25.12%,64.21%,51.28%,13.52%,56.77%,2.22%,9.29%,13.33%,4.17%,-1.00%
Gross Profit,656.21,661.36,680.73,689.2,704.04,678.72,752.04,726.1,733.15,717.35,752.48,864,994.17,974,"1,045","1,045","1,044","1,018","1,064","1,091","1,102","1,074","1,127","1,106","1,073",710,856,"1,070","1,131","1,427","1,071","1,757","1,711","1,620","1,679","1,796","1,870","1,836","1,749","1,778"
"Selling, General & Admin",446.01,460.12,458.64,480.32,483.27,458.86,491.78,526.51,498.86,491.08,523.66,712.25,681.01,707,694,680,632,633,652,651,711,653,700,667,701,652,675,712,756,793,"1,072","1,289","1,221","1,053","1,018","1,053","1,077","1,086","1,050","1,090"
Operating Expenses,446.01,460.12,458.64,480.32,483.27,458.86,491.78,526.51,498.86,491.08,523.66,712.25,681.01,707,694,680,632,633,652,651,711,653,700,667,701,652,675,712,756,793,"1,072","1,289","1,221","1,053","1,018","1,053","1,077","1,086","1,050","1,090"
Operating Income,210.2,201.24,222.09,208.89,220.77,219.86,260.26,199.59,234.29,226.27,228.82,151.75,313.15,267,351,365,412,385,412,440,391,421,427,439,372,58,181,358,375,634,-1,468,490,567,661,743,793,750,699,688
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,3,4,4,6,5
Pretax Income,210.2,201.24,222.09,208.89,220.77,219.86,260.26,199.59,234.29,226.27,228.82,151.75,313.15,267,351,365,412,385,412,440,391,421,427,439,372,58,181,358,375,634,-1,467,489,565,659,740,789,746,693,683
Income Tax,52.03,52.1,57.48,53.87,57.15,54.01,64.06,47,55.94,54.96,54.28,24.75,74.01,59,79,90,-20,59,57,62,57,63,63,67,55,10,31,55,59,102,14,90,88,105,120,146,144,144,134,136
Net Income,158.17,149.14,164.62,155.02,163.61,165.85,196.21,152.59,178.35,171.31,174.54,127,239.14,208,272,275,432,326,355,378,334,358,364,372,317,48,150,303,316,532,-15,377,401,460,539,594,645,602,559,547
Preferred Dividends,7.97,7.96,7.96,7.96,7.96,7.97,7.97,7.97,8.1,8,19.87,18.54,18.59,19,19,19,19,12,21,18,19,19,18,18,19,18,19,28,35,31,43,44,24,28,28,29,28,29,40,37
Net Income Common,150.21,141.18,156.66,147.05,155.65,157.89,188.24,144.62,170.25,163.32,154.67,108.47,220.55,189,253,256,413,314,334,360,315,339,346,354,298,30,131,275,281,501,-58,333,377,432,511,565,617,573,519,510
Net Income Growth,0.42%,-2.84%,9.52%,-13.94%,3.62%,11.84%,20.16%,-1.65%,9.38%,3.44%,-17.83%,-25.00%,29.54%,15.73%,63.58%,136.02%,87.26%,66.14%,32.02%,40.63%,-23.73%,7.96%,3.59%,-1.67%,-5.40%,-91.15%,-62.14%,-22.32%,-5.70%,1570.00%,-,21.09%,34.16%,-13.77%,-,69.67%,63.66%,32.64%,1.57%,-9.73%
Shares Outstanding (Basic),831,830,822,816,817,810,807,801,796,796,798,939,"1,085","1,086","1,089","1,086","1,077","1,084","1,103","1,085","1,054","1,047","1,045","1,035","1,029","1,018","1,016","1,017","1,017","1,018","1,125","1,463","1,444","1,438","1,441","1,443","1,443","1,443","1,446","1,448"
Shares Outstanding (Diluted),842,843,835,830,831,824,820,814,810,808,810,952,919,"1,109","1,109","1,106","1,221","1,125","1,123","1,104","1,073","1,066","1,060","1,051","1,047","1,035","1,029","1,031","1,036","1,041","1,125","1,487","1,471","1,464","1,463","1,465","1,468","1,469","1,466","1,468"
Shares Change,-1.29%,-0.71%,-1.08%,-1.36%,-1.40%,-2.24%,-1.73%,-1.84%,-2.46%,-1.88%,-1.20%,16.92%,13.41%,37.15%,36.79%,16.22%,32.90%,1.46%,1.27%,-0.25%,-12.13%,-5.26%,-5.55%,-4.75%,-2.41%,-2.91%,-2.98%,-1.88%,-1.06%,0.62%,9.37%,44.20%,41.95%,40.67%,30.07%,-1.50%,-0.17%,0.34%,0.17%,0.17%
EPS (Basic),0.18,0.17,0.19,0.18,0.19,0.19,0.23,0.18,0.21,0.21,0.19,0.12,0.21,0.17,0.23,0.24,0.38,0.29,0.30,0.33,0.30,0.32,0.33,0.34,0.29,0.03,0.13,0.27,0.28,0.49,-0.05,0.23,0.26,0.30,0.35,0.39,0.42,0.40,0.36,0.35
EPS (Diluted),0.18,0.17,0.19,0.18,0.19,0.19,0.23,0.18,0.21,0.20,0.19,0.11,0.20,0.17,0.23,0.23,0.37,0.28,0.30,0.33,0.30,0.32,0.33,0.34,0.29,0.03,0.13,0.27,0.27,0.48,-0.05,0.22,0.27,0.29,0.35,0.39,0.42,0.39,0.35,0.35
EPS Growth,5.88%,0%,11.76%,-10.00%,5.56%,11.76%,21.05%,0%,10.53%,5.26%,-17.39%,-38.89%,-4.76%,-15.00%,21.05%,109.09%,85.00%,64.71%,30.43%,43.48%,-18.92%,14.29%,10.00%,3.03%,-3.33%,-90.63%,-60.61%,-20.59%,-6.90%,1500.00%,-,-18.52%,0%,-39.58%,-,77.27%,55.56%,34.48%,0%,-10.26%
Free Cash Flow,186.84,145.35,214.43,236.94,232.26,-31.35,74.35,288.8,608.2,179.63,87.16,355.33,472.88,341,105,515,799,278,286,518,534,473,328,15,651,487,174,516,27,-133,"1,022",519,407,776,925,804,"1,308",105,598,976
Free Cash Flow Per Share,0.23,0.17,0.26,0.29,0.28,-0.04,0.09,0.36,0.76,0.23,0.11,0.38,0.44,0.31,0.10,0.47,0.74,0.26,0.26,0.48,0.51,0.45,0.31,0.01,0.63,0.48,0.17,0.51,0.03,-0.13,0.91,0.35,0.28,0.54,0.64,0.56,0.91,0.07,0.41,0.67
Dividend Per Share,0.050,0.050,0.050,0.050,0.060,0.060,0.060,0.060,0.070,0.070,0.070,0.070,0.080,0.080,0.080,0.080,0.110,0.110,0.110,0.140,0.140,0.140,0.140,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155
Dividend Growth,25.00%,25.00%,0%,0%,20.00%,20.00%,20.00%,20.00%,16.67%,16.67%,16.67%,16.67%,14.29%,14.29%,14.29%,14.29%,37.50%,37.50%,37.50%,75.00%,27.27%,27.27%,27.27%,7.14%,7.14%,7.14%,7.14%,0%,0%,0%,0%,0%,3.33%,3.33%,3.33%,3.33%,0%,0%,0%,0%
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
