,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"1,814","1,288","2,205","4,120","2,444","1,506",931,"3,013","2,716","3,557","3,095","3,529","2,732","2,686","2,492","2,526","4,847","3,726","2,908","3,004","2,694","2,300","2,208","1,863","1,545","2,080","1,646","1,285","1,739","1,866","2,430","2,419","2,713","1,370","2,159","2,384","2,486","2,100","2,226","2,018"
Cash & Cash Equivalents,"1,814","1,288","2,205","4,120","2,444","1,506",931,"3,013","2,716","3,557","3,095","3,529","2,732","2,686","2,492","2,526","4,847","3,726","2,908","3,004","2,694","2,300","2,208","1,863","1,545","2,080","1,646","1,285","1,739","1,866","2,430","2,419","2,713","1,370","2,159","2,384","2,486","2,100","2,226","2,018"
Cash Growth,182.55%,190.09%,204.14%,1183.49%,34.73%,16.93%,-57.78%,-26.87%,11.13%,136.19%,232.44%,17.13%,0.59%,-24.49%,-19.48%,-28.42%,77.42%,38.72%,16.69%,18.92%,-44.42%,-38.27%,-24.07%,-37.98%,-42.65%,-9.57%,-25.45%,-31.03%,12.56%,-10.29%,47.63%,88.25%,56.01%,-26.58%,-11.15%,-1.45%,-8.37%,53.28%,3.10%,-15.35%
Receivables,"3,093","2,808","2,348","2,674","1,642","1,405","1,492","1,211",847,612,843,771,940,775,801,933,"1,024",997,"1,075","1,182","1,001","1,116","1,060","1,122","1,170",794,596,699,860,"1,011","1,002","1,094","1,211","1,524","1,406","1,375","1,162","1,207","1,019","1,460"
Inventory,954,"1,055",842,817,527,546,569,535,399,416,377,403,323,377,376,372,232,239,231,263,245,274,278,289,261,230,360,422,378,219,241,262,223,243,317,278,217,229,278,333
Other Current Assets,"2,738","1,897","3,372","1,254","1,700",866,934,838,442,360,316,190,281,333,601,252,54,52,480,52,519,144,138,124,180,"1,166",513,730,104,426,296,117,199,129,87,86,66,263,181,105
Total Current Assets,"8,599","7,048","8,767","8,865","6,313","4,323","3,926","5,597","4,404","4,945","4,631","4,893","4,276","4,171","4,270","4,083","6,157","5,014","4,694","4,501","4,459","3,834","3,684","3,398","3,156","4,270","3,115","3,136","3,081","3,522","3,969","3,892","4,346","3,266","3,969","4,123","3,931","3,799","3,704","3,916"
"Property, Plant & Equipment","28,771","29,166","27,236","27,667","27,517","27,208","27,298","26,883","26,352","26,241","25,769","25,537","23,595","23,201","22,793","20,279","16,192","16,181","15,869","16,013","16,083","16,943","17,044","17,284","17,560","15,384","15,351","14,734","14,709","14,410","14,185","14,468","14,678","14,972","15,400","15,684","15,794","16,075","16,373","17,015"
Long-Term Investments,0,485,213,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goodwill and Intangibles,"1,869","1,984","1,858","1,858","1,858","1,858","1,473","1,473",375,375,375,375,375,375,350,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360
Other Long-Term Assets,"3,515","2,741","2,997","2,440","2,719","2,712","2,861","2,503","3,026","3,247","3,459","3,654",375,353,385,"1,878",403,517,541,593,531,579,607,589,706,703,720,739,671,659,652,770,"1,131","1,200","1,451","1,476","1,610","1,704","1,793","1,910"
Total Long-Term Assets,"34,155","34,376","32,304","32,110","32,094","31,778","31,632","30,859","29,753","29,863","29,603","29,566","24,345","23,929","23,528","22,517","16,955","17,058","16,770","16,966","16,974","17,882","18,011","18,233","18,626","16,447","16,431","15,833","15,740","15,429","15,197","15,598","16,169","16,532","17,211","17,520","17,764","18,139","18,526","19,285"
Total Assets,"42,754","41,424","41,071","40,975","38,407","36,101","35,558","36,456","34,157","34,808","34,234","34,459","28,621","28,100","27,798","26,600","23,112","22,072","21,464","21,467","21,433","21,716","21,695","21,631","21,782","20,717","19,546","18,969","18,821","18,951","19,166","19,490","20,515","19,798","21,180","21,643","21,695","21,938","22,230","23,201"
Accounts Payable,"2,109","2,067","1,529","1,712",708,681,616,537,457,346,525,458,433,565,504,421,435,375,363,383,495,399,353,396,411,431,307,200,200,172,178,210,220,312,359,321,285,344,350,426
Current Debt,378,142,124,67,68,69,69,78,86,94,102,666,112,116,121,122,580,196,87,85,67,414,343,274,199,149,113,107,91,96,601,602,606,113,114,121,224,242,230,507
Other Current Liabilities,"4,071","3,772","3,604","3,236","4,075","2,717","2,808","2,009","2,085","1,753","1,512","1,493","1,706","1,445","1,493","1,671","1,420","1,333","1,495","1,490","1,641","1,458","1,636","1,674","1,900","1,367","1,144","1,119","1,332","1,422","1,748","1,937","2,238","1,878","1,882","1,870","1,887","1,722","1,823","2,063"
Total Current Liabilities,"6,558","5,981","5,257","5,015","4,851","3,467","3,493","2,624","2,628","2,193","2,139","2,617","2,251","2,126","2,118","2,214","2,435","1,904","1,945","1,958","2,203","2,271","2,332","2,344","2,510","1,947","1,564","1,426","1,623","1,690","2,527","2,749","3,064","2,303","2,355","2,312","2,396","2,308","2,403","2,996"
Long-Term Debt,"5,420","5,434","5,953","5,929","5,919","5,911","5,888","6,474","6,506","6,498","6,450","6,671","6,694","6,669","6,612","6,592","6,397","6,372","6,352","6,609","6,605","7,236","7,152","7,140","7,733","8,781","8,783","8,838","8,984","8,925","8,343","8,608","8,535","8,510","8,979","8,949","8,926","8,978","9,034","8,796"
