,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"16,198","15,742","16,103","16,680","17,988","17,604","17,456","18,992","17,802","18,279","17,458","16,527","17,999","17,795","19,312","20,193","20,076","18,392","18,312","17,907","15,946","17,873","20,143","21,915","21,903","12,625","13,804","13,203","17,551","23,878","22,135","24,390","23,498","23,816","21,518","20,015","24,121","21,817","22,343","21,685","27,990"
Market Cap Growth,65.44%,39.76%,14.24%,17.79%,11.05%,11.83%,8.40%,13.86%,-1.04%,3.83%,0.01%,-12.98%,1.11%,-2.65%,10.62%,22.18%,11.54%,3.35%,-5.18%,-11.32%,-20.57%,-2.82%,10.00%,22.39%,37.36%,-29.36%,-31.47%,-39.75%,-19.87%,89.14%,60.36%,84.73%,33.88%,-0.26%,-2.79%,-17.94%,2.65%,-8.39%,3.84%,8.34%,-
Enterprise Value,"21,314","20,807","20,699","22,348","23,698","22,924","22,488","23,853","22,713","23,123","22,321","21,042","22,581","22,595","24,087","24,998","24,894","23,332","22,840","22,481","20,503","22,035","24,410","26,471","26,489","16,673","17,782","17,284","21,664","27,951","26,181","28,936","28,105","28,455","25,525","24,086","28,134","25,957","26,481","25,865","32,170"
PE Ratio,92.03,17.07,24.97,22.54,22.54,22.86,10.58,11.56,10.58,11.89,13.02,11.82,20.09,18.71,27.79,41.13,-6.41,-6.32,-8.00,-8.56,8.85,9.77,12.44,12.81,10.61,7.40,7.68,7.65,10.23,14.11,10.40,11.33,10.03,9.38,10.36,10.34,13.45,11.56,11.23,9.42,12.80
PS Ratio,0.78,0.83,0.85,0.89,0.97,0.95,0.93,1.03,1.11,1.16,1.11,1.04,1.11,1.11,1.24,1.34,1.17,1.04,1.00,0.95,0.84,0.93,1.03,1.10,1.06,0.61,0.67,0.64,0.86,1.14,1.03,1.11,1.05,1.06,0.97,0.90,1.08,0.95,0.95,0.90,1.16
PB Ratio,0.86,0.80,0.83,0.89,0.96,0.92,0.96,1.04,1.01,1.01,0.94,0.89,1.07,1.05,1.12,1.17,1.49,1.40,1.46,1.41,1.22,1.25,1.32,1.36,1.35,0.83,0.81,0.74,0.95,1.35,1.21,1.37,1.32,1.50,1.51,1.55,1.76,1.52,1.58,1.59,2.05
P/FCF Ratio,13.81,12.08,12.77,15.05,10.19,9.58,7.67,6.95,7.27,7.70,8.23,8.86,9.77,10.39,9.83,10.02,10.37,7.58,7.81,7.74,5.86,7.75,8.15,6.60,6.47,3.71,3.79,3.68,4.67,5.66,5.41,6.13,5.93,6.58,5.76,5.05,6.29,5.12,6.92,6.24,8.06
P/OCF Ratio,13.09,11.24,12.03,13.57,9.54,8.87,7.02,6.35,6.46,6.75,7.09,7.65,8.71,9.40,9.01,9.24,9.18,6.88,7.15,7.15,5.61,7.42,7.82,6.36,6.28,3.60,3.68,3.57,4.53,5.51,5.27,5.94,5.74,6.33,5.52,4.85,6.02,4.90,6.52,5.90,7.61
Debt / Equity Ratio,0.35,0.32,0.31,0.32,0.33,0.31,0.30,0.30,0.30,0.29,0.29,0.29,0.29,0.30,0.30,0.30,0.37,0.39,0.37,0.37,0.36,0.30,0.30,0.30,0.30,0.28,0.25,0.24,0.23,0.25,0.24,0.28,0.28,0.31,0.31,0.34,0.32,0.30,0.31,0.32,0.32
Interest Coverage,5.29,7.72,-3.97,6.33,6.12,7.65,6.28,5.41,7.51,5.43,3.00,7.14,-3.99,6.95,-1.14,4.42,-33.91,9.60,9.67,8.75,3.39,13.11,8.24,10.75,11.40,6.38,11.39,10.17,12.44,6.32,20.47,11.05,15.52,9.73,11.86,9.64,15.64,14.06,14.44,17.26,15.35
Return on Capital (ROIC),Upgrade,8.97%,11.28%,11.17%,11.59%,6.76%,6.70%,8.12%,8.03%,6.83%,6.10%,5.24%,5.51%,3.06%,2.95%,0.57%,-0.70%,4.90%,5.70%,10.30%,11.67%,10.18%,10.60%,9.41%,9.78%,11.22%,10.25%,9.81%,8.79%,8.42%,8.62%,10.36%,10.35%,11.22%,13.22%,12.31%,12.35%,11.02%,11.07%,11.73%,13.77%
Dividend Yield,1.40%,1.60%,1.70%,1.70%,1.60%,1.60%,1.70%,1.60%,1.80%,1.80%,1.90%,2.00%,1.80%,1.80%,1.70%,1.70%,1.70%,1.90%,1.90%,2.10%,2.50%,2.30%,2.20%,2.00%,2.00%,3.50%,3.20%,3.50%,2.70%,2.00%,2.20%,2.00%,2.10%,2.00%,2.30%,2.50%,2.10%,2.30%,2.30%,2.40%,2.02%
Payout Ratio,21.40%,13.60%,-14.40%,20.20%,20.50%,16.20%,18.20%,22.80%,20.20%,25.90%,38.20%,18.40%,-121.10%,22.50%,-209.10%,35.40%,-2.50%,15.00%,15.40%,25.00%,56.60%,17.20%,29.10%,20.70%,19.90%,43.30%,25.20%,25.80%,21.80%,51.50%,13.80%,25.40%,18.20%,29.20%,28.70%,37.00%,23.40%,25.10%,24.30%,20.00%,25.86%
