,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-03-26,2016-06-25,2016-09-24,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-03-26,2022-06-25,2022-09-24,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-30
Cash & Equivalents,490.38,638.4,741.6,549.1,675.1,888.8,492.7,650.3,316.3,441.5,548.4,646,"1,135",588.4,540.6,664.4,614.2,575.4,666.7,311.1,401,427.9,601.8,370.8,799.8,744.2,701,868.7,816.4,827.6,"1,170","1,421","2,291","2,375","2,340","2,441","2,582","2,765","2,723","1,932"
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,490.38,638.4,741.6,549.1,675.1,888.8,492.7,650.3,316.3,441.5,548.4,646,"1,140",588.4,540.6,664.4,614.2,575.4,666.7,311.1,401,427.9,601.8,370.8,799.8,744.2,701,868.7,816.4,827.6,"1,170","1,421","2,291","2,375","2,340","2,441","2,582","2,765","2,723","1,932"
Cash Growth,-34.81%,-33.80%,-10.59%,22.39%,37.67%,39.22%,-33.56%,18.43%,-53.15%,-50.33%,11.31%,-0.66%,260.35%,33.27%,-1.42%,2.85%,-46.11%,-2.21%,23.33%,-53.18%,-34.71%,-25.63%,-9.73%,19.19%,99.45%,73.92%,16.48%,134.28%,2.08%,11.21%,66.95%,63.55%,180.60%,187.01%,99.91%,71.83%,12.72%,16.41%,16.37%,-20.86%
Receivables,387.63,381.7,396,400.5,381,382.8,416.1,410.5,422.6,426.2,447,419.9,456.7,520.3,533.5,548,544.2,551.7,579.2,578.6,557.5,586.8,648.7,581.8,597.2,728,"1,029","1,216","1,212",943.2,942.7,975.6,813,702.9,617.6,673.8,714,686.8,625.6,670.9
Inventory,310.98,329.8,330.6,310.3,298.2,295,283.1,286.4,285.1,280.5,274.7,258.3,384,357,331.6,358.2,361.9,370.5,384.1,418.6,443.4,467.9,444.9,380.8,401.3,413.6,395.1,420.2,456.2,502.9,501.2,518.3,526.1,581.2,623.7,677.7,687.6,680.1,617.6,633.6
Other Current Assets,75.57,82.5,97.6,76.7,62,62.2,73.9,40.5,68.6,71.8,56.5,"1,014",71.3,70.3,72.9,67.8,114.9,97.8,93.2,93.6,109.1,109.2,97.7,304.2,138.3,97,97.3,91.3,177.5,144.5,554.5,591.5,251.5,249.6,281.2,228.4,227.6,207.4,218.8,257.6
Total Current Assets,"1,265","1,432","1,566","1,337","1,416","1,629","1,266","1,388","1,093","1,220","1,327","2,338","2,052","1,536","1,479","1,638","1,635","1,595","1,723","1,402","1,511","1,592","1,793","1,638","1,937","1,983","2,222","2,596","2,662","2,418","3,169","3,506","3,881","3,909","3,862","4,021","4,211","4,339","4,185","3,494"
"Property, Plant & Equipment",472.15,467.4,461.9,458.2,451,449.9,457.1,454.5,454.1,451.5,460.2,432.6,482.7,485.5,472.8,467.1,468.6,461.5,478.2,472.6,469.7,469.8,470.9,452,445.3,456.2,491.5,514.5,533.6,551.1,564.7,554.3,506.9,490.1,481.6,494.3,497.9,493.3,517,527
Goodwill and Intangibles,"6,477","6,370","6,244","6,142","6,035","5,934","5,831","5,734","5,644","5,542","5,447","4,480","6,079","6,001","5,944","5,858","5,042","4,942","4,932","4,965","4,439","4,354","4,024","3,961","3,921","3,845","3,965","3,908","4,305","5,065","4,941","4,980","4,869","4,722","4,517","4,545","4,499","4,238","4,170","4,139"
Other Long-Term Assets,148.27,142.4,142.6,141.3,129.6,117.4,88.2,103.7,95.7,93.3,83.7,86.9,92.9,95.7,84.7,84.8,88.4,92.1,97.7,91.9,105.2,106.5,154.6,261.1,519.1,518.7,516.6,531.8,543.2,556.3,245.7,244.7,257,235.9,210.5,229.8,240.3,267,267.9,309.7
Total Long-Term Assets,"7,098","6,980","6,849","6,742","6,616","6,502","6,377","6,292","6,194","6,087","5,990","5,000","6,655","6,582","6,501","6,410","5,599","5,496","5,508","5,530","5,014","4,931","4,649","4,674","4,885","4,820","4,974","4,954","5,382","6,172","5,751","5,779","5,633","5,448","5,209","5,269","5,237","4,999","4,955","4,975"
Total Assets,"8,362","8,412","8,415","8,078","8,032","8,131","7,643","7,680","7,286","7,307","7,317","7,338","8,707","8,118","7,980","8,048","7,234","7,091","7,231","6,932","6,525","6,522","6,442","6,312","6,822","6,803","7,196","7,551","8,044","8,591","8,920","9,285","9,515","9,357","9,071","9,290","9,449","9,338","9,139","8,470"
Accounts Payable,68.2,82.3,92.1,67,73.7,89.9,117,112,118.5,131.2,156.9,138.7,177.1,148.7,166.6,160.3,158.2,167.3,192.2,176.3,165.2,161.5,186.5,123.7,134.4,127.3,178.8,184.3,225.1,208.4,215.9,202.2,224.8,216.6,197.7,201.8,187.4,180.6,175.2,183.8
Deferred Revenue,144.7,147.1,171,148.4,174.1,169.8,182.7,177.2,170.2,175.9,177.3,161,182.1,202.2,192,182,191.6,195,191.1,185.2,190.5,186.5,195.3,171.5,187.6,187.7,199,195.4,211.9,228.1,218.3,212.3,223.1,210.5,195.9,202.5,243.3,246.6,213,204.8
Current Debt,89.5,102,114.5,139.4,581.7,671.5,391.2,393.3,307.7,333.4,296,707.3,"1,051","1,015","1,152",573.7,613.2,526.9,601.4,321.1,312.4,263.8,273.2,304,807.9,567.3,326.8,76.9,77.9,463.7,316.7,252,259.7,11,18.2,23.8,29.1,34.7,290.1,40.6
Other Current Liabilities,248.29,266.5,242,253,214.7,258,252.5,232.9,244.6,270.3,271.7,283.7,965.2,447,354.5,393.9,336.6,346,417.9,395.1,377.1,403.4,415.1,444.1,351,463.4,534.7,599.4,521.5,564.4,575.9,612.2,597.5,562.8,525.9,528.1,495.2,519.4,529,469.8
Total Current Liabilities,550.68,597.9,619.6,607.8,"1,044","1,189",943.4,915.4,841,910.8,901.9,"1,291","2,375","1,813","1,866","1,310","1,300","1,235","1,403","1,078","1,045","1,015","1,070","1,043","1,481","1,346","1,239","1,056","1,036","1,465","1,327","1,279","1,305","1,001",937.7,956.2,955,981.3,"1,207",899
Long-Term Debt,"4,184","4,169","4,153","3,815","3,358","3,271","3,221","3,239","3,098","3,089","3,049","2,616","2,257","2,231","2,195","2,780","2,761","2,743","2,726","2,828","2,820","2,811","2,803","2,788","2,768","2,749","2,731","2,706","2,696","2,678","2,735","2,841","2,833","2,834","2,826","2,824","2,815","2,806","2,547","2,537"
Other Long-Term Liabilities,"1,648","1,614","1,579","1,553","1,461","1,433","1,399","1,359","1,303","1,264","1,223","1,203","1,277","1,209","1,135",764.4,728.2,663.4,674,631,500.5,479.5,453.5,222.7,482,449.6,517.9,519.4,516.9,571.3,639.5,646.4,583.3,525.1,430.9,417.7,378.2,369.1,368.6,379.3
Total Long-Term Liabilities,"5,832","5,783","5,732","5,368","4,819","4,704","4,620","4,598","4,401","4,353","4,272","3,819","3,534","3,440","3,329","3,544","3,489","3,407","3,400","3,459","3,320","3,291","3,256","3,011","3,250","3,199","3,249","3,226","3,213","3,249","3,375","3,487","3,417","3,359","3,257","3,242","3,193","3,175","2,915","2,917"
Total Liabilities,"6,382","6,381","6,352","5,976","5,863","5,893","5,563","5,513","5,242","5,264","5,174","5,109","5,910","5,252","5,195","4,854","4,789","4,642","4,802","4,537","4,366","4,306","4,326","4,054","4,731","4,545","4,489","4,282","4,249","4,714","4,701","4,766","4,722","4,360","4,195","4,198","4,148","4,156","4,122","3,816"
Total Debt,"4,273","4,271","4,268","3,955","3,940","3,942","3,612","3,632","3,406","3,422","3,345","3,323","3,308","3,246","3,347","3,354","3,374","3,270","3,327","3,150","3,132","3,075","3,076","3,092","3,576","3,317","3,058","2,783","2,774","3,141","3,052","3,093","3,093","2,845","2,845","2,848","2,844","2,840","2,837","2,578"
Debt Growth,-14.61%,-14.67%,-11.20%,-8.07%,-7.81%,-7.69%,-15.36%,-8.15%,-13.56%,-13.19%,-7.39%,-8.52%,-2.86%,-5.16%,0.05%,0.93%,1.99%,0.75%,-0.61%,-6.09%,-7.17%,-5.97%,-7.54%,-1.82%,14.16%,7.85%,-0.58%,-9.99%,-22.43%,-5.28%,-0.21%,11.13%,11.52%,-9.45%,-6.79%,-7.93%,-8.06%,-0.15%,-0.28%,-9.47%
Common Stock,"5,610","5,642","5,661","5,675","5,713","5,739","5,563","5,576","5,389","5,306","5,313","5,323","5,362","5,358","5,184","5,182","5,104","5,013","4,948","4,813","4,849","4,816","4,847","4,582","4,351","4,385","4,328","4,217","4,129","3,950","3,979","3,811","3,644","3,664","3,514","3,432","3,413","3,330","3,108","2,470"
Retained Earnings,"-3,640.02","-3,628.7","-3,600.6","-3,571.3","-3,523.5","-3,494.1","-3,469","-3,384.1","-3,315.2","-3,230.3","-3,138.2","-3,051.7","-2,524.9","-2,465.4","-2,382.7","-1,976","-2,657.4","-2,544.5","-2,494","-2,386.5","-2,659.1","-2,565.2","-2,688.7","-2,302.3","-2,206","-2,068.1","-1,573.2",-918.8,-298.9,-30.5,298.3,797.5,"1,253","1,482","1,600","1,788","2,006","1,966","2,056","2,303"
Comprehensive Income,10.61,18.1,2.6,-1.2,-20.6,-7.9,-14.5,-25.9,-29.2,-33.3,-32.3,-42.8,-40.2,-27.4,-16.2,-11.7,-0.6,-18.6,-25.5,-31.9,-30.5,-34.2,-42.3,-28.7,-58.9,-61.9,-49.7,-30.7,-35.8,-42.2,-59.1,-89,-104.1,-147.7,-238.2,-127.3,-118.4,-113.6,-147.6,-118.8
Shareholders' Equity,"1,980","2,031","2,063","2,102","2,169","2,237","2,079","2,166","2,044","2,043","2,143","2,229","2,797","2,866","2,785","3,194","2,446","2,450","2,429","2,394","2,160","2,217","2,116","2,251","2,086","2,255","2,705","3,268","3,794","3,877","4,219","4,519","4,793","4,998","4,876","5,093","5,301","5,182","5,017","4,654"
Net Cash / Debt,"-3,783.08","-3,632.1","-3,526.1","-3,405.7","-3,264.7","-3,053.5","-3,119.5","-2,982.1","-3,089.4","-2,980.7","-2,797","-2,676.9","-2,168.6","-2,657.3","-2,806.6","-2,689.3","-2,760","-2,694.8","-2,660.2","-2,838.4","-2,731.2","-2,647.1","-2,474.2","-2,721.4","-2,775.8","-2,572.3","-2,357.1","-1,914.5","-1,957.2","-2,313.7","-1,881.4","-1,672.1",-802.3,-469.2,-505.1,-406.4,-261.6,-75.2,-114.1,-645.9
Net Cash Per Share,-13.78,-13.01,-12.19,-12.03,-11.35,-10.44,-10.58,-10.21,-10.73,-10.56,-9.90,-9.42,-7.58,-9.24,-9.86,-9.58,-9.96,-9.78,-9.75,-10.42,-10.14,-9.78,-9.20,-10.09,-10.49,-9.85,-8.96,-7.31,-7.51,-8.95,-7.30,-6.53,-3.16,-1.85,-2.00,-1.63,-1.05,-0.30,-0.46,-2.69
Working Capital,713.88,834.5,946.2,728.8,372.1,439.6,322.4,472.3,251.6,309.2,424.7,"1,047",-323.6,-276.8,-386.9,328.5,335.6,360.2,320.6,324.2,465.8,576.6,723,594.3,455.7,637.1,983,"1,540","1,626",953.6,"1,842","2,228","2,576","2,908","2,924","3,065","3,256","3,358","2,977","2,595"
Book Value Per Share,7.21,7.34,7.42,7.54,7.74,7.96,7.37,7.66,7.24,7.35,7.72,8.00,9.98,10.20,9.96,11.54,8.82,8.95,8.91,8.85,8.02,8.24,7.87,8.40,7.92,8.68,10.41,12.64,14.68,15.13,16.55,17.83,19.05,19.93,19.48,20.59,21.40,20.99,20.47,19.50
