,2013-12-31,2014-03-30,2014-06-29,2014-09-28,2014-12-31,2015-04-05,2015-07-05,2015-10-04,2015-12-31,2016-04-03,2016-07-03,2016-10-02,2016-12-31,2017-04-02,2017-07-02,2017-10-01,2017-12-31,2018-04-01,2018-07-01,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-29,2019-12-31,2020-03-29,2020-06-28,2020-09-27,2020-12-31,2021-04-04,2021-07-04,2021-10-03,2021-12-31,2022-04-03,2022-07-03,2022-10-02,2022-12-31,2023-04-02,2023-07-02,2023-10-01
Cash & Equivalents,"1,119","1,006",562.6,477.09,374.85,305.69,302.66,343.91,346.53,285.96,250.19,333.33,296.97,235.03,214.06,275.06,380.18,476.43,467.35,823.79,588,465.97,365.96,302.64,493.26,"1,095","1,165","1,206","1,144","1,132",426.2,675.52,329.27,338.06,339.72,327.74,463.89,460.35,446.16,471.25
Short-Term Investments,0,0,97.22,98.31,97.13,99.48,99.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,"1,119","1,006",659.82,575.4,471.99,405.17,401.97,343.91,346.53,285.96,250.19,333.33,296.97,235.03,214.06,275.06,380.18,476.43,467.35,823.79,588,465.97,365.96,302.64,493.26,"1,095","1,165","1,206","1,144","1,132",426.2,675.52,329.27,338.06,339.72,327.74,463.89,460.35,446.16,471.25
Cash Growth,53.58%,37.80%,16.09%,-17.96%,-57.80%,-59.73%,-39.08%,-40.23%,-26.58%,-29.42%,-37.76%,-3.08%,-14.30%,-17.81%,-14.44%,-17.48%,28.02%,102.71%,118.33%,199.50%,54.66%,-2.20%,-21.69%,-63.26%,-16.11%,134.95%,218.43%,298.46%,131.92%,3.42%,-63.43%,-43.98%,-71.22%,-70.14%,-20.29%,-51.48%,40.89%,36.17%,31.33%,43.79%
Receivables,477.91,620.49,423.65,786.37,596.94,606.69,443.45,760.79,599.07,544.03,483.55,759.62,581.38,595.78,417.46,742.83,588.26,614.3,501.86,814.92,594.15,694.14,538.75,849.22,568.51,705.64,540.4,829.51,615.23,634.83,532.4,841.23,671.46,868.43,654.4,929.48,711.2,856.84,764.27,"1,128"
Inventory,659.54,678.76,855.18,900.74,801.04,745.76,874,813.58,750.97,770.38,871.29,843.52,745.68,795.4,936.44,938.19,752.84,782.46,916.44,880.67,784.88,791.29,957.95,969.07,815.25,832.19,999.38,958.48,964.21,909.8,"1,060","1,027",988.51,"1,032","1,208","1,184","1,173","1,180","1,385","1,348"
Other Current Assets,231.37,239.63,323.16,270.07,377.09,350.48,288.03,291.05,152.03,172.55,202.58,194.05,192.75,247.65,343.57,258.38,280.63,397.31,479.45,274.66,272.16,265.54,230.9,254.13,240.08,222.13,197.84,213.21,254.48,183.15,200.16,198.66,256.97,219.45,226.11,251.13,272.2,228.55,285.05,243.62
Total Current Assets,"2,487","2,545","2,262","2,533","2,247","2,108","2,007","2,209","1,849","1,773","1,808","2,131","1,817","1,874","1,912","2,214","2,002","2,270","2,365","2,794","2,239","2,217","2,094","2,375","2,117","2,855","2,903","3,207","2,978","2,860","2,219","2,742","2,246","2,457","2,428","2,693","2,620","2,726","2,881","3,190"
"Property, Plant & Equipment","1,805","1,909","1,943","2,079","2,152","2,149","2,180","2,188","2,240","2,230","2,199","2,160","2,177","2,050","2,034","2,050","2,107","2,119","2,084","2,093","2,130","2,108","2,107","2,100","2,153","2,150","2,165","2,183","2,285","2,299","2,342","2,370","2,586","2,593","2,591","2,623","2,770","2,822","3,015","3,156"
Goodwill and Intangibles,771.81,761.83,767.21,"1,110","1,088","1,342","1,114","1,078","1,064","1,066","1,340","1,326","1,305","1,197","1,196","1,198","1,190","2,678","2,691","2,685","3,079","3,071","3,064","3,435","3,327","3,301","3,293","3,285","3,283","3,274","3,676","3,659","4,671","4,650","4,624","4,590","4,573","4,555","4,624","4,601"
Other Long-Term Assets,293,212.72,212.57,195.25,136.13,158.62,147.66,155.12,191.76,236.89,221.56,228.88,225.23,221.49,238.57,193.1,254.9,265.16,265.43,264.09,254.15,460.94,528.99,554.13,543.03,548.98,549.45,579.27,585.26,605.71,646.98,668.36,909.08,945.16,945.34,927.6,985.49,"1,008","1,006",988.64
Total Long-Term Assets,"2,870","2,884","2,923","3,384","3,376","3,649","3,442","3,421","3,496","3,533","3,760","3,715","3,708","3,469","3,469","3,441","3,552","5,062","5,041","5,042","5,464","5,640","5,700","6,089","6,023","6,001","6,008","6,048","6,154","6,178","6,665","6,697","8,166","8,188","8,160","8,140","8,328","8,385","8,645","8,745"
Total Assets,"5,357","5,429","5,185","5,917","5,623","5,757","5,449","5,631","5,344","5,306","5,567","5,845","5,524","5,342","5,380","5,655","5,554","7,333","7,406","7,836","7,703","7,857","7,794","8,464","8,140","8,855","8,911","9,255","9,132","9,038","8,884","9,439","10,412","10,645","10,589","10,833","10,949","11,112","11,526","11,936"
Accounts Payable,461.51,465.16,464.94,522.79,482.02,449.15,423.38,448.6,474.27,436.34,455.23,458.03,522.54,499.15,471.55,529.44,523.23,519.99,496.87,581.48,502.31,500.63,479.79,553.56,550.83,531.93,530.04,589.59,580.06,553.64,615.64,671.86,692.34,825.23,876.19,915.3,970.56,"1,005","1,014","1,085"
Current Debt,166.88,182.98,198.03,900.08,635.5,899.89,866.43,938.4,863.44,"1,021","1,497",862.41,632.71,487.65,622.05,"1,116",859.46,"2,550","1,351","1,452","1,203","1,172","1,240","1,628",735.67,"1,626",986.75,834.01,512.87,418.43,211.03,413.19,942.27,876.11,"1,667","1,546","1,447","1,361",867.78,827.67
