,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"1,253","2,375",952,981,"1,050","1,039","1,045","1,284","1,125","1,112","1,087","1,350","1,103","1,167","1,181","1,568","1,658","1,680","1,662","1,872","1,891","2,071","1,989","2,188","1,986","2,281","1,991","1,991","2,040","2,040","2,040","2,040","8,353","8,353","8,353","8,353","8,619","8,495","1,498","1,770"
Short-Term Investments,57,26,"1,241","1,200","1,073",22,21,29,25,24,24,23,21,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,730,680
Cash & Cash Equivalents,"1,310","2,401","2,193","2,181","2,123","1,061","1,066","1,313","1,150","1,136","1,111","1,373","1,124","1,184","1,197","1,568","1,658","1,680","1,662","1,872","1,891","2,071","1,989","2,188","1,986","2,281","1,991","1,991","2,040","2,040","2,040","2,040","8,353","8,353","8,353","8,353","8,619","9,230","2,228","2,450"
Cash Growth,-14.22%,47.13%,26.37%,66.23%,62.06%,-55.81%,-51.39%,-39.80%,-45.83%,7.07%,4.22%,4.57%,-2.26%,4.23%,7.74%,14.20%,47.51%,41.89%,38.85%,19.39%,14.05%,23.27%,19.68%,16.88%,5.02%,10.14%,0.10%,-9.00%,2.72%,-10.57%,2.46%,2.46%,309.46%,309.46%,309.46%,309.46%,3.18%,10.50%,-73.33%,-70.67%
Receivables,544,432,446,508,608,541,490,700,941,862,789,777,999,912,897,903,"1,167","1,049","1,020",953,"1,181","1,062","1,056",988,"1,569","1,279","1,230","1,230","1,208","1,208","1,208","1,208","1,169","1,169","1,169","1,169","1,650","1,313","1,422","1,366"
Other Current Assets,"43,400","47,358","46,739","47,543","45,755","43,531","46,496","51,300","52,463","48,632","49,944","54,983","52,950","54,352","53,145","51,091","53,809","54,831","58,613","63,867","64,413","61,239","65,826","64,803","108,698","93,875","83,998","83,998","151,052","151,052","151,052","151,052","147,425","147,425","147,425","147,425","104,067","88,679","81,747","81,157"
Total Current Assets,"45,254","50,191","49,378","50,232","48,486","45,133","48,052","53,313","54,554","50,630","51,844","57,133","55,073","56,448","55,239","53,562","56,634","57,560","61,295","66,692","67,485","64,372","68,871","67,979","112,253","97,435","87,219","87,219","154,300","154,300","154,300","154,300","156,947","156,947","156,947","156,947","114,336","99,222","85,397","84,973"
"Property, Plant & Equipment",898,845,839,874,879,911,904,"1,037","1,018","1,048","1,080","1,129","1,132","1,161","1,192","1,246","1,235","1,220","1,206","1,241","1,538","1,525","1,505","1,536","1,503","1,510","1,713","1,713","1,699","1,699","1,699","1,699","1,767","1,767","1,767","1,767","1,727","1,718","1,918","1,923"
Long-Term Investments,596,786,726,676,604,596,508,562,614,689,678,432,264,264,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,199,0
Goodwill and Intangibles,"18,892","16,540","16,225","16,315","16,228","16,232","16,160","22,837","22,734","22,539","22,368","22,711","22,658","22,104","22,072","22,485","22,840","22,707","23,379","23,547","23,504","23,754","23,640","23,600","23,739","23,683","35,699","35,699","34,859","34,859","34,859","34,859","34,201","34,201","34,201","34,201","34,066","33,948","48,058","47,870"
Other Long-Term Assets,281,120,118,157,231,232,232,238,240,318,326,598,336,347,351,971,"1,353","1,360","1,362","1,311","1,330","1,279","1,323","1,378","1,406","1,432","1,569","1,569","2,644","2,644","2,644","2,644","1,423","1,423","1,423","1,423","1,421","1,196","1,450","1,318"
Total Long-Term Assets,"20,667","18,291","17,908","18,022","17,942","17,971","17,804","24,674","24,606","24,594","24,452","24,870","24,390","23,876","23,879","24,702","25,428","25,287","25,947","26,099","26,372","26,558","26,468","26,514","26,648","26,625","38,981","38,981","39,202","39,202","39,202","39,202","37,391","37,391","37,391","37,391","37,214","37,061","51,625","51,111"
Total Assets,"65,921","68,482","67,286","68,254","66,428","63,104","65,856","77,987","79,160","75,224","76,296","82,003","79,463","80,324","79,118","78,264","82,062","82,847","87,242","92,791","93,857","90,930","95,339","94,493","138,901","124,060","126,200","126,200","193,502","193,502","193,502","193,502","194,338","194,338","194,338","194,338","151,550","136,283","137,022","136,084"
Accounts Payable,357,293,282,409,392,324,297,398,399,350,383,388,451,415,427,462,476,405,486,521,509,518,543,505,548,520,639,639,703,703,703,703,866,866,866,866,949,919,964,"1,003"
Deferred Revenue,348,271,139,69,367,294,186,98,429,330,217,114,440,338,228,125,468,372,249,135,479,360,247,129,504,383,158,158,194,194,194,194,170,170,170,170,562,437,334,200
Current Debt,"1,297","1,683","1,889","2,042","1,946","1,016","1,253","2,591","2,048","1,811","1,585","2,493","2,376","2,023","1,197","1,833","2,623","2,645","1,198",951,"1,005","1,303","1,329","2,569","3,071",705,"2,411","2,411","1,521","1,521","1,521","1,521",4,4,4,4,0,0,"2,257","1,954"
Other Current Liabilities,"43,401","47,423","47,027","47,916","46,093","43,946","46,722","51,656","52,760","48,947","50,169","55,622","52,739","54,043","52,748","51,755","54,379","55,472","59,132","64,501","65,042","61,950","66,415","65,613","109,403","94,585","84,791","84,791","150,993","150,993","150,993","150,993","148,131","148,131","148,131","148,131","104,495","88,848","81,727","81,469"
Total Current Liabilities,"45,403","49,670","49,337","50,436","48,798","45,580","48,458","54,743","55,636","51,438","52,354","58,617","56,006","56,819","54,600","54,175","57,946","58,894","61,065","66,108","67,035","64,131","68,534","68,816","113,526","96,193","87,999","87,999","153,411","153,411","153,411","153,411","149,171","149,171","149,171","149,171","106,006","90,204","85,282","84,626"
Long-Term Debt,"3,584","2,248","2,247","2,235","2,247","2,247","2,247","4,717","4,718","4,719","4,720","3,871","3,872","3,874","4,865","4,267","4,269","4,271","6,488","6,490","6,798","6,792","6,783","5,531","5,524","7,977","14,446","14,446","12,649","12,649","12,649","12,649","18,372","18,372","18,372","18,372","18,356","18,346","21,348","20,958"
Other Long-Term Liabilities,"3,698","3,024","2,915","3,026","2,889","2,794","2,741","3,652","3,692","3,704","3,644","3,725","3,761","3,698","3,634","2,837","2,841","2,842","2,835","2,891","2,823","2,789","2,765","2,782","2,789","2,801","4,128","4,128","4,694","4,694","4,694","4,694","4,034","4,034","4,034","4,034","3,977","3,844","4,880","4,714"
Total Long-Term Liabilities,"7,282","5,272","5,162","5,261","5,136","5,041","4,988","8,369","8,410","8,423","8,364","7,596","7,633","7,572","8,499","7,104","7,110","7,113","9,323","9,381","9,621","9,581","9,548","8,313","8,313","10,778","18,574","18,574","17,343","17,343","17,343","17,343","22,406","22,406","22,406","22,406","22,333","22,190","26,228","25,672"
Total Liabilities,"52,685","54,942","54,499","55,697","53,934","50,621","53,446","63,112","64,046","59,861","60,718","66,213","63,639","64,391","63,099","61,279","65,056","66,007","70,388","75,489","76,656","73,712","78,082","77,129","121,839","106,971","106,573","106,573","170,754","170,754","170,754","170,754","171,577","171,577","171,577","171,577","128,339","112,394","111,510","110,298"
Total Debt,"4,881","3,931","4,136","4,277","4,193","3,263","3,500","7,308","6,766","6,530","6,305","6,364","6,248","5,897","6,062","6,100","6,892","6,916","7,686","7,441","7,803","8,095","8,112","8,100","8,595","8,682","16,857","16,857","14,170","14,170","14,170","14,170","18,376","18,376","18,376","18,376","18,356","18,346","23,605","22,912"
