,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-04-02,2022-07-02,2022-10-01,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-30,Current
Market Capitalization,"127,383","153,970","169,621","181,554","151,552","147,159","136,963","165,071","153,294","154,646","178,595","171,884","170,539","158,882","178,938","216,029","243,109","231,649","218,054","213,367","241,489","214,314","224,955","261,348","223,986","243,455","212,395","192,893","263,567","225,765","219,971","208,678","195,904","148,594","105,812","109,077","135,156","139,478","148,883","211,854","183,960"
Market Cap Growth,17.95%,27.83%,48.16%,42.67%,18.97%,-4.42%,-19.25%,-9.08%,1.15%,5.09%,30.40%,4.13%,11.25%,2.74%,0.19%,25.68%,42.55%,45.80%,21.86%,-1.23%,-0.67%,-7.48%,3.16%,22.49%,-7.25%,13.60%,-5.58%,-26.19%,17.67%,-7.27%,3.57%,8.18%,-25.67%,-34.18%,-51.90%,-47.73%,-31.01%,-6.13%,40.71%,94.22%,-
Enterprise Value,"121,545","149,853","167,294","181,155","150,667","146,523","137,308","162,428","163,572","165,570","188,442","180,068","178,995","164,938","193,074","228,840","255,524","247,566","232,742","228,076","257,943","231,185","241,837","277,226","243,102","255,987","230,705","205,399","277,054","236,317","225,640","217,526","194,455","156,980","122,776","122,790","157,895","164,267","172,732","236,086","208,192"
PE Ratio,13.40,14.95,15.90,15.51,12.88,12.60,11.94,14.46,13.36,15.31,17.23,16.66,15.18,12.50,12.92,22.50,21.92,17.43,14.37,10.14,11.74,10.85,11.63,12.42,9.85,10.29,9.68,9.23,14.17,12.17,10.42,10.50,7.96,7.78,7.96,13.61,-47.31,-151.28,-90.56,125.43,108.78
PS Ratio,2.41,2.86,3.09,3.25,2.71,2.66,2.48,2.98,2.72,2.73,3.08,2.89,2.82,2.58,2.88,3.44,3.80,3.50,3.15,3.01,3.41,3.05,3.20,3.63,2.96,3.08,2.72,2.48,3.39,2.91,2.80,2.64,2.52,2.03,1.52,1.73,2.40,2.58,2.82,3.91,3.39
PB Ratio,2.19,2.60,3.03,3.25,2.76,2.55,2.40,2.70,2.51,2.52,2.83,2.60,2.55,2.32,2.52,3.13,3.47,3.31,3.05,2.86,3.28,2.86,3.03,3.37,2.93,2.97,2.85,2.38,3.30,2.65,2.44,2.19,1.90,1.47,1.06,1.08,1.38,1.38,1.46,2.01,1.74
P/FCF Ratio,14.53,16.39,17.35,17.60,12.75,13.45,11.21,14.12,12.76,13.00,16.75,14.11,14.93,13.48,15.19,20.91,20.67,18.22,15.13,14.97,19.30,15.68,15.28,15.44,12.32,11.12,10.45,9.01,13.53,13.55,12.45,22.86,20.72,-77.72,-7.76,-11.34,-6.72,-8.33,-14.30,-14.84,-14.84
P/OCF Ratio,6.37,7.43,8.20,8.89,7.10,7.62,7.07,8.68,8.22,8.11,9.36,7.88,7.88,7.06,7.77,9.77,9.92,8.52,7.32,7.25,8.59,7.58,7.46,7.88,6.52,6.42,6.00,5.38,7.52,6.90,6.39,7.08,6.53,6.75,8.06,7.07,17.42,14.30,10.23,18.47,16.04
Debt / Equity Ratio,0.23,0.22,0.24,0.24,0.24,0.23,0.37,0.37,0.41,0.47,0.44,0.38,0.39,0.47,0.45,0.39,0.41,0.40,0.39,0.35,0.39,0.38,0.39,0.37,0.52,0.47,0.49,0.45,0.45,0.42,0.45,0.40,0.36,0.35,0.40,0.41,0.51,0.49,0.48,0.47,0.47
Quick Ratio,1.66,1.70,1.29,1.15,1.15,1.31,1.65,1.92,1.10,1.18,1.13,1.07,1.04,1.67,1.13,1.13,1.06,0.96,0.95,1.11,1.00,0.92,0.75,0.93,1.22,1.48,1.15,1.24,1.23,1.30,1.46,1.41,1.56,1.22,1.08,1.01,1.15,1.00,0.97,1.01,1.01
Current Ratio,2.26,2.37,1.85,1.73,1.76,1.97,2.40,2.45,1.56,1.67,1.80,1.75,1.69,2.16,1.60,1.69,1.59,1.57,1.51,1.73,1.54,1.48,1.20,1.40,1.74,1.98,1.66,1.91,1.90,1.99,2.07,2.13,2.13,1.86,1.77,1.57,1.76,1.60,1.53,1.54,1.54
Interest Coverage,-,231.71,183.00,173.56,-,230.46,41.89,308.36,31.59,14.25,33.71,13.23,56.29,-,105.04,10.88,50.13,-,55.11,57.92,75.54,75.98,147.07,-,22.13,205.66,69.12,86.09,26.04,60.84,91.24,34.73,-,-6.64,-,-,-,-,-,-,-
Return on Capital (ROIC),Upgrade,12.76%,13.55%,15.13%,16.35%,16.87%,16.05%,14.23%,13.43%,13.17%,10.91%,11.29%,11.45%,12.10%,12.44%,12.61%,8.85%,9.75%,12.27%,14.81%,20.88%,20.31%,19.33%,18.63%,18.12%,18.64%,18.69%,18.93%,16.88%,14.67%,14.06%,13.70%,13.26%,12.94%,9.21%,5.17%,1.14%,-2.34%,-2.53%,-2.40%,-0.02%
Dividend Yield,3.50%,2.90%,2.60%,2.40%,2.90%,3.00%,3.30%,2.70%,3.00%,3.10%,2.70%,2.90%,2.90%,3.10%,2.80%,2.30%,2.10%,2.30%,2.50%,2.60%,2.30%,2.60%,2.50%,2.10%,2.40%,2.20%,2.60%,2.80%,2.10%,2.40%,2.50%,2.70%,2.90%,3.90%,5.60%,5.50%,4.50%,3.60%,2.80%,1.50%,1.15%
Payout Ratio,57.70%,40.20%,33.10%,29.60%,57.10%,42.10%,36.90%,31.20%,60.50%,92.90%,36.60%,34.70%,41.30%,45.50%,28.40%,-182.00%,31.60%,27.80%,21.40%,26.10%,35.80%,33.50%,23.20%,19.80%,24.80%,27.50%,32.40%,23.10%,41.80%,27.80%,20.70%,30.70%,18.30%,-331.80%,146.00%,-228.10%,-55.30%,35.70%,178.60%,19.80%,125.00%
