,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"23,270","29,157","28,399","35,156","52,406","71,891","79,893","144,819","128,675","143,307","183,565"
Market Cap Growth,22.61%,25.30%,-2.60%,23.79%,49.07%,37.18%,11.13%,81.27%,-11.15%,11.37%,-
Enterprise Value,"21,855","27,960","28,319","34,867","51,128","69,587","76,433","143,231","132,341","145,558","186,989"
PE Ratio,25.66,79.88,29.01,35.69,39.43,46.17,43.75,70.23,62.28,60.11,71.74
PS Ratio,5.48,6.96,6.05,6.77,8.70,10.60,10.40,15.03,10.11,9.97,12.45
PB Ratio,7.56,12.50,24.46,25.96,18.61,19.18,15.65,14.67,7.83,8.30,10.80
P/FCF Ratio,18.47,21.96,30.28,25.68,26.36,33.14,35.09,46.34,35.16,29.94,42.16
P/OCF Ratio,16.09,18.35,19.45,21.99,24.81,30.93,33.10,44.56,33.09,28.40,39.72
EV/Sales Ratio,5.15,6.67,6.03,6.71,8.49,10.26,9.95,14.87,10.40,10.13,12.68
EV/EBITDA Ratio,13.81,30.33,17.17,21.04,27.80,32.81,30.70,47.59,38.34,35.22,42.87
EV/EBIT Ratio,15.78,40.46,20.07,24.54,32.24,36.70,34.55,55.41,50.45,44.97,53.66
EV/FCF Ratio,17.35,21.05,30.19,25.47,25.72,32.08,33.57,45.83,36.16,30.41,42.95
Debt / Equity Ratio,0.16,0.21,0.86,0.36,0.16,0.12,0.70,0.24,0.45,0.38,0.37
Debt / EBITDA Ratio,0.32,0.54,0.61,0.29,0.24,0.21,1.44,0.80,2.16,1.60,1.46
Debt / FCF Ratio,0.40,0.38,1.07,0.36,0.22,0.20,1.58,0.77,2.04,1.38,1.46
Quick Ratio,1.43,1.03,0.53,0.45,1.04,1.44,2.04,1.83,1.29,1.37,1.17
Current Ratio,1.84,1.47,0.72,0.73,1.39,1.83,2.26,1.94,1.39,1.47,1.25
Asset Turnover,0.87,0.82,1.08,1.20,1.21,1.16,0.97,0.69,0.52,0.52,0.53
Interest Coverage,44.68,25.59,40.31,45.84,79.30,126.40,158.00,89.14,32.38,13.05,13.20
Return on Equity (ROE),33.70%,14.70%,95.50%,82.60%,70.50%,46.50%,42.50%,24.30%,14.10%,14.30%,15.30%
Return on Assets (ROA),18.50%,7.10%,22.50%,22.70%,26.70%,26.50%,23.10%,14.80%,8.50%,8.60%,9.20%
Return on Capital (ROIC),24.35%,14.32%,40.89%,54.55%,40.69%,36.67%,20.79%,16.42%,8.74%,10.50%,11.59%
Earnings Yield,3.90%,1.25%,3.45%,2.80%,2.54%,2.17%,2.29%,1.42%,1.61%,1.66%,1.41%
FCF Yield,5.41%,4.55%,3.30%,3.89%,3.79%,3.02%,2.85%,2.16%,2.84%,3.34%,2.37%
Dividend Yield,0.90%,0.90%,1.10%,1.00%,0.80%,0.70%,0.70%,0.40%,0.60%,0.60%,0.55%
Payout Ratio,23.90%,76.90%,32.20%,35.50%,30.10%,31.40%,30.30%,30.80%,36.90%,36.70%,39.39%
Buyback Yield / Dilution,3.96%,1.72%,7.34%,1.51%,0.39%,-1.15%,-0.38%,-3.41%,-4.03%,0.35%,0.35%
Total Shareholder Return,4.86%,2.62%,8.44%,2.51%,1.19%,-0.45%,0.32%,-3.01%,-3.43%,0.95%,0.90%
