,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"6,042","6,042","6,042","6,042","6,042","6,803","6,744","7,057","12,248","11,864","12,003","11,834","10,456","12,687","14,088","15,923","16,190","11,594","15,109","15,691","16,750","18,150","21,178","22,117","27,117","24,366","21,716","20,628","18,123","19,100","21,051","19,394",-,"20,011"
Market Cap Growth,-,-,-,-,0%,12.59%,11.61%,16.79%,102.71%,74.38%,77.99%,67.69%,-14.64%,6.94%,17.37%,34.56%,54.85%,-8.61%,7.25%,-1.46%,3.46%,56.55%,40.17%,40.95%,61.89%,34.24%,2.54%,-6.73%,-33.17%,-21.61%,-3.06%,-5.98%,-,-
Enterprise Value,"13,493",-,-,"13,449","13,414","12,325","12,230","12,567","21,720","21,398","21,499","21,159","19,561","21,637","22,976","24,498","24,566","19,936","22,889","23,462","24,568","25,986","29,066","29,360","34,505","31,754","29,197","28,081","25,629","26,543","28,403","27,179",-,-
PE Ratio,-39.19,-151.44,-76.81,-68.82,-56.68,-66.67,311.05,-77.56,-66.23,-169.57,-211.99,3590.32,104.23,153.10,90.69,118.42,77.98,58.14,88.29,120.55,59.32,79.23,87.89,80.01,91.03,65.93,48.99,65.13,45.05,39.71,38.17,36.78,0,51.90
PS Ratio,27.89,26.91,26.21,6.68,6.55,7.26,7.11,7.36,11.62,9.57,8.40,7.30,6.07,7.31,8.08,9.08,9.17,6.52,8.45,8.70,9.19,9.82,11.20,11.39,13.59,11.89,10.28,9.50,8.13,8.36,9.04,8.17,-,11.14
PB Ratio,3.20,0,0,3.04,3.09,1.86,1.85,1.96,1.44,1.40,1.42,1.41,1.27,1.56,1.77,1.97,1.97,1.47,1.82,1.89,1.97,2.12,2.47,2.33,2.77,2.39,2.12,2.00,1.76,1.87,2.05,1.89,0,0
P/FCF Ratio,-,-702.43,90.65,92.04,30.21,33.96,34.86,33.19,55.12,60.15,50.80,39.41,28.14,30.53,29.32,33.66,33.51,23.29,32.03,31.10,32.00,34.61,35.73,36.22,39.22,32.71,29.61,25.54,21.79,23.42,23.68,22.80,-,21.74
P/OCF Ratio,-,4362.70,78.14,76.69,24.26,27.20,27.68,27.01,45.42,45.67,37.63,29.37,20.68,22.60,22.56,25.43,25.34,17.51,23.36,22.98,24.03,26.05,27.88,28.69,31.78,26.84,24.07,20.84,17.61,18.66,19.03,18.12,-,17.57
Debt / Equity Ratio,4.09,0,0,3.87,3.87,1.56,1.55,1.57,1.14,1.14,1.14,1.12,1.12,1.49,1.34,1.25,1.29,1.09,1.26,1.01,0.94,0.94,0.93,0.82,0.82,0.77,0.76,0.75,0.75,0.76,0.76,0.84,0,0
Quick Ratio,0.12,0,0,0.11,0.09,2.02,1.52,0.91,0.89,0.76,0.87,0.60,1.05,0.85,0.47,0.40,0.63,0.72,3.17,2.28,3.62,2.84,1.98,2.80,4.24,3.88,1.87,1.46,2.15,1.70,1.96,2.23,0,0
Current Ratio,0.22,0,0,0.22,0.21,4.14,3.10,1.79,2.36,2.64,1.85,1.39,2.12,1.82,1.40,1.17,1.54,1.15,4.18,3.10,2.76,2.28,1.69,2.76,4.23,3.89,2.02,1.58,2.29,2.33,2.57,2.66,0,0
Asset Turnover,,0.02,0,0,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Interest Coverage,0.49,0.73,0.71,0.73,0.74,0.19,0.95,0.87,0.90,0.87,0.88,0.93,1.18,1.17,1.17,1.15,1.28,1.41,1.36,1.26,1.28,1.56,1.65,1.73,1.89,2.06,2.20,2.11,2.09,2.20,2.24,1.92,0,0
Return on Equity (ROE),,-,-,-1.04%,-4.54%,-4.00%,-2.56%,-1.89%,-1.93%,-1.05%,-0.95%,-1.19%,-0.92%,-0.07%,0.40%,1.07%,1.46%,1.77%,2.20%,2.15%,2.14%,2.30%,2.37%,2.57%,2.71%,2.66%,2.91%,3.39%,3.46%,3.72%,4.02%,4.27%,4.79%,-
Return on Assets (ROA),,-,-,-0.20%,-0.91%,-0.80%,-0.98%,-0.72%,-0.73%,-0.48%,-0.43%,-0.54%,-0.42%,-0.03%,0.18%,0.48%,0.67%,0.83%,0.99%,1.00%,1.00%,1.12%,1.16%,1.26%,1.41%,1.41%,1.60%,1.87%,1.91%,2.07%,2.22%,2.36%,2.52%,-
Return on Capital (ROIC),,-,-,0.52%,1.92%,2.18%,1.82%,2.95%,2.96%,1.56%,1.93%,1.56%,7.39%,7.28%,7.55%,7.83%,2.02%,2.59%,2.67%,2.69%,2.75%,2.81%,3.06%,3.17%,3.20%,3.26%,3.16%,3.34%,3.46%,3.54%,3.89%,3.43%,2.79%,-
Earnings Yield,-0.64%,-0.17%,-0.33%,-0.36%,-0.44%,-0.37%,0.08%,-0.32%,-0.38%,-0.15%,-0.12%,0.01%,0.24%,0.16%,0.28%,0.21%,0.32%,0.43%,0.28%,0.21%,0.42%,0.32%,0.28%,0.31%,0.27%,0.38%,0.51%,0.38%,0.55%,0.63%,0.65%,0.68%,-,1.95%
FCF Yield,-0.14%,1.10%,1.09%,1.26%,-0.14%,0.88%,1.26%,1.22%,-0.27%,0.83%,1.24%,1.33%,0.10%,1.29%,1.00%,1.05%,0.16%,1.19%,1.15%,1.19%,0.16%,1.13%,0.91%,1.21%,0.29%,0.80%,1.23%,1.41%,0.35%,1.40%,1.08%,1.86%,0.00%,4.60%
Dividend Yield,0.85%,0.00%,0.00%,0.00%,0.00%,22.05%,0.00%,0.36%,0.20%,0.48%,0.48%,0.49%,0.55%,0.54%,0.49%,0.44%,0.43%,0.71%,0.54%,0.54%,0.50%,0.54%,0.46%,0.44%,0.38%,0.55%,0.62%,0.65%,0.74%,0.84%,0.76%,0.82%,-,3.42%
Payout Ratio,-132.67%,0.00%,0.00%,0.00%,-0.51%,-5879.59%,0.00%,-110.31%,-54.27%,-328.35%,-406.63%,6985.80%,229.36%,328.08%,175.97%,209.62%,134.71%,164.03%,190.92%,258.74%,119.71%,169.77%,160.35%,142.22%,136.56%,145.92%,121.81%,169.96%,133.89%,133.30%,115.52%,120.84%,0.00%,177.78%
Buyback Yield / Dilution,,-,-,-,-,-,-3.16%,-3.36%,-3.13%,-72.01%,-66.74%,-66.68%,-67.47%,-0.23%,-0.41%,-1.04%,-3.24%,-3.97%,-4.23%,-4.56%,-4.31%,-4.44%,-4.58%,-3.52%,-2.97%,-6.06%,-6.87%,-7.44%,-5.89%,-2.06%,-0.77%,-0.28%,-0.15%,-
Total Shareholder Return,0.85%,-,-,-,0.00%,18.89%,-3.36%,-2.77%,-71.80%,-66.26%,-66.21%,-66.98%,0.32%,0.12%,-0.56%,-2.79%,-3.53%,-3.53%,-4.02%,-3.78%,-3.93%,-4.05%,-3.06%,-2.53%,-5.69%,-6.32%,-6.82%,-5.24%,-1.32%,0.07%,0.48%,0.67%,-,3.42%
