,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"1,637",771,895.1,896,"1,661",734.3,848.9,874.3,"1,503",673.4,672.6,891.6,"1,098",775,657.6,704.9,790.9,597.3,493.2,"1,860",673.4,630.5,614,520.5,"1,192","1,554","1,085","1,628","2,509","2,015","2,341","2,490","3,270","2,402","1,983","1,768","2,545","1,678","1,628","1,575"
Short-Term Investments,5.3,5.6,6.3,6.4,6.6,6.9,6.7,6.9,6.8,6.9,2.8,3,0,3.1,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,102.8,101.8
Cash & Cash Equivalents,"1,642",776.6,901.4,902.4,"1,667",741.2,855.6,881.2,"1,510",680.3,675.4,894.6,"1,098",778.1,660.8,704.9,790.9,597.3,493.2,"1,860",673.4,630.5,614,520.5,"1,192","1,554","1,085","1,628","2,509","2,015","2,341","2,490","3,270","2,402","1,983","1,768","2,546","1,678","1,731","1,677"
Cash Growth,-36.62%,-52.96%,-44.31%,-10.16%,1.53%,-4.56%,-5.08%,-2.35%,-9.45%,-8.22%,-21.06%,1.52%,-27.30%,14.38%,-2.16%,-21.21%,-27.94%,-23.24%,-25.36%,163.90%,-14.86%,5.56%,24.49%,-72.02%,77.04%,146.47%,76.78%,212.78%,110.45%,29.68%,115.64%,52.95%,30.33%,19.20%,-15.26%,-28.98%,-22.13%,-30.15%,-12.73%,-5.18%
Receivables,"6,102","5,706","6,071","5,597","5,801","5,279","5,429","5,439","5,955","5,493","5,655","5,558","5,908","5,384","5,483","5,438","6,332","5,924","6,194","6,005","7,027","6,105","6,367","6,067","7,143","5,576","4,610","5,115","6,467","5,283","5,937","6,193","7,525","6,335","6,248","6,279","7,339","5,947","6,386","6,464"
Other Current Assets,340.1,399.2,429.3,402,342.2,367.1,352.7,349.1,228,312.6,294.6,280.5,432.6,427.2,342.8,320.5,352.2,442.6,458.9,465.3,482.3,511.6,494.3,463,435.2,467.2,518.6,541.7,391.5,471.9,504.9,450,436.9,532.5,529.5,487.5,439.8,546.3,524.2,504.4
Total Current Assets,"8,084","6,882","7,402","6,901","7,810","6,388","6,637","6,669","7,693","6,486","6,625","6,733","7,438","6,590","6,487","6,464","7,476","6,964","7,146","8,331","8,183","7,247","7,475","7,050","8,771","7,597","6,214","7,284","9,368","7,770","8,783","9,133","11,232","9,270","8,761","8,535","10,325","8,171","8,641","8,645"
"Property, Plant & Equipment",540,534.3,537.1,530.2,548.2,523.3,526.4,519.2,567.2,565.1,569.7,581.6,622,616.3,635,637.5,650.4,634.2,602,602.9,790.9,"2,123","2,364","2,332","2,353","2,278","2,154","2,260","2,070","2,028","1,995","2,183","2,220","2,161","2,088","2,025","1,915","1,879","1,870","1,810"
Goodwill and Intangibles,"3,629","3,663","3,715","3,686","3,669","3,595","3,626","3,591","3,609","3,682","3,662","3,715","3,674","3,704","3,753","3,800","3,961","3,840","3,788","3,785","5,971","5,960","5,936","5,880","5,909","5,817","5,811","5,825","5,879","5,848","5,837","5,784","5,756","5,725","5,655","5,578","5,869","5,859","5,864","5,819"
Other Long-Term Assets,652,679.9,686.2,660.9,709,694.4,709.2,694.8,716.3,783.9,776.6,809.4,750.8,788.6,803.6,814.9,617.7,802.7,821.9,795,675.9,720.7,751.8,736.2,720,736.8,718.5,705.7,726.4,703.4,707.7,705.5,701,724.9,745.4,737.5,736.2,754.5,734.4,753.6
Total Long-Term Assets,"4,821","4,877","4,938","4,878","4,926","4,813","4,862","4,805","4,892","5,031","5,009","5,106","5,047","5,108","5,192","5,252","5,229","5,277","5,212","5,183","7,437","8,803","9,052","8,948","8,981","8,832","8,683","8,790","8,675","8,580","8,539","8,672","8,677","8,611","8,488","8,340","8,520","8,493","8,469","8,382"
Total Assets,"12,905","11,759","12,340","11,778","12,737","11,200","11,499","11,474","12,585","11,517","11,634","11,840","12,485","11,698","11,678","11,716","12,705","12,240","12,358","13,513","15,620","16,050","16,527","15,998","17,752","16,429","14,897","16,075","18,043","16,350","17,322","17,805","19,909","17,881","17,249","16,875","18,845","16,664","17,110","17,027"
Accounts Payable,"6,914","6,049","6,415","5,875","6,558","5,469","5,670","5,753","6,689","5,785","5,858","6,026","6,304","5,673","5,872","5,561","6,420","5,467","5,739","5,515","6,698","5,734","6,022","5,656","7,205","5,560","4,328","5,106","7,270","5,862","6,606","6,844","8,960","7,245","6,861","6,536","8,235","6,461","6,573","6,448"
Current Debt,532.7,524.3,128.6,130.5,109.3,137.7,160,130.3,134.8,133.7,236.2,157.5,409.6,634.9,539.4,813.7,86.9,801.5,757.7,82.7,73.8,535.5,468.4,509.7,821.6,"1,070",813.4,816.5,819,814.7,827.7,814.6,314,330,301.3,294.2,280.8,262.9,524,529.7
Other Current Liabilities,718.4,587.4,594.8,638.8,796,618.7,603.8,688.9,760.3,620.6,588.4,631.7,992.8,683.2,534.8,571.5,"1,168","1,054","1,089","1,094","1,352","1,262","1,241","1,233","1,393","1,166","1,225","1,306","1,492","1,308","1,363","1,390","1,616","1,379","1,300","1,339","1,467","1,237","1,258","1,348"
Total Current Liabilities,"8,165","7,160","7,138","6,644","7,463","6,225","6,434","6,573","7,584","6,539","6,682","6,815","7,706","6,991","6,946","6,946","7,675","7,323","7,585","6,692","8,124","7,531","7,731","7,398","9,420","7,796","6,367","7,228","9,581","7,985","8,797","9,049","10,890","8,954","8,463","8,169","9,983","7,960","8,355","8,326"
Long-Term Debt,"1,130","1,131","1,630","1,627","1,613","1,621","1,623","1,621","1,610","1,610","1,584","1,583","1,281","1,282","1,283","1,285","1,286","1,288","1,283","3,261","3,660","4,887","5,027","4,802","4,202","4,798","4,759","4,883","4,357","4,321","4,287","4,444","4,485","4,437","4,375","4,312","4,251","4,213","4,232","4,163"
Other Long-Term Liabilities,"1,110","1,047","1,103","1,136","1,252","1,167","1,200","1,162","1,137","1,147","1,094","1,219","1,189","1,188","1,193","1,207","1,245","1,242","1,232","1,230","1,236","1,115","1,122","1,109","1,140","1,105","1,125","1,051","1,068","1,037","1,054","1,018",929.8,933,913.3,927.7,866.7,832.3,731.1,760.2
Total Long-Term Liabilities,"2,240","2,178","2,733","2,763","2,865","2,788","2,823","2,783","2,747","2,757","2,677","2,802","2,470","2,470","2,476","2,492","2,531","2,530","2,515","4,492","4,896","6,003","6,149","5,911","5,341","5,903","5,884","5,933","5,425","5,358","5,342","5,462","5,414","5,370","5,288","5,240","5,118","5,046","4,963","4,923"
Total Liabilities,"10,405","9,338","9,871","9,407","10,328","9,013","9,256","9,356","10,331","9,297","9,360","9,617","10,176","9,460","9,423","9,438","10,206","9,853","10,100","11,183","13,020","13,534","13,880","13,309","14,762","13,699","12,251","13,161","15,006","13,343","14,138","14,511","16,304","14,324","13,751","13,409","15,101","13,006","13,319","13,250"
Total Debt,"1,663","1,655","1,759","1,757","1,722","1,758","1,783","1,752","1,745","1,744","1,820","1,741","1,690","1,917","1,823","2,099","1,373","2,090","2,040","3,344","3,734","5,423","5,495","5,311","5,023","5,868","5,573","5,699","5,176","5,136","5,115","5,259","4,799","4,767","4,676","4,606","4,532","4,476","4,756","4,693"
Debt Growth,-32.13%,-25.89%,-22.17%,5.26%,3.59%,6.24%,1.38%,-0.32%,1.33%,-0.84%,2.08%,-0.62%,-3.14%,9.93%,0.15%,20.56%,-18.80%,9.02%,11.96%,59.34%,172.06%,159.50%,169.33%,58.82%,34.52%,8.20%,1.41%,7.30%,3.04%,-12.47%,-8.21%,-7.72%,-7.29%,-7.18%,-8.58%,-12.41%,-5.56%,-6.10%,1.72%,1.88%
Common Stock,"1,762","1,745","1,707","1,663","1,570","1,551","1,518","1,464","1,374","1,350","1,318","1,258","1,175","1,121","1,082",996.3,934.8,888.8,888.4,904.8,934.2,941.9,960,979.7,"1,016","1,020","1,035","1,067","1,138","1,147","1,172","1,191","1,266","1,183","1,114","1,057",976.2,857.8,826.2,751.6
Retained Earnings,864.5,805,865.5,915.2,"1,183","1,126","1,202","1,226","1,438","1,379","1,475","1,547","1,804","1,751","1,775","1,850","2,105","2,011","2,077","2,158","2,400","2,303","2,382","2,456","2,690","2,591","2,444","2,623","2,637","2,623","2,778","2,909","3,154","3,197","3,312","3,450","3,632","3,638","3,783","3,911"
Comprehensive Income,-411.2,-410.9,-383.1,-495.2,-636.7,-764.7,-735.8,-826.2,-845.6,-787.5,-797.3,-862.8,-962.5,-909.4,-874.2,-832.7,-827.8,-790.8,-903.4,-925.3,-941.1,-929.7,-917.9,-966.2,-930,"-1,078.7","-1,029.1",-967.8,-880.2,-896.3,-886.3,-928.4,-894.2,-892.3,-988.9,"-1,102.6",-960.4,-936.6,-922.7,-982.5
Shareholders' Equity,"2,215","2,139","2,189","2,083","2,116","1,913","1,984","1,864","1,966","1,942","1,996","1,941","2,017","1,963","1,983","2,013","2,212","2,109","2,062","2,138","2,393","2,315","2,424","2,469","2,776","2,533","2,450","2,723","2,895","2,874","3,063","3,171","3,526","3,487","3,437","3,405","3,648","3,559","3,686","3,680"
Net Cash / Debt,-20.4,-878.4,-857.1,-854.9,-55,"-1,017.1",-927.2,-870.4,-235.4,"-1,063.3","-1,144.4",-846.2,-592.7,"-1,138.7","-1,161.7","-1,393.8",-581.6,"-1,492.4","-1,547.2","-1,483.9","-3,060.6","-4,792.3","-4,881.4","-4,790.7","-3,830.9","-4,313.6","-4,487.4","-4,071.1","-2,666.8","-3,120.5","-2,774.5","-2,769","-1,528.6","-2,364.7","-2,692.7","-2,838","-1,985.2","-2,798.2","-3,025.4","-3,016.2"
Net Cash Per Share,-0.05,-2.08,-2.00,-2.00,-0.13,-2.47,-2.22,-2.09,-0.57,-2.60,-2.79,-2.07,-1.46,-2.85,-2.90,-3.51,-1.48,-3.89,-3.97,-3.82,-7.83,-12.46,-12.48,-12.23,-9.73,-11.01,-11.52,-10.34,-6.75,-7.88,-6.95,-6.93,-3.83,-5.94,-6.79,-7.20,-5.07,-7.22,-7.80,-7.82
Working Capital,-81.3,-278.3,263.4,256.6,346.9,162.6,203.8,96.2,108.8,-53.4,-56.9,-81.9,-268,-401.2,-459.7,-482.5,-199.8,-359,-439.7,"1,639",59,-284.1,-255.9,-348.4,-649.7,-199.2,-152.2,56.4,-212.9,-214.3,-14.2,83.9,341.8,315.8,298.1,365.7,342,210.9,285.7,319.2
Book Value Per Share,5.21,5.06,5.20,4.97,5.11,4.65,4.83,4.57,4.87,4.85,4.99,4.88,5.13,5.01,5.05,5.17,5.75,5.50,5.38,5.59,6.24,6.02,6.28,6.38,7.17,6.53,6.29,6.99,7.41,7.34,7.79,8.06,8.96,8.84,8.74,8.72,9.40,9.23,9.56,9.59
