,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,342.38,374.79,427.24,432.09,686.26,489.59,516.32,506.04,760.81,969.35
Depreciation & Amortization,253.38,294.5,339.61,361.51,383.52,435.89,538.66,573.36,612.23,728.32
Share-Based Compensation,32.35,35.33,37.23,40.63,38.29,47.37,53.32,60.7,61.51,77.54
Other Operating Activities,-53.77,-57.84,69.23,19.92,-252.92,114.99,-9.96,-17.23,-210.64,1.68
Operating Cash Flow,574.35,646.78,873.31,854.14,855.15,"1,088","1,098","1,123","1,224","1,777"
Operating Cash Flow Growth,4.80%,12.61%,35.02%,-2.19%,0.12%,27.21%,0.97%,2.23%,9.00%,45.18%
Capital Expenditures,-442.5,-659.71,-556.44,-485.26,-510.52,-885.49,-688.2,-600.77,-877.02,"-1,431.9"
Acquisitions,0,0,0,0,-136.88,0,-115.65,-12.14,0,-118.18
Other Investing Activities,-0.04,0.03,-20.1,-0.13,-3.89,-1.29,-0.11,-0.05,-,-
Investing Cash Flow,-442.54,-659.68,-576.53,-485.39,-651.28,-886.77,-803.96,-612.96,-877.02,"-1,550.07"
Dividends Paid,-52.81,-93.6,-97.36,-98.99,-101.36,-104.99,-111.82,-114.23,-124.44,-166.72
Share Issuance / Repurchase,-123.28,-141.1,-284.15,-267.06,-197.93,-169.9,-292.18,-119.39,-180.19,-331.21
Debt Issued / Paid,22.58,231.09,71.46,-8.94,103.65,66.82,137.01,2.02,0,-32.5
Other Financing Activities,21.95,16.65,12.88,7.04,-,-,-,-,-,-
Financing Cash Flow,-131.57,13.03,-297.17,-367.94,-195.64,-208.08,-266.99,-231.6,-304.63,-530.43
Net Cash Flow,0.24,0.13,-0.4,0.81,8.24,-7.01,27.4,278.3,42.25,-303.62
Free Cash Flow,131.85,-12.93,316.87,368.89,344.64,202.36,410.15,522.09,346.88,344.99
Free Cash Flow Growth,-26.08%,-,-,16.42%,-6.57%,-41.28%,102.69%,27.29%,-33.56%,-0.55%
Free Cash Flow Margin,2.36%,-0.21%,5.12%,5.63%,4.79%,2.35%,4.48%,5.42%,2.85%,2.33%
Free Cash Flow Per Share,1.12,-0.11,2.74,3.28,3.13,1.85,3.82,4.94,3.29,3.31
