,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,91.86,68.66,93.41,102.41,110.31,91.93,103.42,115.14,116.75,100.1,105.01,109.43,117.56,102.7,97.87,100.39,385.31,118.14,151.65,131.11,88.68,119.6,133.63,118.41,144.68,104.83,121.7,125.5,154.01,146.61,172.16,199.83,242.21,243.33,255.34,269.38,201.3,197.77,189.55,187.43
Depreciation & Amortization,66.08,68.97,71.73,75.42,78.39,81.38,83.66,86.2,88.37,88.35,90.36,91,91.79,92.19,93.05,95.96,102.32,105.58,107.42,108.8,114.09,128.41,133.74,137.31,139.2,141.51,142.44,142.95,146.46,149.84,152.49,153.67,156.23,167.22,178.18,189.17,193.75,198.66,203.96,212.64
Share-Based Compensation,8.75,9.97,8.84,7.31,9.21,10.13,10.57,6.31,10.22,10.97,11.94,7.26,10.45,11.17,11.94,7.84,7.34,12.04,13.97,11.18,10.19,13.57,14.73,13.85,11.17,18.06,16,14.59,12.04,14.97,16.5,15.95,14.09,19.14,20.44,20.15,17.8,19.25,20.6,20.67
Other Operating Activities,-3.57,11.44,-32.02,0.23,-37.49,72.1,0.35,35.77,-38.99,105.47,-38.08,2.14,-49.62,79.57,-45.04,-19.09,-268.36,25.86,-5.63,-2.52,97.29,-10.85,73.81,61.37,-134.3,-15.24,110.65,-12,-100.65,53.24,-37.06,-68.35,-158.49,-137.91,38.78,92.17,8.63,71.94,195.56,11.58
Operating Cash Flow,163.12,159.05,141.96,185.36,160.41,255.54,197.99,243.42,176.35,304.9,169.24,209.83,170.18,285.63,157.81,185.1,226.6,261.62,267.42,248.57,310.24,250.74,355.92,330.93,160.75,249.16,390.79,271.04,211.87,364.66,304.09,301.1,254.05,291.79,492.74,570.88,421.48,487.62,609.67,432.32
Operating Cash Flow Growth,24.80%,-23.08%,63.52%,57.55%,-1.66%,60.67%,39.48%,31.32%,9.93%,19.31%,-14.52%,-13.80%,-3.50%,-6.32%,-6.75%,-11.78%,33.16%,-8.41%,69.45%,34.29%,36.91%,-4.16%,33.10%,33.14%,-48.18%,-0.63%,9.80%,-18.10%,31.80%,46.35%,-22.19%,11.09%,19.91%,-19.98%,62.04%,89.60%,65.90%,67.12%,23.73%,-24.27%
Capital Expenditures,-108.88,-158.21,-194.64,-126.37,-180.49,-141.34,-157.9,-131.41,-125.78,-114.46,-143.5,-100.8,-126.5,-91.01,-74.09,-149.75,-195.68,-179.05,-175.09,-230.85,-300.51,-212.15,-263.19,-111.28,-101.59,-128.74,-135.88,-184.11,-152.05,-85.85,-174.86,-250.36,-365.94,-289.13,-308.97,-419.93,-413.87,-379.83,-473.95,-466.13
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-137.63,0.75,0,0,0,0,-98.54,0,0.31,-17.42,0,0,0,-12.14,0,0,0,0,-86.94,0,-31.16,-0.07,0,0,-85
Other Investing Activities,-0,-,0.01,0.01,0.01,-20,-0.1,0,-0,-0,-0.01,-0.01,-0.12,-3.47,0,-0.18,-0.25,-0.3,-0.99,0.02,-0.01,-0.02,-0.03,-0.03,-0.03,0.03,0.06,-0.04,-0.1,0,-0.09,0.01,0.08,-,-,-,-,-,-,-
Investing Cash Flow,-108.88,-158.21,-194.63,-126.36,-180.48,-161.34,-158,-131.41,-125.78,-114.46,-143.51,-100.81,-126.62,-94.47,-74.08,-287.55,-195.17,-179.34,-176.08,-230.83,-300.52,-310.7,-263.22,-111,-119.05,-128.71,-135.82,-184.15,-164.29,-85.85,-174.95,-250.36,-365.86,-376.07,-308.97,-451.1,-413.94,-379.83,-473.95,-551.13
