,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31,2017-08-31,2017-11-30,2018-02-28,2018-05-31,2018-08-31,2018-11-30,2019-02-28,2019-05-31,2019-08-31,2019-11-30,2020-02-29,2020-05-31,2020-08-31,2020-11-30,2021-02-28,2021-05-31,2021-08-31,2021-11-30,2022-02-28,2022-05-31,2022-08-31,2022-11-30,2023-02-28,2023-05-31,2023-08-31,2023-11-30
Cash & Equivalents,675.13,"1,322","1,000",921.5,966.41,962.79,913.96,"1,130",883.22,886.99,912.06,747.42,755.1,743.93,"1,190",746.26,940.8,677.49,"1,258",804.41,749.06,694.09,"1,163",719.84,696.75,763.34,"1,394","1,108",838.1,"1,241","1,567","1,229","1,093","1,070","1,478","1,217","1,200","1,480","1,804","1,550"
Cash & Cash Equivalents,675.13,"1,322","1,000",921.5,966.41,962.79,913.96,"1,130",883.22,886.99,912.06,747.42,755.1,743.93,"1,190",746.26,940.8,677.49,"1,258",804.41,749.06,694.09,"1,163",719.84,696.75,763.34,"1,394","1,108",838.1,"1,241","1,567","1,229","1,093","1,070","1,478","1,217","1,200","1,480","1,804","1,550"
Cash Growth,-36.41%,-2.18%,-1.10%,19.80%,43.15%,-27.19%,-8.63%,22.66%,-8.61%,-7.87%,-0.21%,-33.88%,-14.51%,-16.13%,30.47%,-0.15%,24.59%,-8.93%,5.72%,7.79%,-20.38%,2.45%,-7.52%,-10.51%,-6.98%,9.98%,19.83%,53.86%,20.29%,62.54%,12.41%,10.96%,30.41%,-13.76%,-5.68%,-0.98%,9.79%,38.32%,22.06%,27.36%
Receivables,941.06,998.42,"1,209","1,585","1,269","1,208","1,467","1,674","1,449","1,297","1,360","1,520","1,434","1,445","1,397","1,535","1,550","1,587","1,693","2,778","2,544","2,697","2,745","3,596","2,314","2,580","2,848","3,652","3,063","3,228","3,141","3,917","3,229","3,193","3,995","4,498","3,715","3,599","3,647","3,693"
Inventory,"1,822","1,861","2,008","2,099","2,105","2,261","2,507","2,504","2,293","2,292","2,457","2,506","2,498","2,707","2,942","3,283","3,388","3,344","3,458","3,215","3,248","3,159","3,023","3,342","3,340","3,284","3,132","3,272","3,559","3,979","4,414","4,681","5,395","5,981","6,128","6,429","6,519","6,084","5,206","5,124"
Other Current Assets,"1,525",975.24,"1,142","1,132","1,001","1,071",977.84,"1,009",939.64,"1,056","1,120","1,310",949.61,997.75,"1,097","1,358","1,157","1,124","1,141","1,424","1,365","1,424","1,414","1,594","1,627","1,639","1,761","1,816","1,684","1,812","1,755","1,985","2,150","2,228","2,307","2,534","2,347","2,446","4,073","4,287"
Total Current Assets,"4,963","5,157","5,359","5,737","5,342","5,503","5,866","6,317","5,565","5,533","5,848","6,083","5,637","5,893","6,627","6,922","7,036","6,732","7,550","8,221","7,906","7,974","8,345","9,252","7,978","8,266","9,135","9,847","9,144","10,260","10,877","11,812","11,867","12,472","13,908","14,678","13,781","13,609","14,730","14,654"
"Property, Plant & Equipment","2,332","2,213","2,272","2,314","2,436","2,593","2,804","2,877","3,180","3,218","3,332","3,280","3,178","3,210","3,229","3,290","3,142","3,127","3,198","3,272","3,280","3,336","3,334","3,856","3,835","3,863","4,028","4,183","4,061","4,173","4,465","4,446","4,254","4,375","4,454","4,452","4,404","4,403","3,504","3,488"
Goodwill and Intangibles,625.28,617.62,627.7,620.94,618.59,658.97,745.92,783.45,896.44,893.62,891.73,878.2,877.1,896.53,892.78,931.49,927.6,919.82,906.88,896.12,901.74,890.68,879.11,919.24,935.57,922.25,907,905.43,924.05,914.25,897,886,895,878,862,858,852,887,763,838
Other Long-Term Assets,208.28,233.65,221.32,197.14,181.68,210.46,175.04,243.92,256.5,261.59,250.69,302.38,323.48,329.65,347.85,376.19,382.53,396.62,390.83,389.92,389.3,407.89,412.53,417.39,390.81,339.13,327,333.77,365.05,393.84,415,444,414,446,493,518,530,537,427,434
Total Long-Term Assets,"3,166","3,064","3,121","3,133","3,236","3,463","3,725","3,904","4,333","4,373","4,474","4,460","4,378","4,436","4,469","4,597","4,452","4,444","4,496","4,558","4,571","4,634","4,625","5,193","5,162","5,125","5,262","5,422","5,351","5,481","5,777","5,776","5,563","5,699","5,809","5,828","5,786","5,827","4,694","4,760"
Total Assets,"8,128","8,221","8,480","8,870","8,578","8,966","9,592","10,221","9,898","9,906","10,323","10,544","10,015","10,330","11,096","11,520","11,488","11,176","12,046","12,778","12,477","12,609","12,970","14,445","13,140","13,391","14,397","15,269","14,494","15,741","16,654","17,588","17,430","18,171","19,717","20,506","19,567","19,436","19,424","19,414"
Accounts Payable,"2,462","2,698","3,061","3,359","3,088","3,299","3,663","3,711","3,021","3,191","3,593","3,867","3,302","3,641","4,258","4,803","4,643","4,328","4,943","5,458","4,900","4,826","5,167","5,920","4,652","5,019","5,687","6,432","5,644","6,193","6,841","7,483","6,868","7,082","8,006","8,042","6,965","6,406","5,679","5,630"
Current Debt,160.84,69.89,12.96,11.49,11.26,11.37,322.97,348.31,538.29,359.89,45.81,43.2,47.32,538.99,444.26,427.02,27.16,273.5,25.2,25.19,175.19,454.83,375.18,473.82,737.87,502.02,161,169.35,160.86,163.32,108,611,615,116,419,429,451,426,104,96
Other Current Liabilities,"1,292","1,121","1,247","1,353","1,327","1,416","1,688","1,716","1,814","1,836","1,929","1,947","1,952","1,937","2,169","2,020","2,095","1,980","2,263","2,552","2,677","2,586","2,990","3,168","3,015","3,247","3,211","3,061","3,037","3,490","3,734","3,871","4,231","4,744","5,272","5,901","5,866","5,964","6,912","7,304"
Total Current Liabilities,"3,915","3,888","4,321","4,723","4,426","4,727","5,674","5,775","5,373","5,388","5,568","5,857","5,301","6,117","6,871","7,250","6,765","6,581","7,231","8,035","7,752","7,867","8,532","9,562","8,405","8,768","9,059","9,662","8,842","9,847","10,683","11,965","11,714","11,942","13,697","14,372","13,282","12,796","12,695","13,030"
Long-Term Debt,"1,675","1,673","1,670","1,666","1,663","1,660","1,336","1,818","1,811","1,791","2,074","2,068","2,056","1,645","1,606","1,693","2,181","2,175","2,494","2,488","2,482","2,477","2,121","2,454","2,398","2,400","2,980","3,003","2,986","3,180","3,211","2,782","2,781","3,279","2,992","2,997","2,982","3,260","3,144","3,145"
Other Long-Term Liabilities,217.47,230.37,228.7,226.69,225.67,248.19,246.5,226.08,228.83,216.13,223.11,227.08,230.98,224.98,251.04,231.72,247.37,233.39,357.89,349.6,383.5,397.52,416.33,579.93,577.16,577.76,533,610.14,563.98,574.45,623,634,597,593,576,607,629,643,718,703
Total Long-Term Liabilities,"1,893","1,903","1,898","1,893","1,888","1,908","1,582","2,045","2,040","2,007","2,297","2,295","2,287","1,870","1,857","1,925","2,429","2,409","2,851","2,838","2,866","2,874","2,538","3,034","2,975","2,977","3,513","3,614","3,550","3,755","3,834","3,416","3,378","3,872","3,568","3,604","3,611","3,903","3,862","3,848"
Total Liabilities,"5,808","5,791","6,219","6,616","6,314","6,635","7,257","7,820","7,413","7,395","7,865","8,152","7,588","7,987","8,728","9,175","9,194","8,990","10,082","10,873","10,618","10,742","11,070","12,596","11,381","11,746","12,572","13,276","12,392","13,602","14,517","15,381","15,092","15,814","17,265","17,976","16,893","16,699","16,557","16,878"
Total Debt,"1,836","1,742","1,683","1,678","1,674","1,671","1,659","2,167","2,350","2,151","2,120","2,111","2,103","2,184","2,050","2,120","2,209","2,449","2,519","2,513","2,658","2,932","2,496","2,928","3,136","2,902","3,141","3,173","3,147","3,344","3,319","3,393","3,396","3,395","3,411","3,426","3,433","3,686","3,248","3,241"
Debt Growth,4.13%,4.91%,-11.72%,-6.53%,-8.83%,-4.09%,-1.41%,29.14%,40.35%,28.70%,27.79%,-2.58%,-10.50%,1.52%,-3.28%,0.45%,5.03%,12.14%,22.85%,18.52%,20.33%,19.73%,-0.88%,16.49%,18.01%,-1.03%,25.82%,8.38%,0.34%,15.24%,5.67%,6.94%,7.92%,1.54%,2.77%,0.97%,1.09%,8.57%,-4.78%,-5.40%
Common Stock,"1,084","1,033",909.09,880.41,904.17,923.72,896.8,857,887.88,901.17,817.23,693.65,681.16,612.85,568,498.92,393.12,316.29,209.56,12.41,-105.67,-91.92,-66.8,-154.75,-199.18,-203.84,-196,-235.01,-274.58,-402.03,-527,-663,-768,-957,"-1,145","-1,298","-1,382","-1,521","-1,529","-2,054"
