,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,"4,893","5,568","5,128","4,489","5,452","5,776","6,270","4,908","5,046","5,728","5,812","6,250","5,975","6,549","6,262","3,781","8,238","7,880","7,948","6,642","8,753","9,192","8,606","8,091","2,433","4,265","9,015","11,698","13,851","11,496","11,229","9,927","8,282","8,649","9,737","11,008","12,622","14,472","13,151","10,663"
Depreciation & Amortization,"1,208","1,218","1,147","1,186","1,181","1,238","1,248","1,273","1,289","1,336","1,407","1,446","1,464","1,504","1,579","1,632","1,797","1,927","1,992","2,075","2,038","2,046","2,145","2,139","2,197","2,149","2,141","2,127","2,070","2,003","1,928","1,931","1,820","1,789","1,771","1,671","1,649",507,"2,019",0
Share-Based Compensation,618,524,539,509,565,510,464,448,519,554,487,380,601,525,491,453,706,580,522,514,653,570,559,474,644,802,521,484,904,743,618,664,806,819,684,485,870,834,782,"-2,486"
Other Operating Activities,"7,948","-11,681","-9,263","22,562","7,681","9,772","17,142","9,538","-28,237","-9,142","-3,514","30,835","-28,076","-1,566","-11,346","7,671","-45,850","25,298","2,727","-8,809","-92,324","-25,662","6,385","72,381","-126,046","76,524","-26,503","-42,361","-60,697",-712,"9,556","72,573","-52,825","54,761","-30,396","88,058","-126,382","3,052","29,167","-10,663"
Operating Cash Flow,"14,667","-4,371","-2,449","28,746","14,879","17,296","25,124","16,167","-21,383","-1,524","4,192","38,911","-20,036","7,012","-3,014","13,537","-35,109","35,685","13,189",422,"-80,880","-13,854","17,695","83,085","-120,772","83,740","-14,826","-28,052","-43,872","13,530","23,331","85,095","-41,917","66,018","-18,204","101,222","-111,241","18,865","45,119","-2,486"
Operating Cash Flow Growth,-26.53%,-,-,-,1.45%,-,-,-43.76%,-,-,-83.31%,140.68%,-,-,-,-65.21%,-,408.91%,-,-96.88%,-,-,34.16%,19588.39%,-,-,-,-,-,-83.84%,-,-,-,387.94%,-,18.95%,-,-71.42%,-,-
Capital Expenditures,0,"-22,409","13,378","-87,745","-36,481","89,790","-8,911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acquisitions,0,-19,43,819,"1,272",-9,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change in Investments,"-63,454","-54,976","-78,242","-68,421","-56,631","-59,646","-36,061","-47,661","-48,398","-52,085","-55,483","-88,896","-48,882","-71,473","-58,640","-79,544","-47,546","-33,737","-40,068","-69,521","-63,716","-111,032","-124,273","-82,359","-197,819","-148,480","-105,937","-186,102","-236,925","-116,234","-114,338","-156,764","-96,354","-76,418","-58,201","-101,362","-84,941","-78,740","-78,769",-
Other Investing Activities,"-4,956","47,876","67,129","85,341","67,690","71,486","47,231","74,919","13,817","34,602","-4,555","86,049","21,845","61,431","73,377","91,603","2,525","39,784","39,260","-88,690","100,017","102,155","58,668","66,527","62,669","100,013","91,348","122,396","252,316","133,932","52,063","56,606","23,746","23,215","97,723","49,832","108,735","60,497","60,979",-
Investing Cash Flow,"-68,410","-29,528","2,308","-70,006","-24,150","101,621","2,251","27,258","-34,581","-17,483","-60,038","-2,847","-27,037","-10,042","14,737","12,059","-45,021","6,047",-808,"-158,211","36,301","-8,877","-65,605","-15,832","-135,150","-48,467","-14,589","-63,706","15,391","17,698","-62,275","-100,158","-72,608","-53,203","39,522","-51,530","23,794","-18,243","-17,790",0
Dividends Paid,"-1,554","-1,806","-1,718","-1,912","-1,770","-1,964","-1,944","-2,195","-1,946","-2,174","-2,069","-2,287","-2,045","-2,341","-2,092","-2,515","-2,236","-2,480","-2,273","-3,120","-3,033","-3,048","-2,975","-3,287","-3,188","-3,154","-3,209","-3,139","-3,193","-3,121","-3,158","-3,386","-3,430","-3,344","-3,412","-3,376","-3,374","-3,277","-3,386",0
Common Stock Issued,"3,895","60,232","13,468","59,767","1,392","-83,896","8,555","-10,470","76,807","41,123","83,253","-7,770","74,431","32,400","13,569","3,952","100,559","-20,746","27,651","34,513","1,850","17,224","68,013","-31,380","4,500",0,0,0,"1,500","-8,577","119,984","14,696",0,0,0,0,0,"-32,249","15,057",0
Share Repurchases,-386,"-1,375","-1,489","-1,510","-1,900","-1,249","-1,248","-1,219","-1,696","-2,840","-2,295","-2,251","-2,832","-3,007","-4,763","-6,066","-4,671","-4,968","-4,416","-7,624","-6,016","-5,210","-7,829","-9,021","-7,947",0,0,0,"-4,806","-8,769","-5,286","-2,122","-4,455",-707,"2,000","-5,434","-2,690","-2,477","-2,382",0
Other Financing Activities,"37,591","-24,683","-14,614","-15,198","2,815","-33,155","-37,943","-32,552","-22,973","-21,214","-25,939","-25,622","-31,613","-28,760","-27,746","-29,266","-42,405","-28,565","-27,241","-21,178","64,602","-32,352","-33,330","-37,373","353,046","92,285","22,460","129,097","215,798","-35,014","-25,065","-15,454","131,747","-81,165","-27,471","-144,402","65,241","-16,866","-18,369",-
Financing Cash Flow,"40,318","35,118","-1,375","44,167","4,337","-117,766","-30,084","-43,998","53,584","20,575","57,540","-33,428","43,605","4,306","-11,506","-21,763","60,589","-46,823","2,553","17,839","69,435","-12,966","39,537","-63,019","362,305","89,131","19,251","125,958","218,911","-37,943","97,047","-2,022","132,772","-83,802","-32,883","-142,344","64,557","-49,915","-4,316",0
Net Cash Flow,"-13,450","1,202","-2,151","2,459","-5,010","1,274","-2,837",-768,"-2,278","1,498","1,680","2,483","-3,389","1,297",213,"3,833","-16,492","-9,632","13,917","-140,304","23,811","-34,566","-11,441","7,034","103,903","126,195","-6,207","40,087","183,463","-5,651","54,448","-19,035","13,698","-85,272","-25,073","-76,953","-21,234","-50,877",0,"-2,486"
Free Cash Flow,"14,667","-26,780","10,929","-58,999","-21,602","107,086","16,213","16,167","-21,383","-1,524","4,192","38,911","-20,036","7,012","-3,014","13,537","-35,109","35,685","13,189",422,"-80,880","-13,854","17,695","83,085","-120,772","83,740","-14,826","-28,052","-43,872","13,530","23,331","85,095","-41,917","66,018","-18,204","101,222","-111,241","18,865","45,119","-2,486"
Free Cash Flow Growth,-,-,-,-,-,-,48.35%,-,-,-,-74.14%,140.68%,-,-,-,-65.21%,-,408.91%,-,-96.88%,-,-,34.16%,19588.39%,-,-,-,-,-,-83.84%,-,-,-,387.94%,-,18.95%,-,-71.42%,-,-
Free Cash Flow Margin,65.58%,-111.65%,46.09%,-269.28%,-93.49%,468.09%,73.37%,76.55%,-99.85%,-6.63%,17.91%,172.85%,-84.81%,29.37%,-12.49%,58.54%,-131.29%,134.44%,50.13%,1.73%,-293.25%,-50.20%,63.70%,309.36%,-603.83%,370.50%,-51.76%,-89.84%,-120.45%,41.30%,74.84%,278.65%,-143.29%,222.93%,-58.39%,313.78%,-308.37%,52.83%,117.53%,-6.44%
