,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2021-01-02,2021-04-03,2021-07-03,2021-10-02,2022-01-01,2022-04-02,2022-07-02,2022-10-01,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-30
Cash & Equivalents,284,290,426,443,349,294,299,251,310,531,346,280,298,334,267,281,370,257,309,321,272,340,453,397,"1,016","1,047","1,329",435,391,395,440,286,313,323,373,299,347,308,"1,099",274
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,250,391,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,284,290,426,443,349,294,299,251,310,531,346,280,298,334,267,281,370,257,309,321,272,340,453,397,"1,016","1,247","1,579",435,391,395,440,286,313,323,373,299,347,308,"1,099",274
Cash Growth,12.70%,10.69%,42.00%,62.27%,22.89%,1.38%,-29.81%,-43.34%,-11.17%,80.61%,15.72%,11.55%,-3.87%,-37.10%,-22.83%,0.36%,24.16%,-23.05%,15.73%,14.23%,-26.49%,32.30%,46.60%,23.68%,273.53%,266.76%,248.57%,9.57%,-61.52%,-68.32%,-72.13%,-34.25%,-19.95%,-18.23%,-15.23%,4.55%,10.86%,-4.64%,194.64%,-8.36%
Receivables,"1,605","1,544","1,565","1,276","1,503","1,420","1,457","1,344","1,505","1,473","1,523","1,231","1,464","1,427","1,512","1,389","1,601","1,530","1,612","1,375","1,633","1,643","1,643","1,576","1,748","1,692","1,626","1,537","1,660","1,659","1,680","1,489","1,687","1,884","1,985","1,736","1,820","1,930","1,876","1,568"
Inventory,"1,277","1,303","1,208","1,279","1,199","1,211","1,210","1,250","1,198","1,216","1,220","1,238","1,195","1,201","1,195","1,217","1,214","1,291","1,319","1,330","1,319","1,234","1,200","1,226","1,189","1,230","1,263","1,284","1,319","1,365","1,378","1,398","1,559","1,678","1,682","1,768","1,801","1,706","1,632","1,243"
Other Current Assets,338,354,373,336,390,401,387,391,206,201,207,191,189,205,198,149,135,189,163,131,149,287,196,232,337,323,285,-165,269,328,301,221,257,376,404,383,356,344,379,245
Total Current Assets,"3,504","3,491","3,572","3,334","3,441","3,326","3,353","3,236","3,219","3,421","3,296","2,940","3,146","3,167","3,172","3,036","3,320","3,267","3,403","3,157","3,373","3,504","3,492","3,431","4,290","4,492","4,753","3,482","3,639","3,747","3,799","3,394","3,816","4,261","4,444","4,186","4,324","4,288","4,986","3,330"
"Property, Plant & Equipment","3,851","3,879","3,790","3,769","3,719","3,624","3,594","3,621","3,617","3,543","3,558","3,569","3,576","3,613","3,629","3,716","3,713","3,638","3,639","3,731","4,171","3,941","3,957","4,153","4,036","4,098","4,141","4,371","4,277","4,327","4,404","4,467","4,454","4,299","4,172","4,406","4,397","4,388","4,367","3,873"
Long-Term Investments,-400,-357,-431,-476,-510,-468,454,456,465,435,438,438,440,435,432,429,425,421,422,413,410,407,405,404,402,399,398,391,397,394,423,424,425,426,427,432,434,323,194,184
Goodwill,"5,049","5,055","5,021","4,971","4,993","4,978","4,988","4,968","4,974","4,963","4,971","5,166","5,084","5,127","5,135","5,504","5,514","6,072","6,055","6,050","6,054","5,871","5,842","5,861","5,772","5,768","5,780","5,799","5,768","5,783","5,794","5,771","5,783","5,744","5,691","5,686","5,690","5,517","5,496","5,160"
Intangible Assets,"2,369","2,361","2,327","2,295","2,282","2,266","2,281","2,268","2,293","2,282","2,287","2,369","2,442","2,423","2,442","2,639","2,650","3,391","3,372","3,361","3,349","2,587","2,572","2,576","2,503","2,486","2,498","2,491","2,449","2,454","2,441","2,409","2,409","2,360","2,302","2,296","2,297","2,091","2,065","1,930"
Other Long-Term Assets,"1,355","1,384","1,493","1,233","1,283","1,236",848,716,729,743,769,629,739,770,831,"1,026","1,080","1,112","1,223","1,068","1,108","2,359","1,231","1,139","1,237","1,308","1,352","1,462","1,534","1,508","1,546","1,713","1,725","1,847","1,980","1,490","1,488","1,494","1,587","1,144"
Total Long-Term Assets,"12,224","12,322","12,200","11,792","11,767","11,636","12,165","12,029","12,078","11,966","12,023","12,171","12,281","12,368","12,469","13,314","13,382","14,634","14,711","14,623","15,092","15,165","14,007","14,133","13,950","14,059","14,169","14,514","14,425","14,466","14,608","14,784","14,796","14,676","14,572","14,310","14,306","13,813","13,709","12,291"
Total Assets,"15,728","15,813","15,772","15,126","15,208","14,962","15,518","15,265","15,297","15,387","15,319","15,111","15,427","15,535","15,641","16,350","16,702","17,901","18,114","17,780","18,465","18,669","17,499","17,564","18,240","18,551","18,922","17,996","18,064","18,213","18,407","18,178","18,612","18,937","19,016","18,496","18,630","18,101","18,695","15,621"
Accounts Payable,"1,383","1,462","1,466","1,528","1,537","1,591","1,610","1,907","1,926","1,988","1,986","2,014","1,995","2,057","2,140","2,269","2,230","2,306","2,367","2,427","2,370","2,401","2,338","2,387","2,329","2,393","2,449","2,471","2,476","2,491","2,526","2,573","2,705","2,866","2,871","2,973","2,900","2,810","2,789","2,314"
Deferred Revenue,155,169,207,726,170,161,193,685,447,477,459,801,456,401,411,363,0,0,752,730,755,778,589,596,592,597,587,562,775,802,613,"1,014",0,866,923,150,0,"1,093","1,191",0
Current Debt,"2,252","1,465","1,686","1,435","1,169","1,693","2,119","2,470","1,982","1,924","1,592","1,069","1,261","1,135",982,779,877,331,208,686,"1,222","1,179",296,841,"1,395","1,632","1,653",846,"1,153",695,641,965,"1,465","1,296","1,101","1,368","1,151","1,774","1,673",905
Other Current Liabilities,"1,283","1,199","1,303",669,"1,135","1,074","1,150",677,807,882,964,590,"1,020","1,095","1,114","1,068","1,408","1,329",703,686,631,631,"1,166",954,"1,279","1,234","1,345","1,359",981,958,"1,249",763,"1,678","1,023","1,138","1,858","1,950",799,871,"1,841"
Total Current Liabilities,"5,073","4,295","4,662","4,358","4,011","4,519","5,072","5,739","5,162","5,271","5,001","4,474","4,732","4,688","4,647","4,479","4,515","3,966","4,030","4,529","4,978","4,989","4,389","4,778","5,595","5,856","6,034","5,238","5,385","4,946","5,029","5,315","5,848","6,051","6,033","6,349","6,001","6,476","6,524","5,060"
Long-Term Debt,"5,413","6,029","5,963","5,935","6,561","5,800","5,830","5,289","6,256","6,277","6,296","6,698","6,715","7,123","7,216","7,836","7,881","8,737","8,715","8,207","8,522","8,583","8,049","7,628","7,637","7,461","7,523","7,266","7,157","7,546","7,523","6,764","6,489","6,340","6,175","5,803","6,236","5,556","6,001","5,621"
Other Long-Term Liabilities,"1,670","1,676","1,702","1,982","1,984","1,969","1,943","2,099","1,838","1,839","1,822","2,013","1,958","1,874","1,835","1,807","1,752","1,794","1,754","1,885","1,868","1,885","1,773","1,844","1,796","1,828","1,779","1,856","1,867","1,841","1,846","1,884","1,980","1,988","2,070","1,969","1,914","1,848","1,893","1,571"
Total Long-Term Liabilities,"7,083","7,705","7,665","7,917","8,545","7,769","7,773","7,388","8,094","8,116","8,118","8,711","8,673","8,997","9,051","9,643","9,633","10,531","10,469","10,092","10,390","10,468","9,822","9,472","9,433","9,289","9,302","9,122","9,024","9,387","9,369","8,648","8,469","8,328","8,245","7,772","8,150","7,404","7,894","7,192"
Total Liabilities,"12,156","12,000","12,327","12,275","12,556","12,288","12,845","13,127","13,256","13,387","13,119","13,185","13,405","13,685","13,698","14,122","14,148","14,497","14,499","14,621","15,368","15,457","14,211","14,250","15,028","15,145","15,336","14,360","14,409","14,333","14,398","13,963","14,317","14,379","14,278","14,121","14,151","13,880","14,418","12,252"
Total Debt,"7,665","7,494","7,649","7,370","7,730","7,493","7,949","7,759","8,238","8,201","7,888","7,767","7,976","8,258","8,198","8,615","8,758","9,068","8,923","8,893","9,744","9,762","8,345","8,469","9,032","9,093","9,176","8,112","8,310","8,241","8,164","7,729","7,954","7,636","7,276","7,171","7,387","7,330","7,674","6,526"
Debt Growth,1.44%,-3.50%,3.34%,0.16%,0.85%,-0.01%,3.92%,5.28%,6.57%,9.45%,-0.77%,0.10%,-3.18%,0.70%,3.93%,10.92%,9.80%,9.81%,8.84%,3.23%,11.26%,7.65%,-6.48%,-4.77%,-7.31%,-6.85%,9.96%,-4.22%,-7.99%,-9.37%,-11.03%,-4.72%,-4.28%,-7.34%,-10.88%,-7.22%,-7.13%,-4.01%,5.47%,-8.99%
Common Stock,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
