,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,"1,463","1,398","1,631","1,583","1,509","1,451","1,655","1,630","1,546","1,487","1,695",-889,"1,578","1,510","1,797",-616,"1,170",948,949,"2,732","2,813","2,504","2,812","2,870","2,934","2,613","2,864","3,020","3,121","2,902","3,140","3,250","3,391","3,078","3,554","3,622","3,803","3,353","3,789","3,805"
Revenue Growth (YoY),-1.42%,1.30%,1.24%,2.59%,3.14%,3.79%,1.47%,2.97%,2.45%,2.48%,2.42%,-,2.07%,1.55%,6.02%,-,-25.86%,-37.22%,-47.19%,-,140.43%,164.14%,196.31%,5.05%,4.30%,4.35%,1.85%,5.23%,6.37%,11.06%,9.64%,7.62%,8.65%,6.06%,13.18%,11.45%,12.15%,8.93%,6.61%,5.05%
Cost of Revenue,583,554,665,658,614,602,674,673,610,602,670,-52,627,607,718,273,643,467,458,"1,367","1,268","1,106","1,186","1,245","1,241","1,161","1,302","1,316","1,353","1,302","1,370","1,415","1,619","1,428","1,778","1,721","1,807","1,609","1,748","1,694"
Gross Profit,880,844,966,925,895,849,981,957,936,885,"1,025",-837,951,903,"1,079",-889,527,481,491,"1,365","1,545","1,398","1,626","1,625","1,693","1,452","1,562","1,704","1,768","1,600","1,770","1,835","1,772","1,650","1,776","1,901","1,996","1,744","2,041","2,111"
"Selling, General & Admin",527,554,592,581,607,552,586,592,583,546,590,-456,590,620,681,-744,298,300,321,"1,028",986,911,"1,028","1,012","1,011","1,028","1,001",949,"1,000",961,"1,039","1,040","1,113","1,018","1,204","1,196","1,227","1,165","1,272","1,217"
Other Operating Expenses,89,30,26,28,32,27,26,28,31,26,23,-49,26,-3,23,-46,0,3,3,-8,12,-11,11,33,-31,-42,0,2,68,-1,-3,0,-66,-334,0,311,96,-5,0,-2
Operating Expenses,616,584,618,609,639,579,612,620,614,572,613,-505,616,617,704,-790,298,303,324,"1,020",998,900,"1,039","1,045",980,986,"1,001",951,"1,068",960,"1,036","1,040","1,047",684,"1,204","1,507","1,323","1,160","1,272","1,215"
Operating Income,264,260,348,316,256,270,369,337,322,313,412,-332,335,286,375,-99,229,178,167,345,547,498,587,580,713,466,561,753,700,640,734,795,725,966,572,394,673,584,769,896
Interest Expense / Income,29,26,27,27,29,27,28,28,34,33,33,157,48,40,44,69,35,23,77,172,180,169,170,158,157,153,157,148,146,140,125,116,119,188,175,207,123,23,172,237
Other Expense / Income,-2,-2,-2,4,-3,-1,-,1,-3,-1,-23,30,31,-2,49,56,19,16,-6,-22,9,14,1,9,6,108,-2,21,-4,102,-4,-,-503,13,184,3,-8,-20,-16,-5
Pretax Income,237,236,323,285,230,244,341,308,291,281,402,-519,256,248,282,-224,175,139,96,195,358,315,416,413,550,205,406,584,558,398,613,679,"1,109",765,213,184,558,581,613,664
Income Tax,81,81,113,97,80,87,121,106,106,99,142,-186,91,71,94,-72,-437,51,13,46,92,85,102,109,144,49,108,141,130,73,165,149,266,180,-5,4,105,114,110,146
Net Income,156,155,210,188,150,157,220,202,185,182,260,-333,165,177,188,-152,612,88,83,149,266,230,314,304,406,156,298,443,428,325,448,530,843,585,218,180,453,467,503,518
Net Income Growth,-8.24%,46.23%,35.48%,-9.18%,-3.85%,1.29%,4.76%,7.45%,23.33%,15.92%,18.18%,-,-10.81%,-2.75%,-27.69%,-,270.91%,-50.28%,-55.85%,-,-56.54%,161.36%,278.31%,104.03%,52.63%,-32.17%,-5.10%,45.72%,5.42%,108.33%,50.34%,19.64%,96.96%,80.00%,-51.34%,-66.04%,-46.26%,-20.17%,130.73%,187.78%
Shares Outstanding (Basic),200,198,197,195,194,193,191,190,189,188,186,590,183,183,183,791,791,791,791,"1,362","1,086","1,406","1,407","1,407","1,407","1,407","1,407","1,407","1,407","1,409","1,417","1,418","1,418","1,418","1,418","1,416","1,415","1,406","1,400","1,397"
Shares Outstanding (Diluted),202,200,198,196,196,195,192,192,191,189,187,590,185,185,184,791,791,791,791,"1,374","1,098","1,418","1,419","1,419","1,420","1,420","1,422","1,423","1,424","1,426","1,428","1,429","1,429","1,430","1,429","1,427","1,428","1,417","1,409","1,406"
Shares Change,-3.73%,-3.30%,-3.75%,-4.15%,-2.63%,-2.46%,-2.73%,-2.40%,-2.55%,-2.88%,-3.07%,208.25%,-3.19%,-2.33%,-1.50%,33.91%,327.07%,328.22%,330.32%,73.76%,38.85%,79.34%,79.53%,3.33%,29.37%,0.17%,0.16%,0.25%,0.27%,0.39%,0.46%,0.39%,0.37%,0.29%,0.04%,-0.09%,-0.10%,-0.89%,-1.36%,-1.47%
EPS (Basic),0.79,0.78,1.07,0.97,0.78,0.82,1.15,1.06,0.98,0.97,1.40,-2.18,0.91,0.97,1.02,-2.42,0.77,0.11,0.10,0.11,0.21,0.16,0.22,0.22,0.29,0.11,0.21,0.31,0.30,0.23,0.32,0.37,0.60,0.41,0.15,0.13,0.32,0.33,0.36,0.37
EPS (Diluted),0.77,0.78,1.06,0.96,0.77,0.81,1.14,1.05,0.97,0.96,1.39,-2.17,0.90,0.96,1.02,-2.41,0.77,0.11,0.10,0.11,0.21,0.16,0.22,0.21,0.28,0.11,0.21,0.31,0.30,0.23,0.31,0.37,0.59,0.41,0.15,0.13,0.32,0.33,0.36,0.37
EPS Growth,-4.94%,52.94%,39.47%,-4.95%,0%,3.85%,7.55%,9.38%,25.97%,18.52%,21.93%,-,-7.22%,0%,-26.62%,-,-14.44%,-88.54%,-90.20%,-,-72.73%,45.45%,120.00%,90.91%,33.33%,-31.25%,-4.55%,47.62%,7.14%,109.09%,47.62%,19.35%,96.67%,78.26%,-51.61%,-64.86%,-45.76%,-19.51%,140.00%,184.62%
Free Cash Flow,182,92,282,299,187,82,236,346,191,171,192,-116,188,82,288,"1,127",374,247,275,438,476,545,555,510,746,449,524,514,655,446,492,657,946,622,599,677,728,-35,291,459
Free Cash Flow Per Share,0.91,0.47,1.43,1.53,0.96,0.42,1.23,1.82,1.01,0.91,1.03,-0.20,1.03,0.45,1.57,1.43,0.47,0.31,0.35,0.32,0.44,0.39,0.40,0.36,0.53,0.32,0.37,0.36,0.47,0.32,0.35,0.46,0.67,0.44,0.42,0.48,0.51,-0.03,0.21,0.33
