,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2016-01-03,2016-04-03,2016-07-03,2016-10-02,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-03-26,2022-06-25,2022-09-24,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-30
Cash & Equivalents,-,"2,298",-,"2,147","4,437","4,837","4,199","4,237","3,920","4,204","3,242","1,445","1,441","1,629","1,794","3,369","1,366","1,130","1,096","1,452","2,315","2,279","5,403","2,812","2,720","3,417","2,360","3,941","2,273","3,445","2,978","1,518",997,"1,040",826,947,"1,052","1,400"
Cash & Cash Equivalents,0,"2,298",0,"2,147","4,437","4,837","4,199","4,237","3,920","4,204","3,242","1,445","1,441","1,629","1,794","3,369","1,366","1,130","1,096","1,452","2,315","2,279","5,403","2,812","2,720","3,417","2,360","3,941","2,273","3,445","2,978","1,518",997,"1,040",826,947,"1,052","1,400"
Cash Growth,-,-,-,-,-,110.49%,-,97.35%,-11.65%,-13.09%,-22.79%,-65.90%,-63.24%,-61.25%,-44.66%,133.15%,-5.20%,-30.63%,-38.91%,-56.90%,69.47%,101.68%,392.97%,93.66%,17.49%,49.93%,-56.32%,40.15%,-16.43%,0.82%,26.19%,-61.48%,-56.14%,-69.81%,-72.26%,-37.62%,5.52%,34.62%
Receivables,-,851,-,"1,021","1,613","1,454","1,744","1,260","1,063",898,"1,474","1,434","1,365","1,274","1,574","1,987","2,032","2,129","2,010","2,049","1,959","1,973","2,321","2,045","1,979","2,063","2,079","2,008","1,958","1,957","2,067","2,145","2,055","2,120","2,286","2,237","2,103","2,112"
Inventory,-,"1,185",-,"1,162","2,981","2,618","2,892","2,881","3,108","2,684","3,151","3,065","3,188","2,760","3,144","3,161","3,287","2,667","3,118","3,074","3,158","2,721","2,831","2,815","2,661","2,773","2,676","2,820","2,839","2,729","3,093","3,433","3,535","3,651","4,016","3,820","3,779","3,614"
Other Current Assets,-,581,-,259,"1,380",871,977,969,852,967,"1,008","1,164","1,234","1,538",925,984,905,"3,149","2,611","2,593","1,693","1,124","1,153","1,104","2,705","2,569","6,021","2,616","2,487",863,"1,137","1,042","1,273","1,086","1,088",990,904,803
Total Current Assets,-,"4,915",-,"4,589","10,411","9,780","9,812","9,347","8,943","8,753","8,875","7,108","7,228","7,201","7,437","9,501","7,590","9,075","8,835","9,168","9,125","8,097","11,708","8,776","10,065","10,822","13,136","11,385","9,557","8,994","9,275","8,138","7,860","7,897","8,216","7,994","7,838","7,929"
"Property, Plant & Equipment",-,"2,365",-,"2,253","6,432","6,524","6,434","6,423","6,490","6,688","6,693","6,808","6,934","7,061","7,267","7,258","7,216","7,078","7,031","7,023","6,926","7,055","6,813","6,777","6,558","6,876","6,579","6,611","6,588","6,806","6,602","6,568","6,417","6,740","6,776","6,866","6,813","7,122"
Goodwill and Intangibles,-,"28,147",-,"27,683","103,443","105,171","105,591","104,403","104,138","103,422","103,630","103,965","104,358","104,257","104,443","103,371","103,035","85,971","85,644","84,932","84,540","84,198","83,321","80,512","79,279","79,756","76,468","76,418","76,189","74,838","75,080","74,136","72,928","73,482","73,553","73,667","72,624","72,907"
Other Long-Term Assets,-,"1,144",-,"1,537","1,506","1,498","1,436","1,511","1,509","1,617","1,604","1,535","1,531","1,573","1,640","1,766","1,889","1,337","2,052","2,078","2,231","2,100","2,231","2,241","2,220","2,376","2,481","2,624","2,563","2,756","2,907","2,834","2,787","2,394","2,398","2,429","2,381","2,381"
Total Long-Term Assets,-,"31,656",-,"31,473","111,381","113,193","113,461","112,337","112,137","111,727","111,927","112,308","112,823","112,891","113,350","112,395","112,140","94,386","94,727","94,033","93,697","93,353","92,365","89,530","88,057","89,008","85,528","85,653","85,340","84,400","84,589","83,538","82,132","82,616","82,727","82,962","81,818","82,410"
Total Assets,-,"36,571",-,"36,062","121,792","122,973","123,273","121,684","121,080","120,480","120,802","119,416","120,051","120,092","120,787","121,896","119,730","103,461","103,562","103,201","102,822","101,450","104,073","98,306","98,122","99,830","98,664","97,038","94,897","93,394","93,864","91,676","89,992","90,513","90,943","90,956","89,656","90,339"
Accounts Payable,-,"1,651",-,"1,608","2,719","2,844","2,773","2,960","3,456","3,996","3,936","3,888","3,947","4,362","4,241","4,326","4,312","4,153","4,184","4,153","4,156","4,003","3,956","3,880","4,052","4,304","4,225","4,391","4,380","4,753","4,610","4,778","4,733","4,848","4,804","4,545","4,463","4,627"
Deferred Revenue,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,"1,534","1,525","1,505","1,490","1,477","1,465","1,451","1,436","1,424"
Current Debt,-,0,-,12,0,83,0,"2,751","2,700","2,691","2,932","1,109","3,210","3,195","3,743","2,788","1,378",398,"1,307","1,299","2,560","1,028","1,248",763,535,236,132,"1,610","1,035",754,780,"1,194",774,837,842,630,608,638
Other Current Liabilities,-,"1,441",-,"1,033","3,027","4,005","3,957","3,882","3,258","2,814","2,515","2,359","2,230","2,597","2,345","1,977","1,891","2,952","2,481","2,345","2,396","2,844","2,730","3,407","3,107","3,515","3,213","3,878","3,040","2,023","2,149","1,642","1,689","1,866","1,843","1,759","1,297","1,348"
Total Current Liabilities,-,"3,092",-,"2,653","5,746","6,932","6,730","9,593","9,414","9,501","9,383","7,356","9,387","10,154","10,329","9,091","7,581","7,503","7,972","7,797","9,112","7,875","7,934","8,050","7,694","8,061","7,570","9,879","8,455","9,064","9,064","9,119","8,686","9,028","8,954","8,385","7,804","8,037"
Long-Term Debt,-,"13,358",-,"13,626","25,250","25,151","25,167","30,002","29,980","29,713","29,748","29,979","28,299","28,308","28,561","31,380","30,998","30,770","29,803","29,832","28,112","28,216","31,531","28,097","27,882","28,070","27,074","23,545","22,937","21,061","20,970","19,724","19,296","19,233","19,263","19,367","19,270","19,394"
Other Long-Term Liabilities,-,"4,436",-,"12,829","23,437","24,654","24,776","24,042","23,818","23,692","23,727","23,535","23,394","15,554","15,434","15,553","15,573","13,410","13,952","13,895","13,792","13,610","13,484","12,994","13,207","13,456","13,589","13,472","13,267","13,817","13,986","13,831","13,667","13,382","13,373","13,190","13,124","13,186"
Total Long-Term Liabilities,-,"17,794",-,"26,455","48,687","49,805","49,943","54,044","53,798","53,405","53,475","53,514","51,693","43,862","43,995","46,933","46,571","44,180","43,755","43,727","41,904","41,826","45,015","41,091","41,089","41,526","40,663","37,017","36,204","34,878","34,956","33,555","32,963","32,615","32,636","32,557","32,394","32,580"
Total Liabilities,-,"20,886",-,"29,108","54,433","56,737","56,673","63,637","63,212","62,906","62,858","60,870","61,080","54,016","54,324","56,024","54,152","51,683","51,727","51,524","51,016","49,701","52,949","49,141","48,783","49,587","48,233","46,896","44,659","43,942","44,020","42,674","41,649","41,643","41,590","40,942","40,198","40,617"
Total Debt,-,"13,358",-,"13,638","25,250","25,234","25,167","32,753","32,680","32,404","32,680","31,088","31,509","31,503","32,304","34,168","32,376","31,168","31,110","31,131","30,672","29,244","32,779","28,860","28,417","28,306","27,206","25,155","23,972","21,815","21,750","20,918","20,070","20,070","20,105","19,997","19,878","20,032"
Debt Growth,-,-,-,-,-,88.91%,-,140.16%,29.43%,28.41%,29.85%,-5.08%,-3.58%,-2.78%,-1.15%,9.91%,2.75%,-1.06%,-3.70%,-8.89%,-5.26%,-6.17%,5.36%,-7.29%,-7.35%,-3.21%,-17.00%,-12.84%,-15.64%,-22.93%,-20.05%,-16.84%,-16.28%,-8.00%,-7.56%,-4.40%,-0.96%,-0.19%
Common Stock,-,"7,691",-,"7,458","59,620","58,356","58,410","58,496","58,497","58,398","58,431","58,463","58,484","58,422","58,505","58,524","58,541","58,453","57,973","57,490","57,040","56,569","56,121","55,672","55,215","54,764","54,317","53,875","53,372","52,804","52,361","51,846","51,360","50,999","51,070","51,109","51,035","50,763"
Retained Earnings,-,0,-,0,-196,0,193,263,374,588,750,"1,178","1,360","8,495","8,718","8,710","8,576","-4,853","-4,586","-4,140","-3,241","-3,060","-2,686","-4,336","-3,739","-2,694","-2,131","-2,158","-1,425","-1,682",-905,-640,-208,489,831,"1,336","1,104","1,367"
Comprehensive Income,-,-574,-,-719,-613,-671,-560,-933,"-1,229","-1,628","-1,449","-1,308","-1,085","-1,054",-975,"-1,557","-1,732","-1,943","-1,684","-1,807","-2,126","-1,886","-2,426","-2,296","-2,258","-1,967","-1,898","-1,720","-1,858","-1,824","-1,812","-2,410","-3,004","-2,810","-2,748","-2,631","-2,863","-2,604"
Shareholders' Equity,-,"7,117",-,"6,739","58,811","57,685","58,043","57,826","57,642","57,358","57,732","58,333","58,759","65,863","66,248","65,677","65,385","51,657","51,703","51,543","51,673","51,623","51,009","49,040","49,218","50,103","50,288","49,997","50,089","49,298","49,644","48,796","48,148","48,678","49,153","49,814","49,276","49,526"
Net Cash / Debt,0,"-11,060",0,"-11,491","-20,813","-20,397","-20,968","-28,516","-28,760","-28,200","-29,438","-29,643","-30,068","-29,874","-30,510","-30,799","-31,010","-30,038","-30,014","-29,679","-28,357","-26,965","-27,376","-26,048","-25,697","-24,889","-24,846","-21,214","-21,699","-18,370","-18,772","-19,400","-19,073","-19,030","-19,279","-19,050","-18,826","-18,632"
Net Cash Per Share,-,-,-,-30.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Working Capital,-,"1,823",-,"1,936","4,665","2,848","3,082",-246,-471,-748,-508,-248,"-2,159","-2,953","-2,892",410,9,"1,572",863,"1,371",13,222,"3,774",726,"2,371","2,761","5,566","1,506","1,102",-70,211,-981,-826,"-1,131",-738,-391,34,-108
Book Value Per Share,-,-,-,17.73,48.49,47.54,47.77,47.56,47.34,47.12,47.43,47.91,48.23,54.05,54.35,53.87,53.63,42.36,42.40,42.25,42.35,42.27,41.76,40.14,40.26,40.98,41.11,40.88,40.94,40.23,40.57,39.87,39.29,39.74,40.13,40.59,40.12,40.38
