,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,47.04,72.43,74.94,180.14,38.21,295.77,112.43,63,360.02,129.16,191.85,-55.1,66.72,65.18,131.86,101.96,73.47,129.5,150.85,85.62,73.63,101.64,86.49,59.05,92.81,83.75,741.54,-44.75,194.88,131.59,110.34,501.39,75.33,230.95,-125.75,51.65,-56.09,283.51,100.43,111.95
Depreciation & Amortization,66.44,61.67,67.63,70.62,73.18,74.57,80.16,103.71,86.1,84.86,82.75,96.83,90.88,92.07,95.27,88.44,85.02,81.38,79.76,74.97,74.27,71.56,69.01,68.87,68.44,69.4,73.56,71.7,74.3,74.88,72.57,114.24,133.63,130.29,124.61,125.42,124.68,126.3,129.25,127.44
Share-Based Compensation,18.9,8.14,3.08,3.25,3.41,8.39,3.76,3.16,3.15,7.88,3.68,3.74,3.78,9.63,4.14,4.06,3.73,5.18,5.24,4.03,3.77,5.48,4.81,4.74,5.18,5.91,5.58,6.72,5.48,6.46,5.81,5.7,5.18,7.51,6.48,6.19,6.45,9.33,8.12,7.88
Other Operating Activities,-110.75,24.71,-15.64,-84.67,-10.04,-230.22,-88.01,-7.79,-437.39,-96.49,-210.95,171.66,-25.37,-21.39,-99.85,-19.75,-53.28,-38.38,-90.68,-14.82,-44.59,-37.95,-16.57,11.33,-81.86,-10.15,-744.83,188.46,-157.04,-70.9,-49.78,-504.08,-18.89,-180.56,236.19,73.86,74.01,-80.16,11.05,27.58
Operating Cash Flow,36.19,181.51,144.58,183.91,119.34,163.09,122.91,176.65,31.06,136.96,78.89,228.68,147.57,157.05,142.98,193.78,120.37,192.28,159.71,164.35,121.61,155.26,158.27,168.93,101.17,155.25,82.2,228.5,123.97,148.37,145.3,123.6,201.61,194.55,247.78,263.42,155.36,345.23,255.05,281.13
Operating Cash Flow Growth,-49.35%,21.10%,25.03%,-31.46%,229.72%,-10.15%,-14.99%,-3.95%,-73.97%,-16.02%,-35.81%,29.46%,375.13%,14.67%,81.24%,-15.26%,-18.44%,22.43%,11.70%,-15.19%,1.03%,-19.25%,-0.90%,2.79%,-16.81%,-0.01%,-48.07%,35.26%,22.54%,-4.43%,76.77%,-45.91%,62.62%,31.12%,70.53%,113.13%,-22.94%,77.45%,2.93%,6.72%
Capital Expenditures,-62.82,-46.04,-207.37,80.49,208.26,-488.1,8.1,-24.92,80.64,21.27,-37.22,-94.05,-51.87,-66.39,-105.86,-129.99,-47.36,81.39,134.69,1.85,-0.06,-5.56,-85.02,-59.86,29.1,-65.36,-61.45,-45.27,-53.66,-82.7,62.18,-40.94,-155.35,-39.7,-27.32,-76.53,-166.64,-67.77,-23.41,-234.65
Acquisitions,23.36,34.67,32.44,17.64,43.99,52.22,6.35,32.97,373.41,104.65,210.93,30.79,-30.78,0.31,31.96,-1.68,30,-2.42,2.5,-8.39,5.65,-10.97,-6.26,-1.16,3.14,-3.85,-3.7,-7.81,2,-0.91,-24.35,-248.23,41.79,11.41,-41.86,-1.73,-4.13,-13.53,-7.03,-5.18
Change in Investments,41.41,5.54,8.77,1.75,-3.45,-171.58,113.52,5.95,32.81,1.89,9.84,0.16,-0.21,0.7,-8.16,0.84,1.35,0.46,5.03,2.15,14.57,-0.01,5.3,-0.77,7.65,0.2,228.3,-0.13,-24.99,-0.31,0.21,-22.71,-4.93,-7.33,-50.34,13.79,327.15,124.85,149.81,0.94
Other Investing Activities,-,-,-,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,6.5,7,2.72,1,1,1,1,2.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-
